energy_ev,total_up,P_s_up,P_p_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,3.52356007,0.00412995,0.50279559,0.09814603,1.42570672,1.53584744,1.09581541
-5.99399700,3.61517331,0.00423745,0.51791598,0.10043932,1.46307316,1.57746969,1.12447733
-5.98799400,3.69611018,0.00432899,0.53183808,0.10243850,1.49601340,1.61442166,1.15000445
-5.98199100,3.76682769,0.00440584,0.54457175,0.10416245,1.52474132,1.64677903,1.17256454
-5.97598799,3.82807949,0.00447001,0.55614440,0.10563765,1.54960448,1.67472504,1.19241667
-5.96998499,3.88088473,0.00452422,0.56659648,0.10689718,1.57107171,1.69853753,1.20990155
-5.96398199,3.92648921,0.00457189,0.57597703,0.10797939,1.58971677,1.71857377,1.22542968
-5.95797899,3.96632056,0.00461700,0.58433950,0.10892649,1.60619877,1.73525348,1.23946783
-5.95197599,4.00193953,0.00466404,0.59173818,0.10978306,1.62124018,1.74904135,1.25252444
-5.94597299,4.03498910,0.00471785,0.59822537,0.11059457,1.63560318,1.76042937,1.26513452
-5.93996998,4.06714321,0.00478350,0.60384940,0.11140583,1.65006520,1.76991992,1.27784440
-5.93396698,4.10005670,0.00486609,0.60865360,0.11225960,1.66539438,1.77801001,1.29119695
-5.92796398,4.13531761,0.00497062,0.61267605,0.11319531,1.68232575,1.78517698,1.30571740
-5.92196098,4.17440288,0.00510182,0.61595003,0.11424779,1.70153850,1.79186595,1.32190006
-5.91595798,4.21863807,0.00526394,0.61850497,0.11544627,1.72363522,1.79847897,1.34019609
-5.90995498,4.26916160,0.00546067,0.62036758,0.11681347,1.74912310,1.80536578,1.36100237
-5.90395198,4.32689374,0.00569495,0.62156305,0.11836482,1.77839773,1.81281608,1.38465156
-5.89794897,4.39251066,0.00596887,0.62211597,0.12010788,1.81172975,1.82105308,1.41140337
-5.89194597,4.46642358,0.00628356,0.62205083,0.12204190,1.84925438,1.83022820,1.44143709
