energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,11.42228687,0.70920888,0.28767572,0.09559490,1.30513520,0.17546164,6.55844439,4.06722916,3.01683585
-5.99399700,11.31351229,0.70140219,0.28529000,0.09312988,1.27448183,0.17288093,6.52068096,4.01265955,3.00196646
-5.98799400,11.18215275,0.69249786,0.28244472,0.09037985,1.24064236,0.16984037,6.46860490,3.94739500,2.97857789
-5.98199100,11.03173408,0.68279014,0.27926475,0.08739613,1.20429925,0.16640266,6.40396803,3.87269298,2.94736257
-5.97598799,10.86597451,0.67257577,0.27587603,0.08423286,1.16615343,0.16263421,6.32868229,3.78992912,2.90913757
-5.96998499,10.68869681,0.66214649,0.27240203,0.08094543,1.12690601,0.15860329,6.24477541,3.70056583,2.86482624
-5.96398199,10.50373873,0.65178193,0.26896036,0.07758900,1.08724064,0.15437822,6.15434350,3.60611949,2.81543662
-5.95797899,10.31486438,0.64174300,0.26565958,0.07421706,1.04780709,0.15002555,6.05950200,3.50812690,2.76203723
-5.95197599,10.12567869,0.63226587,0.26259643,0.07088015,1.00920669,0.14560845,5.96233603,3.40811213,2.70573101
-5.94597299,9.93954734,0.62355675,0.25985341,0.06762470,0.97198000,0.14118521,5.86485155,3.30755452,2.64762823
-5.93996998,9.75952407,0.61578759,0.25749684,0.06449215,0.93659700,0.13680799,5.76892850,3.20785862,2.58881915
-5.93396698,9.58828731,0.60909274,0.25557549,0.06151818,0.90345016,0.13252188,5.67627728,3.11032688,2.53034734
-5.92796398,9.42808765,0.60356659,0.25411969,0.05873226,0.87285041,0.12836417,5.58839955,3.01613563,2.47318453
-5.92196098,9.28070732,0.59926240,0.25314103,0.05615739,0.84502597,0.12436401,5.50655456,2.92631490,2.41820763
-5.91595798,9.14743276,0.59619202,0.25263268,0.05381005,0.82012401,0.12054227,5.43173195,2.84173248,2.36617885
-5.90995498,9.02904080,0.59432684,0.25257009,0.05170033,0.79821480,0.11691183,5.36463179,2.76308253,2.31772926
-5.90395198,8.92579874,0.59359964,0.25291241,0.04983234,0.77929814,0.11347802,5.30565249,2.69087890,2.27334648
