energy_ev,total_up,P_s_up,P_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,2.25650639,0.00261212,0.26714997,0.86611098,1.58501280,0.02246124,0.30614987
-5.99399700,2.31985879,0.00267090,0.26101961,0.87082721,1.62528982,0.02280853,0.32688567
-5.98799400,2.38803027,0.00272576,0.25557197,0.87762546,1.66772925,0.02318516,0.34955694
-5.98199100,2.46118483,0.00277638,0.25075281,0.88645414,1.71249953,0.02358780,0.37421227
-5.97598799,2.53954603,0.00282263,0.24653402,0.89731730,1.75982139,0.02401404,0.40088537
-5.96998499,2.62337709,0.00286458,0.24291025,0.91026374,1.80995615,0.02446217,0.42959044
-5.96398199,2.71295829,0.00290246,0.23989477,0.92537408,1.86319194,0.02493111,0.46031772
-5.95797899,2.80856279,0.00293663,0.23751490,0.94274639,1.91982831,0.02542015,0.49302955
-5.95197599,2.91043218,0.00296761,0.23580716,0.96248112,1.98016026,0.02592881,0.52765702
-5.94597299,3.01875295,0.00299596,0.23481243,0.98466595,2.04446210,0.02645658,0.56409772
-5.93996998,3.13363508,0.00302232,0.23457126,1.00936138,2.11297217,0.02700277,0.60221455
-5.93396698,3.25509395,0.00304736,0.23511948,1.03658760,2.18587897,0.02756635,0.64183595
-5.92796398,3.38303628,0.00307171,0.23648445,1.06631341,2.26330939,0.02814579,0.68275743
-5.92196098,3.51725087,0.00309597,0.23868175,1.09844752,2.34531940,0.02873899,0.72474455
-5.91595798,3.65740442,0.00312069,0.24171280,1.13283268,2.43188757,0.02934326,0.76753726
-5.90995498,3.80304245,0.00314632,0.24556305,1.16924297,2.52291160,0.02995524,0.81085534
-5.90395198,3.95359517,0.00317322,0.25020112,1.20738428,2.61820757,0.03057104,0.85440483
-5.89794897,4.10838750,0.00320165,0.25557866,1.24689787,2.71751192,0.03118624,0.89788500
-5.89194597,4.26665272,0.00323174,0.26163092,1.28736705,2.82048561,0.03179603,0.94099573
-5.88594297,4.42754854,0.00326356,0.26827804,1.32832639,2.92672001,0.03239534,0.98344470
-5.87993997,4.59017470,0.00329703,0.27542692,1.36927321,3.03574397,0.03297896,1.02495426
-5.87393697,4.75359083,0.00333203,0.28297350,1.40968079,3.14703144,0.03354173,1.06526737
-5.86793397,4.91683369,0.00336832,0.29080544,1.44901267,3.26000919,0.03407863,1.10415261
-5.86193097,5.07893279,0.00340564,0.29880500,1.48673735,3.37406403,0.03458496,1.14140783
-5.85592796,5.23892371,0.00344367,0.30685197,1.52234295,3.48854933,0.03505641,1.17686231
