energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,0.71728694,0.00960475,0.05091278,0.07415076,0.12508686,0.01887796,0.34864319,0.02104784,0.07188663
-5.99399700,0.67729198,0.00896409,0.04810064,0.07027487,0.11828000,0.01780775,0.32939143,0.02067771,0.06763970
-5.98799400,0.63783818,0.00830891,0.04532940,0.06653875,0.11158977,0.01674478,0.31045205,0.02049990,0.06340012
-5.98199100,0.60003642,0.00765008,0.04267740,0.06308167,0.10521022,0.01571594,0.29237738,0.02058272,0.05927134
-5.97598799,0.56500310,0.00699792,0.04022298,0.06004954,0.09933561,0.01474770,0.27572533,0.02100124,0.05535621
-5.96998499,0.53384773,0.00636200,0.03804348,0.05759458,0.09415801,0.01386557,0.26105380,0.02183757,0.05175573
-5.96398199,0.50766273,0.00575101,0.03621436,0.05587524,0.08986514,0.01309380,0.24891622,0.02318106,0.04856796
-5.95797899,0.48751548,0.00517264,0.03480847,0.05505637,0.08663863,0.01245503,0.23985812,0.02512849,0.04588733
-5.95197599,0.47444204,0.00463359,0.03389538,0.05530938,0.08465260,0.01196999,0.23441457,0.02778420,0.04380410
-5.94597299,0.46944210,0.00413952,0.03354086,0.05681253,0.08407235,0.01165731,0.23310809,0.03125994,0.04240391
-5.93996998,0.47347450,0.00369515,0.03380625,0.05975098,0.08505324,0.01153327,0.23644687,0.03567460,0.04176759
-5.93396698,0.48745258,0.00330429,0.03474795,0.06431658,0.08773955,0.01161169,0.24492276,0.04115361,0.04197087
-5.92796398,0.51223869,0.00297000,0.03641677,0.07070718,0.09226328,0.01190367,0.25900867,0.04782803,0.04308406
-5.92196098,0.54863710,0.00269471,0.03885718,0.07912534,0.09874279,0.01241751,0.27915519,0.05583323,0.04517172
-5.91595798,0.59738506,0.00248028,0.04210653,0.08977640,0.10728117,0.01315849,0.30578590,0.06530716,0.04829198
-5.90995498,0.65914139,0.00232821,0.04619400,0.10286559,0.11796446,0.01412872,0.33929144,0.07638821,0.05249584
-5.90395198,0.73447271,0.00223970,0.05113961,0.11859438,0.13085955,0.01532699,0.38002202,0.08921262,0.05782607
-5.89794897,0.82383738,0.00221576,0.05695299,0.13715591,0.14601194,0.01674859,0.42827866,0.10391151,0.06431597
-5.89194597,0.92756751,0.00225726,0.06363224,0.15872955,0.16344336,0.01838519,0.48430309,0.12060754,0.07198793
-5.88594297,1.04584977,0.00236499,0.07116272,0.18347486,0.18314936,0.02022474,0.54826683,0.13941131,0.08085175
-5.87993997,1.17870575,0.00253962,0.07951596,0.21152483,0.20509711,0.02225140,0.62025973,0.16041756,0.09090303
-5.87393697,1.32597297,0.00278170,0.08864883,0.24297892,0.22922341,0.02444560,0.70027856,0.18370134,0.10212142
-5.86793397,1.48728764,0.00309160,0.09850284,0.27789600,0.25543311,0.02678411,0.78821625,0.20931417,0.11446911
-5.86193097,1.66207031,0.00346938,0.10900389,0.31628754,0.28359824,0.02924023,0.88385230,0.23728046,0.12788955
-5.85592796,1.84951564,0.00391473,0.12006242,0.35811134,0.31355769,0.03178414,0.98684517,0.26759418,0.14230649
-5.84992496,2.04858716,0.00442679,0.13157407,0.40326627,0.34511786,0.03438332,1.09672701,0.30021606,0.15762353
-5.84392196,2.25801807,0.00500405,0.14342075,0.45158809,0.37805408,0.03700300,1.21290141,0.33507126,0.17372423
-5.83791896,2.47631843,0.00564420,0.15547242,0.50284693,0.41211303,0.03960690,1.33464443,0.37204782,0.19047282
