energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-5.05152576,7.56579613,0.58952695,0.45141637,0.02013663,0.37192956,3.49907469,3.15155128,0.05353128,4.13566814
-5.04552276,7.61190150,0.59684227,0.45861563,0.01920906,0.38214690,3.56059632,3.15654319,0.05332562,4.15597906
-5.03951976,7.66919515,0.60385347,0.46647463,0.01832962,0.39327833,3.62718809,3.16761491,0.05317169,4.18283402
-5.03351676,7.73845193,0.61053283,0.47495333,0.01750312,0.40528125,3.69912756,3.18511873,0.05307871,4.21673783
-5.02751376,7.81992019,0.61684636,0.48398623,0.01673247,0.41808992,3.77648618,3.20913560,0.05305308,4.25789739
-5.02151076,7.91329811,0.62275122,0.49348271,0.01601877,0.43161420,3.85911344,3.23946868,0.05309821,4.30620876
-5.01550775,8.01773086,0.62819401,0.50332848,0.01536149,0.44573949,3.94663009,3.27564653,0.05321456,4.36125559
-5.00950475,8.13182878,0.63311014,0.51338780,0.01475865,0.46032787,4.03843076,3.31693602,0.05339967,4.42231902
-5.00350175,8.25370631,0.63742422,0.52350678,0.01420703,0.47522032,4.13369585,3.36236457,0.05364844,4.48839889
-4.99749875,8.38104020,0.64105153,0.53351733,0.01370240,0.49024006,4.23141201,3.41075109,0.05395333,4.55824543
-4.99149575,8.51114503,0.64390050,0.54324200,0.01323978,0.50519675,4.33040045,3.46074465,0.05430479,4.63040036
-4.98549275,8.64106300,0.64587614,0.55249915,0.01281369,0.51989148,4.42935171,3.51086941,0.05469163,4.70324577
-4.97948974,8.76766455,0.64688410,0.56110866,0.01241838,0.53412218,4.52686529,3.55957434,0.05510148,4.77505891
-4.97348674,8.88775565,0.64683525,0.56889766,0.01204804,0.54768945,4.62149254,3.60528563,0.05552134,4.84407063
-4.96748374,8.99818755,0.64565050,0.57570626,0.01169704,0.56040241,4.71178097,3.64645997,0.05593799,4.90852525
-4.96148074,9.09596437,0.64326555,0.58139292,0.01136009,0.57208427,4.79631810,3.68163648,0.05633849,4.96673932
-4.95547774,9.17834419,0.63963536,0.58583939,0.01103240,0.58257772,4.87377307,3.70948525,0.05671064,5.01715699
