energy_ev,total_up,Au_p_up,Au_d_up,Co_p_up,Co_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,13.89642353,1.59135541,7.83667637,1.18614204,0.74686048,0.03140275,0.93659691,0.07544879,3.92763718
-5.99399700,13.59062888,1.54375002,7.71524455,1.13078971,0.72822491,0.03022515,0.93848992,0.07138221,3.79064849
-5.98799400,13.29700270,1.50088684,7.59776082,1.07719702,0.71006078,0.02912183,0.94214175,0.06754906,3.65629672
-5.98199100,13.01904303,1.46354904,7.48541956,1.02589697,0.69268254,0.02811011,0.94758730,0.06398764,3.52624621
-5.97598799,12.75984420,1.43240910,7.37925896,0.97735221,0.67638904,0.02720486,0.95483283,0.06073046,3.40202629
-5.96998499,12.52205895,1.40801878,7.28015467,0.93194867,0.66145816,0.02641829,0.96385697,0.05780419,3.28500549
-5.96398199,12.30787754,1.39080360,7.18882024,0.88999196,0.64814209,0.02575998,0.97461254,0.05522969,3.17637201
-5.95797899,12.11902362,1.38106213,7.10581407,0.85170650,0.63666345,0.02523684,0.98702946,0.05302220,3.07712057
-5.95197599,11.95676614,1.37896958,7.03155233,0.81723720,0.62721206,0.02485327,1.00101848,0.05119166,2.98804545
-5.94597299,11.82194526,1.38458558,6.96632686,0.78665331,0.61994258,0.02461126,1.01647589,0.04974314,2.90973923
-5.93996998,11.71501010,1.39786548,6.91032697,0.75995418,0.61497279,0.02451057,1.03328896,0.04867726,2.84259652
-5.93396698,11.63606503,1.41867439,6.86366351,0.73707638,0.61238256,0.02454892,1.05134201,0.04799069,2.78682188
-5.92796398,11.58492145,1.44680317,6.82639368,0.71790176,0.61221349,0.02472214,1.07052272,0.04767664,2.74244094
-5.92196098,11.56115150,1.48198544,6.79854499,0.70226610,0.61446896,0.02502439,1.09072854,0.04772532,2.70931382
-5.91595798,11.56414034,1.52391467,6.78013671,0.68996777,0.61911475,0.02544826,1.11187275,0.04812435,2.68714983
-5.90995498,11.59313405,1.57226044,6.77119738,0.68077619,0.62608004,0.02598499,1.13388975,0.04885914,2.67552287
-5.90395198,11.64728046,1.62668293,6.77177728,0.67443980,0.63525875,0.02662453,1.15673940,0.04991320,2.67388673
-5.89794897,11.72566095,1.68684513,6.78195483,0.67069332,0.64651122,0.02735574,1.18040972,0.05126836,2.68158994
-5.89194597,11.82731183,1.75242194,6.80183658,0.66926412,0.65966628,0.02816652,1.20491806,0.05290505,2.69788981
