energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,7.59783012,1.99242376,0.50234402,0.01066988,1.58221337,0.15983899,3.13196169,2.42223772,1.20466202
-5.99399700,7.92240483,2.03677328,0.51929540,0.01068733,1.70447935,0.16399756,3.20832705,2.60330123,1.29818419
-5.98799400,8.24674177,2.07859175,0.53531022,0.01065988,1.83271658,0.16755624,3.27840897,2.79392615,1.39585322
-5.98199100,8.56851631,2.11726659,0.55018653,0.01058926,1.96646399,0.17046234,3.34122946,2.99343132,1.49728424
-5.97598799,8.88519768,2.15216306,0.56372144,0.01047773,2.10511250,0.17267332,3.39583675,3.20089003,1.60197688
-5.96998499,9.19409772,2.18264865,0.57571676,0.01032799,2.24790312,0.17415843,3.44133850,3.41512900,1.70931179
-5.96398199,9.49242860,2.20811830,0.58598500,0.01014309,2.39393003,0.17490019,3.47693533,3.63473609,1.81855104
-5.95797899,9.77736797,2.22801922,0.59435550,0.00992631,2.54214907,0.17489540,3.50195312,3.85807716,1.92884290
-5.95197599,10.04612949,2.24187426,0.60068043,0.00968112,2.69139186,0.17415580,3.51587255,4.08332224,2.03923138
-5.94597299,10.29603650,2.24930276,0.60484051,0.00941103,2.84038543,0.17270825,3.51835463,4.30848050,2.14867052
-5.93996998,10.52459632,2.25003794,0.60675003,0.00911956,2.98777711,0.17059448,3.50926086,4.53144334,2.25604364
-5.93396698,10.72957256,2.24394025,0.60636102,0.00881016,3.13216398,0.16787028,3.48866724,4.75003415,2.36018677
-5.92796398,10.90905273,2.23100597,0.60366640,0.00848618,3.27212592,0.16460436,3.45687127,4.96206312,2.45991595
-5.92196098,11.06150830,2.21137099,0.59870185,0.00815079,3.40626116,0.16087673,3.41439171,5.16538490,2.55405729
-5.91595798,11.18584473,2.18530956,0.59154632,0.00780701,3.53322278,0.15677671,3.36196077,5.35795670,2.64147879
-5.90995498,11.28143885,2.15322806,0.58232113,0.00745764,3.65175479,0.15240073,3.30050909,5.53789451,2.72112253
-5.90395198,11.34816177,2.11565422,0.57118759,0.00710531,3.76072607,0.14784976,3.23114375,5.70352467,2.79203587
-5.89794897,11.38638563,2.07322214,0.55834322,0.00675247,3.85916074,0.14322676,3.15512012,5.85342872,2.85340037
-5.89194597,11.39697327,2.02665370,0.54401665,0.00640137,3.94626355,0.13863393,3.07380842,5.98647929,2.90455683
-5.88594297,11.38125077,1.97673707,0.52846144,0.00605411,4.02143918,0.13417002,2.98865600,6.10186568,2.94502559
-5.87993997,11.34096343,1.92430318,0.51194895,0.00571265,4.08430469,0.12992773,2.90114681,6.19910798,2.97452088
-5.87393697,11.27821685,1.87020084,0.49476056,0.00537880,4.13469459,0.12599127,2.81275922,6.27805947,2.99295880
-5.86793397,11.19540528,1.81527155,0.47717952,0.00505423,4.17265871,0.12243411,2.72492385,6.33889756,3.00045841
-5.86193097,11.09513061,1.76032491,0.45948284,0.00474051,4.19845314,0.11931708,2.63898282,6.38210429,2.99733621
-5.85592796,10.98011558,1.70611541,0.44193337,0.00443908,4.21252505,0.11668678,2.55615193,6.40843778,2.98409427
-5.84992496,10.85311542,1.65332165,0.42477261,0.00415124,4.21549258,0.11457439,2.47748721,6.41889669,2.96140283
-5.84392196,10.71683229,1.60252852,0.40821429,0.00387817,4.20812086,0.11299496,2.40385719,6.41467984,2.93007831
-5.83791896,10.57383648,1.55421330,0.39243928,0.00362092,4.19129590,0.11194708,2.33592181,6.39714330,2.89105793
-5.83191596,10.42649846,1.50873597,0.37759169,0.00338039,4.16599741,0.11141315,2.27411905,6.36775737,2.84537222
-5.82591296,10.27693453,1.46633422,0.36377663,0.00315730,4.13327206,0.11136004,2.21865967,6.32806514,2.79411666
-5.81990995,10.12696846,1.42712330,0.35105948,0.00295225,4.09420813,0.11174032,2.16953038,6.27964456,2.73842361
-5.81390695,9.97811016,1.39110058,0.33946671,0.00276563,4.04991229,0.11249382,2.12650519,6.22407482,2.67943554
-5.80790395,9.83155121,1.35815469,0.32898824,0.00259769,4.00148900,0.11354976,2.08916454,6.16290775,2.61828035
-5.80190095,9.68817619,1.32807859,0.31958115,0.00244850,3.95002250,0.11482905,2.05692131,6.09764403,2.55604933
-5.79589795,9.54858734,1.30058601,0.31117450,0.00231797,3.89656132,0.11624699,2.02905244,6.02971380,2.49377785
-5.78989495,9.41313960,1.27533030,0.30367501,0.00220584,3.84210459,0.11771610,2.00473479,5.96046063,2.43242902
-5.78389195,9.28198214,1.25192488,0.29697337,0.00211174,3.78758970,0.11914898,1.98308360,5.89112762,2.37287995
-5.77788894,9.15510251,1.22996406,0.29095081,0.00203513,3.73388051,0.12046118,1.96319167,5.82284447,2.31591028
-5.77188594,9.03236936,1.20904333,0.28548559,0.00197538,3.68175547,0.12157392,1.94416764,5.75661423,2.26219269
-5.76588294,8.91357031,1.18877816,0.28045925,0.00193175,3.63189520,0.12241654,1.92517157,5.69329896,2.21228490
-5.75987994,8.79844202,1.16882032,0.27576217,0.00190343,3.58486931,0.12292859,1.90544647,5.63360376,2.16662279
-5.75387694,8.68669085,1.14887117,0.27129845,0.00188952,3.54112256,0.12306153,1.88434441,5.57805930,2.12551465
-5.74787394,8.57800299,1.12869133,0.26698979,0.00188910,3.50096077,0.12277991,1.86134641,5.52700345,2.08913636
-5.74187094,8.47204484,1.10810668,0.26277833,0.00190117,3.46453741,0.12206206,1.83607568,5.48056314,2.05752779
-5.73586793,8.36845484,1.08701036,0.25862848,0.00192476,3.43184174,0.12090022,1.80830387,5.43863817,2.03059081
-5.72986493,8.26682923,1.06536142,0.25452769,0.00195885,3.40268992,0.11930018,1.77795087,5.40088883,2.00808929
