energy_ev,total_up,Hg_p_up,Hg_d_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up
-6.00000000,0.50189144,0.12489772,0.05258262,0.01511787,0.00052400,0.30304465,0.00000000
-5.99399700,0.54997545,0.13686027,0.05761736,0.01655705,0.00057427,0.33209842,0.00000000
-5.98799400,0.59838988,0.14891323,0.06268665,0.01800789,0.00062489,0.36134352,0.00000000
-5.98199100,0.64643614,0.16088398,0.06771704,0.01944883,0.00067512,0.39035864,0.00000000
-5.97598799,0.69336960,0.17258924,0.07263026,0.02085707,0.00072419,0.41869404,0.00000000
-5.96998499,0.73841810,0.18383979,0.07734508,0.02220906,0.00077131,0.44588277,0.00000000
-5.96398199,0.78080326,0.19444598,0.08177964,0.02348114,0.00081567,0.47145358,0.00000000
-5.95797899,0.81976365,0.20422364,0.08585374,0.02465024,0.00085646,0.49494482,0.00000000
-5.95197599,0.85457908,0.21300039,0.08949148,0.02569457,0.00089296,0.51591919,0.00000000
-5.94597299,0.88459491,0.22062202,0.09262369,0.02659436,0.00092449,0.53397825,0.00000000
-5.93996998,0.90924532,0.22695859,0.09519045,0.02733256,0.00095045,0.54877654,0.00000000
-5.93396698,0.92807457,0.23191010,0.09714325,0.02789552,0.00097038,0.56003426,0.00000000
-5.92796398,0.94075513,0.23541144,0.09844686,0.02827350,0.00098395,0.56754820,0.00000000
-5.92196098,0.94710187,0.23743637,0.09908088,0.02846115,0.00099098,0.57120023,0.00000000
-5.91595798,0.94708164,0.23800035,0.09904067,0.02845782,0.00099143,0.57096305,0.00000000
-5.90995498,0.94081763,0.23716207,0.09833783,0.02826769,0.00098545,0.56690280,0.00000000
-5.90395198,0.92858838,0.23502362,0.09700012,0.02789983,0.00097333,0.55917844,0.00000000
-5.89794897,0.91082135,0.23172923,0.09507076,0.02736800,0.00095554,0.54803789,0.00000000
-5.89194597,0.88808127,0.22746264,0.09260727,0.02669036,0.00093266,0.53381110,0.00000000
-5.88594297,0.86105388,0.22244313,0.08967975,0.02588903,0.00090541,0.51690034,0.00000000
-5.87993997,0.83052553,0.21692037,0.08636883,0.02498952,0.00087461,0.49776804,0.00000000
-5.87393697,0.79735969,0.21116829,0.08276321,0.02402007,0.00084116,0.47692286,0.00000000
-5.86793397,0.76247111,0.20547800,0.07895704,0.02301092,0.00080600,0.45490442,0.00000000
-5.86193097,0.72679880,0.20015021,0.07504712,0.02199354,0.00077010,0.43226727,0.00000000
-5.85592796,0.69127872,0.19548718,0.07113017,0.02099983,0.00073441,0.40956489,0.00000000
-5.84992496,0.65681718,0.19178449,0.06730007,0.02006138,0.00069983,0.38733405,0.00000000
-5.84392196,0.62426588,0.18932283,0.06364532,0.01920869,0.00066723,0.36608023,0.00000000
-5.83791896,0.59439929,0.18836007,0.06024680,0.01847055,0.00063735,0.34626449,0.00000000
-5.83191596,0.56789500,0.18912373,0.05717574,0.01787342,0.00061084,0.32829210,0.00000000
-5.82591296,0.54531760,0.19180413,0.05449210,0.01744093,0.00058824,0.31250323,0.00000000
-5.81990995,0.52710639,0.19654824,0.05224336,0.01719354,0.00056991,0.29916595,0.00000000
-5.81390695,0.51356705,0.20345465,0.05046364,0.01714825,0.00055611,0.28847145,0.00000000
-5.80790395,0.50486749,0.21256954,0.04917329,0.01731847,0.00054692,0.28053171,0.00000000
-5.80190095,0.50103766,0.22388402,0.04837885,0.01771404,0.00054230,0.27537941,0.00000000
-5.79589795,0.50197337,0.23733288,0.04807340,0.01834137,0.00054204,0.27296996,0.00000000
-5.78989495,0.50744363,0.25279479,0.04823723,0.01920368,0.00054583,0.27318561,0.00000000
-5.78389195,0.51710155,0.27009425,0.04883889,0.02030143,0.00055323,0.27584139,0.00000000
-5.77788894,0.53049809,0.28900511,0.04983649,0.02163282,0.00056371,0.28069264,0.00000000
-5.77188594,0.54709848,0.30925582,0.05117921,0.02319443,0.00057666,0.28744390,0.00000000
-5.76588294,0.56630073,0.33053631,0.05280910,0.02498194,0.00059141,0.29575894,0.00000000
-5.75987994,0.58745576,0.35250638,0.05466296,0.02699086,0.00060726,0.30527162,0.00000000
-5.75387694,0.60988847,0.37480535,0.05667435,0.02921741,0.00062351,0.31559730,0.00000000
-5.74787394,0.63291928,0.39706286,0.05877564,0.03165923,0.00063946,0.32634452,0.00000000
-5.74187094,0.65588539,0.41891033,0.06090006,0.03431621,0.00065445,0.33712653,0.00000000
-5.73586793,0.67816109,0.43999269,0.06298363,0.03719107,0.00066787,0.34757248,0.00000000
-5.72986493,0.69917650,0.45998003,0.06496703,0.04028990,0.00067919,0.35733784,0.00000000
-5.72386193,0.71843406,0.47857857,0.06679725,0.04362241,0.00068796,0.36611377,0.00000000
-5.71785893,0.73552219,0.49554054,0.06842891,0.04720201,0.00069382,0.37363512,0.00000000
