energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,S_s_up,S_p_up
-6.00000000,9.69981625,2.41653448,7.29395619,0.01938697,1.02278845,0.02500502,0.58932676
-5.99399700,9.83061646,2.45204265,7.41281672,0.01885196,1.03611642,0.02641746,0.57530296
-5.98799400,9.95718436,2.48543329,7.52889828,0.01831676,1.04890304,0.02780511,0.56127557
-5.98199100,10.07720980,2.51641212,7.64014432,0.01779240,1.06083902,0.02914647,0.54739570
-5.97598799,10.18816517,2.54461793,7.74434032,0.01728850,1.07159884,0.03042000,0.53378785
-5.96998499,10.28736716,2.56962893,7.83916788,0.01681297,1.08084869,0.03160451,0.52054817
-5.96398199,10.37205246,2.59097385,7.92226846,0.01637184,1.08825548,0.03267970,0.50774465
-5.95797899,10.43946442,2.60814736,7.99131405,0.01596920,1.09349659,0.03362663,0.49541897
-5.95197599,10.48694672,2.62062897,8.04408204,0.01560719,1.09626993,0.03442828,0.48358997
-5.94597299,10.51204006,2.62790425,8.07853109,0.01528607,1.09630386,0.03506996,0.47225830
-5.93996998,10.51257753,2.62948750,8.09287485,0.01500440,1.09336666,0.03553981,0.46141191
-5.93396698,10.48677433,2.62494465,8.08565030,0.01475927,1.08727508,0.03582909,0.45103211
-5.92796398,10.43330807,2.61391520,8.05577807,0.01454653,1.07790161,0.03593252,0.44109968
-5.92196098,10.35138613,2.59613238,8.00261218,0.01436111,1.06518024,0.03584847,0.43160082
-5.91595798,10.24079749,2.57144053,7.92597731,0.01419738,1.04911049,0.03557902,0.42253252
-5.90995498,10.10194688,2.53980902,7.82619224,0.01404939,1.02975947,0.03512991,0.41390706
-5.90395198,9.93587026,2.50134238,7.70407881,0.01391127,1.00726205,0.03451048,0.40575556
-5.89794897,9.74423116,2.45628609,7.56095617,0.01377746,0.98181912,0.03373333,0.39813024
-5.89194597,9.52929840,2.40502820,7.39862076,0.01364303,0.95369404,0.03281404,0.39110549
-5.88594297,9.29390621,2.34809668,7.21931309,0.01350387,0.92320733,0.03177072,0.38477756
-5.87993997,9.04139852,2.28615274,7.02567242,0.01335694,0.89073011,0.03062349,0.37926305
-5.87393697,8.77555934,2.21998050,6.82068121,0.01320033,0.85667621,0.02939399,0.37469620
