energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up,Y_p_up,Y_d_up
-6.00000000,3.69329129,0.00910862,0.14086501,0.02493923,2.51113817,1.45691614,0.85442878,0.83557919,0.48691949
-5.99399700,3.64811849,0.00910825,0.13642380,0.02503493,2.48303486,1.44172148,0.84962609,0.83593488,0.47608456
-5.98799400,3.59767212,0.00911073,0.13170848,0.02514894,2.45139247,1.42423624,0.84283036,0.83559623,0.46435819
-5.98199100,3.54293871,0.00912506,0.12678564,0.02528617,2.41687850,1.40488362,0.83418745,0.83472245,0.45192419
-5.97598799,3.48497930,0.00916036,0.12172474,0.02545129,2.38020957,1.38411769,0.82388202,0.83349503,0.43897222
-5.96998499,3.42491207,0.00922552,0.11659668,0.02564871,2.34213940,1.36241356,0.81213555,0.83211433,0.42569442
-5.96398199,3.36389112,0.00932895,0.11147221,0.02588255,2.30344425,1.34025607,0.79920265,0.83079456,0.41228189
-5.95797899,3.30308154,0.00947824,0.10642033,0.02615654,2.26490588,1.31812721,0.78536599,0.82975739,0.39892105
-5.95197599,3.24363116,0.00967984,0.10150667,0.02647393,2.22729228,1.29649269,0.77092953,0.82922409,0.38578995
-5.94597299,3.18663961,0.00993884,0.09679196,0.02683740,2.19133657,1.27578792,0.75621048,0.82940663,0.37305449
-5.93996998,3.13312551,0.01025870,0.09233057,0.02724884,2.15771472,1.25640391,0.74153007,0.83049798,0.36086492
-5.93396698,3.08399300,0.01064107,0.08816922,0.02770920,2.12702282,1.23867364,0.72720341,0.83266206,0.34935227
-5.92796398,3.03999882,0.01108568,0.08434583,0.02821830,2.09975481,1.22285942,0.71352891,0.83602374,0.33862528
-5.92196098,3.00172151,0.01159022,0.08088870,0.02877455,2.07628166,1.20914192,0.70077755,0.84065956,0.32876762
-5.91595798,2.96953419,0.01215040,0.07781581,0.02937484,2.05683313,1.19761132,0.68918258,0.84658953,0.31983569
-5.90995498,2.94358260,0.01275992,0.07513456,0.03001429,2.04148317,1.18826122,0.67893006,0.85377070,0.31185702
-5.90395198,2.92376978,0.01341066,0.07284166,0.03068611,2.03013988,1.18098582,0.67015074,0.86209291,0.30482948
-5.89794897,2.90974863,0.01409283,0.07092347,0.03138155,2.02254101,1.17558052,0.66291371,0.87137706,0.29872132
-5.89194597,2.90092351,0.01479521,0.06935655,0.03208986,2.01825563,1.17174640,0.65722223,0.88137636,0.29347206
-5.88594297,2.89646122,0.01550544,0.06810855,0.03279836,2.01669234,1.16909846,0.65301192,0.89178042,0.28899441
-5.87993997,2.89531178,0.01621036,0.06713938,0.03349261,2.01711407,1.16717743,0.65015174,0.90222252,0.28517708
-5.87393697,2.89623846,0.01689634,0.06640257,0.03415669,2.01865943,1.16546500,0.64844753,0.91228958,0.28188839
-5.86793397,2.89785649,0.01754967,0.06584683,0.03477352,2.02036971,1.16340185,0.64764828,0.92153466,0.27898077
-5.86193097,2.89867883,0.01815693,0.06541784,0.03532531,2.02122085,1.16040765,0.64745480,0.92949153,0.27629582
-5.85592796,2.89716761,0.01870536,0.06505998,0.03579410,2.02015908,1.15590258,0.64753056,0.93569059,0.27366981
-5.84992496,2.89178891,0.01918318,0.06471816,0.03616229,2.01613874,1.14932910,0.64751419,0.93967554,0.27093945
-5.84392196,2.88106869,0.01957995,0.06433963,0.03641327,2.00816076,1.14017327,0.64703315,0.94102006,0.26794764
-5.83791896,2.86364745,0.01988678,0.06387559,0.03653198,1.99530999,1.12798454,0.64571804,0.93934364,0.26454908
-5.83191596,2.83833116,0.02009659,0.06328272,0.03650551,1.97678991,1.11239327,0.64321680,0.93432601,0.26061526
-5.82591296,2.80413626,0.02020428,0.06252446,0.03632360,1.95195297,1.09312509,0.63920835,0.92571928,0.25603897
-5.81990995,2.76032684,0.02020680,0.06157199,0.03597907,1.92032543,1.07001164,0.63341493,0.91335748,0.25073784
