energy_ev,total_up,N_s_up,N_p_up,Te_p_up,Te_d_up,V_p_up,V_d_up,W_p_up,W_d_up
-6.00000000,2.40139046,0.00360074,0.38668790,1.27928946,0.00000000,0.81800488,0.52961795,0.82547614,0.46973361
-5.99399700,2.37595875,0.00393677,0.37423099,1.26522018,0.00000000,0.80485418,0.54183935,0.81577061,0.46441475
-5.98799400,2.35856862,0.00430113,0.36300238,1.25559927,0.00000000,0.79483857,0.55509093,0.80764821,0.46083688
-5.98199100,2.34911582,0.00469277,0.35299255,1.25051749,0.00000000,0.78813995,0.56911026,0.80138382,0.45892370
-5.97598799,2.34732177,0.00511029,0.34417036,1.24997316,0.00000000,0.78487592,0.58360895,0.79720725,0.45856174
-5.96998499,2.35275822,0.00555199,0.33648917,1.25387967,0.00000000,0.78510115,0.59828187,0.79530151,0.45960709
-5.96398199,2.36487411,0.00601586,0.32989281,1.26207425,0.00000000,0.78880972,0.61281677,0.79580203,0.46189268
-5.95797899,2.38302313,0.00649958,0.32432104,1.27432723,0.00000000,0.79593807,0.62690387,0.79879686,0.46523575
-5.95197599,2.40649042,0.00700057,0.31971427,1.29035124,0.00000000,0.80636832,0.64024500,0.80432734,0.46944511
-5.94597299,2.43451740,0.00751590,0.31601715,1.30980995,0.00000000,0.81993167,0.65256206,0.81238926,0.47432803
-5.93996998,2.46632350,0.00804238,0.31318114,1.33232586,0.00000000,0.83641175,0.66360435,0.82293406,0.47969627
-5.93396698,2.50112435,0.00857648,0.31116569,1.35748703,0.00000000,0.85554783,0.67315470,0.83587024,0.48537135
-5.92796398,2.53814578,0.00911435,0.30993825,1.38485260,0.00000000,0.87703784,0.68103404,0.85106469,0.49118865
-5.92196098,2.57663377,0.00965180,0.30947306,1.41395726,0.00000000,0.90054136,0.68710440,0.86834402,0.49700036
-5.91595798,2.61586055,0.01018429,0.30974905,1.44431477,0.00000000,0.92568254,0.69127029,0.88749603,0.50267738
-5.90995498,2.65512736,0.01070693,0.31074683,1.47542096,0.00000000,0.95205337,0.69347854,0.90827141,0.50811009
-5.90395198,2.69376462,0.01121451,0.31244523,1.50675655,0.00000000,0.97921726,0.69371664,0.93038586,0.51320810
-5.89794897,2.73113040,0.01170152,0.31481766,1.53779011,0.00000000,1.00671341,0.69200980,0.95352275,0.51789929
-5.89194597,2.76660813,0.01216221,0.31782845,1.56798182,0.00000000,1.03406191,0.68841694,0.97733669,0.52212818
-5.88594297,2.79960444,0.01259068,0.32142966,1.59678804,0.00000000,1.06076985,0.68302600,1.00145790,0.52585386
-5.87993997,2.82954800,0.01298095,0.32555840,1.62366716,0.00000000,1.08633847,0.67594856,1.02549764,0.52904781
-5.87393697,2.85588999,0.01332714,0.33013514,1.64808683,0.00000000,1.11027130,0.66731436,1.04905470,0.53169159
-5.86793397,2.87810658,0.01362353,0.33506289,1.66953242,0.00000000,1.13208324,0.65726579,1.07172276,0.53377482
-5.86193097,2.89570381,0.01386482,0.34022752,1.68751673,0.00000000,1.15131023,0.64595269,1.09309853,0.53529336
-5.85592796,2.90822455,0.01404623,0.34549924,1.70159041,0.00000000,1.16751937,0.63352755,1.11279048,0.53624793
-5.84992496,2.91525751,0.01416366,0.35073507,1.71135296,0.00000000,1.18031905,0.62014146,1.13042773,0.53664316
-5.84392196,2.91644762,0.01421393,0.35578233,1.71646352,0.00000000,1.18936870,0.60594066,1.14566884,0.53648712
-5.83791896,2.91150716,0.01419485,0.36048285,1.71665106,0.00000000,1.19438773,0.59106394,1.15821014,0.53579121
-5.83191596,2.90022687,0.01410536,0.36467778,1.71172335,0.00000000,1.19516332,0.57564082,1.16779311,0.53457043
-5.82591296,2.88248629,0.01394565,0.36821275,1.70157417,0.00000000,1.19155660,0.55979051,1.17421074,0.53284389
-5.81990995,2.85826235,0.01371718,0.37094299,1.68618838,0.00000000,1.18350698,0.54362145,1.17731225,0.53063543
-5.81390695,2.82763580,0.01342271,0.37273833,1.66564432,0.00000000,1.17103450,0.52723157,1.17700637,0.52797428
-5.80790395,2.79079456,0.01306624,0.37348773,1.64011359,0.00000000,1.15423988,0.51070889,1.17326280,0.52489562
-5.80190095,2.74803399,0.01265294,0.37310311,1.60985789,0.00000000,1.13330248,0.49413249,1.16611195,0.52144088
-5.79589795,2.69975353,0.01218904,0.37152236,1.57522323,0.00000000,1.10847609,0.47757375,1.15564310,0.51765784
-5.78989495,2.64645007,0.01168162,0.36871142,1.53663154,0.00000000,1.08008288,0.46109763,1.14200096,0.51360032
-5.78389195,2.58870800,0.01113847,0.36466530,1.49457020,0.00000000,1.04850557,0.44476395,1.12538115,0.50932753
-5.77788894,2.52718654,0.01056785,0.35940809,1.44957981,0.00000000,1.01417839,0.42862859,1.10602446,0.50490309
-5.77188594,2.46260473,0.00997825,0.35299191,1.40224086,0.00000000,0.97757694,0.41274461,1.08421065,0.50039360
-5.76588294,2.39572489,0.00937819,0.34549507,1.35315965,0.00000000,0.93920741,0.39716300,1.06025154,0.49586710
-5.75987994,2.32733503,0.00877596,0.33701932,1.30295423,0.00000000,0.89959559,0.38193342,1.03448409,0.49139114
-5.75387694,2.25823106,0.00817944,0.32768658,1.25224063,0.00000000,0.85927587,0.36710450,1.00726343,0.48703084
-5.74787394,2.18919928,0.00759592,0.31763507,1.20162004,0.00000000,0.81878056,0.35272405,0.97895599,0.48284684
-5.74187094,2.12099990,0.00703194,0.30701534,1.15166710,0.00000000,0.77862981,0.33883890,0.94993296,0.47889331
-5.73586793,2.05435187,0.00649315,0.29598597,1.10291975,0.00000000,0.73932232,0.32549470,0.92056408,0.47521608
-5.72986493,1.98991943,0.00598429,0.28470952,1.05587059,0.00000000,0.70132691,0.31273534,0.89121166,0.47185096
-5.72386193,1.92830066,0.00550909,0.27334842,1.01096001,0.00000000,0.66507510,0.30060234,0.86222496,0.46882232
-5.71785893,1.87001800,0.00507028,0.26206138,0.96857098,0.00000000,0.63095471,0.28913408,0.83393484,0.46614194
-5.71185593,1.81551097,0.00466964,0.25099991,0.92902536,0.00000000,0.59930457,0.27836488,0.80664859,0.46380830
-5.70585293,1.76513077,0.00430803,0.24030546,0.89258176,0.00000000,0.57041020,0.26832410,0.78064495,0.46180608
-5.69984992,1.71913690,0.00398545,0.23010682,0.85943456,0.00000000,0.54450059,0.25903514,0.75616935,0.46010615
-5.69384692,1.67769545,0.00370116,0.22051810,0.82971409,0.00000000,0.52174594,0.25051449,0.73342941,0.45866594
-5.68784392,1.64087911,0.00345379,0.21163704,0.80348775,0.00000000,0.50225640,0.24277086,0.71259071,0.45743008
-5.68184092,1.60866857,0.00324138,0.20354376,0.78076185,0.00000000,0.48608178,0.23580435,0.69377308,0.45633156
-5.67583792,1.58095538,0.00306157,0.19629988,0.76148413,0.00000000,0.47321218,0.22960580,0.67704749,0.45529306
-5.66983492,1.55754607,0.00291165,0.18994804,0.74554682,0.00000000,0.46357956,0.22415632,0.66243374,0.45422878
-5.66383192,1.53816753,0.00278867,0.18451163,0.73279027,0.00000000,0.45706021,0.21942700,0.64989920,0.45304640
-5.65782891,1.52247354,0.00268952,0.17999497,0.72300698,0.00000000,0.45347816,0.21537894,0.63935869,0.45164940
-5.65182591,1.51005261,0.00261102,0.17638367,0.71594614,0.00000000,0.45260939,0.21196347,0.63067580,0.44993954
-5.64582291,1.50043673,0.00254995,0.17364536,0.71131871,0.00000000,0.45418691,0.20912273,0.62366565,0.44781944
-5.63981991,1.49311146,0.00250318,0.17173063,0.70880290,0.00000000,0.45790652,0.20679047,0.61809926,0.44519528
-5.63381691,1.48752675,0.00246763,0.17057430,0.70805025,0.00000000,0.46343334,0.20489318,0.61370939,0.44197953
-5.62781391,1.48310886,0.00244038,0.17009704,0.70869211,0.00000000,0.47040878,0.20335152,0.61019790,0.43809349
-5.62181091,1.47927278,0.00241865,0.17020710,0.71034660,0.00000000,0.47845803,0.20208188,0.60724438,0.43346976
-5.61580790,1.47543524,0.00239989,0.17080252,0.71262600,0.00000000,0.48719776,0.20099820,0.60451579,0.42805444
-5.60980490,1.47102790,0.00238176,0.17177344,0.71514429,0.00000000,0.49624399,0.20001397,0.60167690,0.42180897
-5.60380190,1.46551053,0.00236215,0.17300472,0.71752500,0.00000000,0.50521987,0.19904423,0.59840106,0.41471169
-5.59779890,1.45838378,0.00233926,0.17437868,0.71940897,0.00000000,0.51376333,0.19800766,0.59438092,0.40675890
-5.59179590,1.44920137,0.00231152,0.17577805,0.72046206,0.00000000,0.52153423,0.19682868,0.58933880,0.39796549
-5.58579290,1.43758137,0.00227770,0.17708891,0.72038247,0.00000000,0.52822114,0.19543935,0.58303615,0.38836516
-5.57978989,1.42321632,0.00223685,0.17820370,0.71890775,0.00000000,0.53354741,0.19378129,0.57528196,0.37801016
-5.57378689,1.40588195,0.00218835,0.17902407,0.71582106,0.00000000,0.53727643,0.19180732,0.56593953,0.36697069
-5.56778389,1.38544444,0.00213186,0.17946368,0.71095678,0.00000000,0.53921622,0.18948293,0.55493174,0.35533392
-5.56178089,1.36186597,0.00206735,0.17945072,0.70420525,0.00000000,0.53922293,0.18678747,0.54224429,0.34320273
-5.55577789,1.33520860,0.00199508,0.17893014,0.69551655,0.00000000,0.53720356,0.18371516,0.52792711,0.33069427
-5.54977489,1.30563627,0.00191556,0.17786551,0.68490324,0.00000000,0.53311763,0.18027566,0.51209389,0.31793837
-5.54377189,1.27341515,0.00182954,0.17624053,0.67244199,0.00000000,0.52697792,0.17649452,0.49491972,0.30507582
-5.53776888,1.23891206,0.00173796,0.17406000,0.65827410,0.00000000,0.51885022,0.17241316,0.47663724,0.29225663
-5.53176588,1.20259112,0.00164194,0.17135035,0.64260480,0.00000000,0.50885217,0.16808863,0.45753118,0.27963835
-5.52576288,1.16500862,0.00154270,0.16815966,0.62570137,0.00000000,0.49715118,0.16359298,0.43793192,0.26738420
-5.51975988,1.12680597,0.00144156,0.16455709,0.60789000,0.00000000,0.48396136,0.15901235,0.41820792,0.25566138
-5.51375688,1.08870085,0.00133988,0.16063187,0.58955135,0.00000000,0.46953968,0.15444566,0.39875764,0.24463912
-5.50775388,1.05147643,0.00123900,0.15649165,0.57111489,0.00000000,0.45418121,0.15000299,0.38000087,0.23448682
-5.50175088,1.01596856,0.00114025,0.15226046,0.55305188,0.00000000,0.43821356,0.14580362,0.36236986,0.22537185
-5.49574787,0.98305110,0.00104486,0.14807605,0.53586707,0.00000000,0.42199056,0.14197368,0.34630030,0.21745723
-5.48974487,0.95361923,0.00095399,0.14408689,0.52008911,0.00000000,0.40588518,0.13864351,0.33222229,0.21089909
-5.48374187,0.92857082,0.00086866,0.14044865,0.50625966,0.00000000,0.39028182,0.13594469,0.32055135,0.20584372
-5.47773887,0.90878612,0.00078977,0.13732035,0.49492137,0.00000000,0.37556800,0.13400675,0.31167953,0.20242447
-5.47173587,0.89510579,0.00071808,0.13486021,0.48660483,0.00000000,0.36212558,0.13295373,0.30596659,0.20075829
-5.46573287,0.88830790,0.00065418,0.13322122,0.48181457,0.00000000,0.35032168,0.13290043,0.30373137,0.20094217
-5.45972986,0.88908399,0.00059856,0.13254656,0.48101453,0.00000000,0.34049937,0.13394873,0.30524328,0.20304935
-5.45372686,0.89801517,0.00055154,0.13296495,0.48461320,0.00000000,0.33296844,0.13618380,0.31071406,0.20712574
-5.44772386,0.91554866,0.00051336,0.13458610,0.49294882,0.00000000,0.32799634,0.13967045,0.32028986,0.21318640
-5.44172086,0.94197572,0.00048413,0.13749627,0.50627521,0.00000000,0.32579969,0.14444977,0.33404390,0.22121247
-5.43571786,0.97741188,0.00046388,0.14175421,0.52474855,0.00000000,0.32653649,0.15053609,0.35196988,0.23114870
-5.42971486,1.02178037,0.00045260,0.14738752,0.54841587,0.00000000,0.33029938,0.15791457,0.37397638,0.24290169
-5.42371186,1.07479972,0.00045022,0.15438969,0.57720571,0.00000000,0.33711028,0.16653935,0.39988275,0.25633921
-5.41770885,1.13597643,0.00045665,0.16271786,0.61092155,0.00000000,0.34691652,0.17633256,0.42941662,0.27129056
-5.41170585,1.20460355,0.00047183,0.17229158,0.64923844,0.00000000,0.35958898,0.18718422,0.46221358,0.28754818
-5.40570285,1.27976571,0.00049569,0.18299258,0.69170355,0.00000000,0.37492218,0.19895319,0.49781925,0.30487071
-5.39969985,1.36035122,0.00052819,0.19466567,0.73774060,0.00000000,0.39263667,0.21146910,0.53569409,0.32298719
-5.39369685,1.44507113,0.00056937,0.20712096,0.78665874,0.00000000,0.41238374,0.22453537,0.57522106,0.34160269
-5.38769385,1.53248544,0.00061929,0.22013725,0.83766568,0.00000000,0.43375242,0.23793333,0.61571631,0.36040505
