energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Li_s_up,Se_s_up,Se_p_up
2.11605803,0.15918347,0.06725083,0.02362452,0.00000000,0.12798800,0.00001155,0.00001988,0.02893075
2.12206103,0.16622218,0.06988589,0.02465090,0.00000000,0.13359085,0.00001581,0.00002719,0.03038015
2.12806403,0.17310906,0.07247935,0.02565243,0.00000000,0.13899990,0.00002147,0.00003694,0.03186591
2.13406703,0.17973776,0.07498090,0.02661196,0.00000000,0.14412572,0.00002896,0.00004982,0.03337011
2.14007004,0.18602519,0.07735256,0.02751556,0.00000000,0.14889612,0.00003877,0.00006670,0.03487847
2.14607304,0.19191181,0.07956894,0.02835253,0.00000000,0.15325634,0.00005154,0.00008867,0.03638012
2.15207604,0.19736123,0.08161731,0.02911526,0.00000000,0.15716867,0.00006803,0.00011702,0.03786726
2.15807904,0.20235912,0.08349725,0.02979902,0.00000000,0.16061147,0.00008914,0.00015333,0.03933471
2.16408204,0.20691144,0.08522014,0.03040167,0.00000000,0.16357764,0.00011596,0.00019947,0.04077936
2.17008504,0.21104199,0.08680824,0.03092320,0.00000000,0.16607259,0.00014976,0.00025763,0.04219955
2.17608804,0.21478960,0.08829366,0.03136531,0.00000000,0.16811181,0.00019204,0.00033035,0.04359440
2.18209105,0.21820484,0.08971703,0.03173087,0.00000000,0.16971819,0.00024447,0.00042055,0.04496315
2.18809405,0.22134664,0.09112606,0.03202338,0.00000000,0.17091920,0.00030900,0.00053154,0.04630451
2.19409705,0.22427878,0.09257397,0.03224650,0.00000000,0.17174409,0.00038774,0.00066700,0.04761612
2.20010005,0.22706664,0.09411785,0.03240355,0.00000000,0.17222135,0.00048306,0.00083097,0.04889411
2.20610305,0.22977410,0.09581701,0.03249713,0.00000000,0.17237642,0.00059749,0.00102782,0.05013274
2.21210605,0.23246096,0.09773133,0.03252884,0.00000000,0.17222992,0.00073372,0.00126217,0.05132431
2.21810905,0.23518075,0.09991962,0.03249905,0.00000000,0.17179642,0.00089454,0.00153882,0.05245914
2.22411206,0.23797918,0.10243805,0.03240689,0.00000000,0.17108381,0.00108278,0.00186263,0.05352575
2.23011506,0.24089300,0.10533865,0.03225031,0.00000000,0.17009328,0.00130122,0.00223839,0.05451124
2.23611806,0.24394947,0.10866777,0.03202619,0.00000000,0.16881994,0.00155249,0.00267064,0.05540176
2.24212106,0.24716615,0.11246463,0.03173070,0.00000000,0.16725388,0.00183899,0.00316348,0.05618306
2.24812406,0.25055106,0.11675991,0.03135961,0.00000000,0.16538177,0.00216271,0.00372035,0.05684116
2.25412706,0.25410303,0.12157432,0.03090868,0.00000000,0.16318862,0.00252515,0.00434384,0.05736300
2.26013007,0.25781211,0.12691720,0.03037416,0.00000000,0.16065979,0.00292716,0.00503539,0.05773708
2.26613307,0.26166001,0.13278520,0.02975314,0.00000000,0.15778295,0.00336881,0.00579512,0.05795397
2.27213607,0.26562037,0.13916103,0.02904398,0.00000000,0.15454991,0.00384925,0.00662158,0.05800681
2.27813907,0.26965896,0.14601239,0.02824661,0.00000000,0.15095813,0.00436661,0.00751157,0.05789155
2.28414207,0.27373367,0.15329105,0.02736281,0.00000000,0.14701197,0.00491795,0.00845999,0.05760717
2.29014507,0.27779444,0.16093231,0.02639629,0.00000000,0.14272333,0.00549912,0.00945973,0.05715562
2.29614807,0.28178306,0.16885484,0.02535276,0.00000000,0.13811198,0.00610481,0.01050165,0.05654164
2.30215108,0.28563309,0.17696098,0.02423987,0.00000000,0.13320526,0.00672854,0.01157462,0.05577251
2.30815408,0.28926992,0.18513766,0.02306699,0.00000000,0.12803743,0.00736275,0.01266559,0.05485756
2.31415708,0.29261109,0.19325792,0.02184498,0.00000000,0.12264864,0.00799887,0.01375987,0.05380772
2.32016008,0.29556705,0.20118308,0.02058584,0.00000000,0.11708350,0.00862755,0.01484134,0.05263499
2.32616308,0.29804241,0.20876565,0.01930234,0.00000000,0.11138960,0.00923881,0.01589286,0.05135186
2.33216608,0.29993770,0.21585279,0.01800760,0.00000000,0.10561582,0.00982234,0.01689665,0.04997087
2.33816908,0.30115172,0.22229033,0.01671470,0.00000000,0.09981076,0.01036773,0.01783485,0.04850414
2.34417209,0.30158440,0.22792720,0.01543623,0.00000000,0.09402117,0.01086481,0.01868994,0.04696307
2.35017509,0.30114011,0.23262012,0.01418400,0.00000000,0.08829072,0.01130396,0.01944538,0.04535809
2.35617809,0.29973121,0.23623831,0.01296872,0.00000000,0.08265887,0.01167641,0.02008607,0.04369857
2.36218109,0.29728175,0.23866807,0.01179972,0.00000000,0.07716015,0.01197451,0.02059888,0.04199283
2.36818409,0.29373110,0.23981693,0.01068485,0.00000000,0.07182367,0.01219203,0.02097307,0.04024822
2.37418709,0.28903723,0.23961723,0.00963035,0.00000000,0.06667298,0.01232436,0.02120070,0.03847133
2.38019010,0.28317952,0.23802895,0.00864080,0.00000000,0.06172616,0.01236866,0.02127691,0.03666819
2.38619310,0.27616086,0.23504153,0.00771921,0.00000000,0.05699612,0.01232398,0.02120005,0.03484458
2.39219610,0.26800890,0.23067467,0.00686711,0.00000000,0.05249117,0.01219128,0.02097177,0.03300624
2.39819910,0.25877632,0.22497806,0.00608462,0.00000000,0.04821561,0.01197340,0.02059697,0.03115915
2.40420210,0.24854017,0.21802996,0.00537070,0.00000000,0.04417038,0.01167496,0.02008359,0.02930969
2.41020510,0.23740012,0.20993479,0.00472329,0.00000000,0.04035384,0.01130222,0.01944238,0.02746476
2.41620810,0.22547587,0.20081973,0.00413953,0.00000000,0.03676235,0.01086280,0.01868648,0.02563188
2.42221111,0.21290371,0.19083062,0.00361594,0.00000000,0.03339092,0.01036548,0.01783099,0.02381907
2.42821411,0.19983247,0.18012725,0.00314862,0.00000000,0.03023367,0.00981991,0.01689248,0.02203486
2.43421711,0.18641908,0.16887836,0.00273338,0.00000000,0.02728422,0.00923624,0.01588844,0.02028803
2.44022011,0.17282379,0.15725644,0.00236594,0.00000000,0.02453601,0.00862488,0.01483676,0.01858750
2.44622311,0.15920561,0.14543275,0.00204203,0.00000000,0.02198243,0.00799615,0.01375520,0.01694198
2.45222611,0.14571777,0.13357253,0.00175748,0.00000000,0.01961689,0.00736002,0.01266090,0.01535981
2.45822911,0.13250372,0.12183087,0.00150829,0.00000000,0.01743290,0.00672584,0.01156997,0.01384864
2.46423212,0.11969369,0.11034909,0.00129072,0.00000000,0.01542396,0.00610217,0.01049711,0.01241525
2.47023512,0.10740190,0.09925195,0.00110129,0.00000000,0.01358351,0.00549657,0.00945535,0.01106529
2.47623812,0.09572457,0.08864565,0.00093681,0.00000000,0.01190484,0.00491552,0.00845580,0.00980319
2.48224112,0.08473873,0.07861660,0.00079435,0.00000000,0.01038104,0.00436432,0.00750762,0.00863203
2.48824412,0.07450175,0.06923111,0.00067132,0.00000000,0.00900487,0.00384711,0.00661789,0.00755349
2.49424712,0.06505167,0.06053563,0.00056534,0.00000000,0.00776877,0.00336683,0.00579172,0.00656789
2.50025013,0.05640807,0.05255779,0.00047433,0.00000000,0.00666484,0.00292536,0.00503228,0.00567421
2.50625313,0.04857362,0.04530789,0.00039640,0.00000000,0.00568487,0.00252352,0.00434102,0.00487022
2.51225613,0.04153587,0.03878075,0.00032991,0.00000000,0.00482035,0.00216124,0.00371783,0.00415261
2.51825913,0.03526943,0.03295792,0.00027337,0.00000000,0.00406262,0.00183768,0.00316123,0.00351718
2.52426213,0.02973827,0.02780999,0.00022549,0.00000000,0.00340290,0.00155134,0.00266866,0.00295898
2.53026513,0.02489812,0.02329893,0.00018510,0.00000000,0.00283243,0.00130021,0.00223666,0.00247251
