energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,0.82033004,0.00287296,0.08640392,0.00428832,0.00000000,0.73948369,0.35074230,0.00577609,0.28120384
-5.99399700,0.72313999,0.00246787,0.07470805,0.00387449,0.00000000,0.63983567,0.30820654,0.00535008,0.25132603
-5.98799400,0.63838876,0.00210823,0.06435214,0.00353096,0.00000000,0.55080046,0.27097813,0.00503517,0.22574553
-5.98199100,0.56577195,0.00179119,0.05529190,0.00325634,0.00000000,0.47204406,0.23892358,0.00482960,0.20438449
-5.97598799,0.50486510,0.00151375,0.04746826,0.00304868,0.00000000,0.40309724,0.21185795,0.00473123,0.18712735
-5.96998499,0.45514686,0.00127281,0.04081101,0.00290559,0.00000000,0.34338542,0.18955550,0.00473756,0.17382625
-5.96398199,0.41602068,0.00106524,0.03524223,0.00282421,0.00000000,0.29225746,0.17175977,0.00484567,0.16430605
-5.95797899,0.38683458,0.00088797,0.03067945,0.00280128,0.00000000,0.24901232,0.15819268,0.00505222,0.15836882
-5.95197599,0.36689824,0.00073801,0.02703825,0.00283315,0.00000000,0.21292301,0.14856233,0.00535336,0.15579777
-5.94597299,0.35549752,0.00061254,0.02423453,0.00291581,0.00000000,0.18325727,0.14256961,0.00574465,0.15636053
-5.93996998,0.35190615,0.00050892,0.02218622,0.00304490,0.00000000,0.15929489,0.13991352,0.00622104,0.15981188
-5.93396698,0.35539487,0.00042471,0.02081455,0.00321572,0.00000000,0.14034149,0.14029512,0.00677679,0.16589595
-5.92796398,0.36523827,0.00035772,0.02004496,0.00342326,0.00000000,0.12573910,0.14342045,0.00740541,0.17434806
-5.92196098,0.38071976,0.00030598,0.01980752,0.00366218,0.00000000,0.11487360,0.14900246,0.00809965,0.18489627
-5.91595798,0.40113499,0.00026778,0.02003713,0.00392687,0.00000000,0.10717960,0.15676217,0.00885147,0.19726290
-5.90995498,0.42579439,0.00024163,0.02067340,0.00421146,0.00000000,0.10214294,0.16642923,0.00965205,0.21116603
-5.90395198,0.45402505,0.00022626,0.02166043,0.00450990,0.00000000,0.09930136,0.17774218,0.01049188,0.22632121
-5.89794897,0.48517240,0.00022062,0.02294636,0.00481598,0.00000000,0.09824381,0.19044844,0.01136081,0.24244340
-5.89194597,0.51860207,0.00022384,0.02448297,0.00512345,0.00000000,0.09860850,0.20430434,0.01224814,0.25924920
-5.88594297,0.55370199,0.00023519,0.02622516,0.00542608,0.00000000,0.10008038,0.21907518,0.01314281,0.27645948
-5.87993997,0.58988496,0.00025412,0.02813060,0.00571777,0.00000000,0.10238804,0.23453546,0.01403353,0.29380220
-5.87393697,0.62659168,0.00028014,0.03015927,0.00599266,0.00000000,0.10530032,0.25046941,0.01490901,0.31101558
-5.86793397,0.66329417,0.00031286,0.03227325,0.00624526,0.00000000,0.10862289,0.26667156,0.01575811,0.32785127
-5.86193097,0.69949949,0.00035195,0.03443650,0.00647055,0.00000000,0.11219480,0.28294772,0.01657010,0.34407768
-5.85592796,0.73475355,0.00039711,0.03661473,0.00666408,0.00000000,0.11588507,0.29911595,0.01733484,0.35948302
-5.84992496,0.76864475,0.00044803,0.03877548,0.00682213,0.00000000,0.11958944,0.31500771,0.01804299,0.37387824
-5.84392196,0.80080742,0.00050440,0.04088814,0.00694171,0.00000000,0.12322728,0.33046900,0.01868620,0.38709946
-5.83791896,0.83092461,0.00056588,0.04292413,0.00702072,0.00000000,0.12673858,0.34536147,0.01925726,0.39900993
-5.83191596,0.85873026,0.00063209,0.04485709,0.00705792,0.00000000,0.13008120,0.35956336,0.01975022,0.40950140
-5.82591296,0.88401041,0.00070259,0.04666311,0.00705301,0.00000000,0.13322809,0.37297028,0.02016049,0.41849477
-5.81990995,0.90660356,0.00077691,0.04832100,0.00700658,0.00000000,0.13616489,0.38549569,0.02048490,0.42594011
-5.81390695,0.92639991,0.00085450,0.04981245,0.00692010,0.00000000,0.13888744,0.39707110,0.02072172,0.43181593
-5.80790395,0.94333966,0.00093476,0.05112232,0.00679586,0.00000000,0.14139963,0.40764590,0.02087060,0.43612782
-5.80190095,0.95741018,0.00101707,0.05223871,0.00663686,0.00000000,0.14371134,0.41718688,0.02093257,0.43890645
-5.79589795,0.96864245,0.00110074,0.05315312,0.00644675,0.00000000,0.14583651,0.42567730,0.02090991,0.44020508
-5.78989495,0.97710648,0.00118508,0.05386044,0.00622967,0.00000000,0.14779153,0.43311562,0.02080605,0.44009662
-5.78389195,0.98290616,0.00126937,0.05435894,0.00599013,0.00000000,0.14959367,0.43951391,0.02062543,0.43867041
