energy_ev,total_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,4.56003872,2.64145135,1.86559673,0.00576482,0.90929059,1.15707860,0.00000000
-5.99399700,4.42469315,2.59813726,1.80046109,0.00554511,0.88267345,1.12512338,0.00000000
-5.98799400,4.29889572,2.55434357,1.74093772,0.00533347,0.85789285,1.09588014,0.00000000
-5.98199100,4.18428823,2.51061177,1.68780377,0.00513048,0.83528793,1.06964380,0.00000000
-5.97598799,4.08219326,2.46745618,1.64165659,0.00493661,0.81514810,1.04662327,0.00000000
-5.96998499,3.99358905,2.42535404,1.60290207,0.00475221,0.79770703,1.02693928,0.00000000
-5.96398199,3.91909433,2.38473573,1.57174874,0.00457758,0.78313837,1.01062424,0.00000000
-5.95797899,3.85896310,2.34597539,1.54820780,0.00441294,0.77155327,0.99762398,0.00000000
-5.95197599,3.81308925,2.30938238,1.53209862,0.00425846,0.76299973,0.98780144,0.00000000
-5.94597299,3.78102069,2.27519382,1.52305970,0.00411426,0.75746348,0.98094216,0.00000000
-5.93996998,3.76198233,2.24356883,1.52056434,0.00398043,0.75487055,0.97676161,0.00000000
-5.93396698,3.75490724,2.21458476,1.52394062,0.00385699,0.75509110,0.97491406,0.00000000
-5.92796398,3.75847488,2.18823589,1.53239499,0.00374391,0.75794460,0.97500302,0.00000000
-5.92196098,3.77115532,2.16443475,1.54503849,0.00364106,0.76320602,0.97659289,0.00000000
-5.91595798,3.79125811,2.14301640,1.56091500,0.00354825,0.77061278,0.97922167,0.00000000
-5.90995498,3.81698422,2.12374542,1.57903047,0.00346518,0.77987239,0.98241420,0.00000000
-5.90395198,3.84647954,2.10632567,1.59838213,0.00339146,0.79067045,0.98569582,0.00000000
-5.89794897,3.87788817,2.09041228,1.61798699,0.00332657,0.80267877,0.98860578,0.00000000
-5.89194597,3.90940388,2.07562544,1.63690848,0.00326991,0.81556345,0.99071008,0.00000000
-5.88594297,3.93931817,2.06156535,1.65428066,0.00322076,0.82899261,0.99161330,0.00000000
-5.87993997,3.96606336,2.04782768,1.66932918,0.00317832,0.84264375,0.99096895,0.00000000
-5.87393697,3.98824956,2.03401872,1.68138849,0.00314173,0.85621034,0.98848800,0.00000000
-5.86793397,4.00469452,2.01976956,1.68991491,0.00311007,0.86940779,0.98394534,0.00000000
-5.86193097,4.01444571,2.00474872,1.69449532,0.00308244,0.88197846,0.97718397,0.00000000
-5.85592796,4.01679433,1.98867262,1.69485154,0.00305791,0.89369589,0.96811672,0.00000000
-5.84992496,4.01128128,1.97131358,1.69084040,0.00303561,0.90436800,0.95672572,0.00000000
-5.84392196,3.99769557,1.95250520,1.68244994,0.00301475,0.91383954,0.94305962,0.00000000
-5.83791896,3.97606571,1.93214496,1.66979209,0.00299464,0.92199362,0.92722888,0.00000000
-5.83191596,3.94664508,1.91019425,1.65309245,0.00297472,0.92875246,0.90939937,0.00000000
-5.82591296,3.90989235,1.88667611,1.63267773,0.00295458,0.93407748,0.88978473,0.00000000
-5.81990995,3.86644801,1.86167094,1.60896143,0.00293396,0.93796863,0.86863789,0.00000000
-5.81390695,3.81710825,1.83531060,1.58242851,0.00291280,0.94046320,0.84624212,0.00000000
-5.80790395,3.76279710,1.80777147,1.55361945,0.00289119,0.94163394,0.82290207,0.00000000
-5.80190095,3.70453789,1.77926667,1.52311436,0.00286940,0.94158662,0.79893506,0.00000000
-5.79589795,3.64342467,1.75003798,1.49151738,0.00284785,0.94045699,0.77466297,0.00000000
-5.78989495,3.58059419,1.72034767,1.45944178,0.00282711,0.93840706,0.75040487,0.00000000
-5.78389195,3.51719882,1.69047050,1.42749590,0.00280783,0.93562072,0.72647060,0.00000000
-5.77788894,3.45438048,1.66068599,1.39627014,0.00279075,0.93229874,0.70315516,0.00000000
-5.77188594,3.39324586,1.63127111,1.36632484,0.00277668,0.92865293,0.68073418,0.00000000
-5.76588294,3.33484276,1.60249327,1.33817939,0.00276639,0.92489980,0.65946006,0.00000000
-5.75987994,3.28013772,1.57460379,1.31230215,0.00276065,0.92125350,0.63955897,0.00000000
-5.75387694,3.22999478,1.54783156,1.28910156,0.00276014,0.91791849,0.62122834,0.00000000
-5.74787394,3.18515572,1.52237721,1.26891821,0.00276545,0.91508176,0.60463487,0.00000000
-5.74187094,3.14622191,1.49840750,1.25201799,0.00277700,0.91290525,0.58991299,0.00000000
-5.73586793,3.11363818,1.47605025,1.23858647,0.00279508,0.91151842,0.57716348,0.00000000
-5.72986493,3.08767931,1.45538977,1.22872465,0.00281977,0.91101157,0.56645251,0.00000000
-5.72386193,3.06843968,1.43646312,1.22244625,0.00285094,0.91143006,0.55781090,0.00000000
-5.71785893,3.05582677,1.41925727,1.21967674,0.00288825,0.91276997,0.55123377,0.00000000
-5.71185593,3.04955923,1.40370749,1.22025440,0.00293117,0.91497536,0.54668056,0.00000000
-5.70585293,3.04917002,1.38969722,1.22393343,0.00297894,0.91793750,0.54407564,0.00000000
-5.69984992,3.05401521,1.37705952,1.23038942,0.00303062,0.92149620,0.54330947,0.00000000
-5.69384692,3.06328840,1.36558035,1.23922700,0.00308510,0.92544341,0.54424053,0.00000000
-5.68784392,3.07604102,1.35500366,1.24998975,0.00314113,0.92952897,0.54669795,0.00000000
-5.68184092,3.09120787,1.34503831,1.26217214,0.00319737,0.93346843,0.55048498,0.00000000
-5.67583792,3.10763746,1.33536668,1.27523308,0.00325240,0.93695269,0.55538313,0.00000000
-5.66983492,3.12412593,1.32565460,1.28861077,0.00330478,0.93965903,0.56115703,0.00000000
-5.66383192,3.13945357,1.31556243,1.30173836,0.00335307,0.94126308,0.56755982,0.00000000
-5.65782891,3.15242226,1.30475667,1.31405963,0.00339590,0.94145122,0.57433890,0.00000000
-5.65182591,3.16189243,1.29292176,1.32504425,0.00343199,0.93993284,0.58124181,0.00000000
-5.64582291,3.16681792,1.27977134,1.33420203,0.00346018,0.93645175,0.58802216,0.00000000
-5.63981991,3.16627721,1.26505876,1.34109532,0.00347947,0.93079643,0.59444519,0.00000000
-5.63381691,3.15949981,1.24858600,1.34534950,0.00348904,0.92280836,0.60029294,0.00000000
-5.62781391,3.14588668,1.23021092,1.34666079,0.00348825,0.91238827,0.60536883,0.00000000
-5.62181091,3.12502404,1.20985232,1.34480145,0.00347670,0.89949995,0.60950142,0.00000000
-5.61580790,3.09669026,1.18749278,1.33962221,0.00345417,0.88417142,0.61254743,0.00000000
-5.60980490,3.06085587,1.16317906,1.33105203,0.00342065,0.86649367,0.61439392,0.00000000
-5.60380190,3.01767717,1.13702032,1.31909548,0.00337637,0.84661692,0.61495970,0.00000000
-5.59779890,2.96748425,1.10918417,1.30382806,0.00332171,0.82474476,0.61419602,0.00000000
-5.59179590,2.91076438,1.07989097,1.28539005,0.00325724,0.80112662,0.61208661,0.00000000
-5.58579290,2.84814217,1.04940663,1.26397926,0.00318370,0.77604889,0.60864734,0.00000000
-5.57978989,2.78035750,1.01803436,1.23984331,0.00310199,0.74982527,0.60392543,0.00000000
-5.57378689,2.70824291,0.98610580,1.21327195,0.00301314,0.72278687,0.59799843,0.00000000
-5.56778389,2.63270115,0.95397184,1.18458980,0.00291831,0.69527244,0.59097313,0.00000000
-5.56178089,2.55468429,0.92199364,1.15414985,0.00281879,0.66761931,0.58298419,0.00000000
-5.55577789,2.47517480,0.89053393,1.12232793,0.00271603,0.64015524,0.57419281,0.00000000
-5.54977489,2.39516923,0.85994901,1.08951833,0.00261161,0.61319150,0.56478522,0.00000000
-5.54377189,2.31566460,0.83058158,1.05613031,0.00250727,0.58701737,0.55497099,0.00000000
-5.53776888,2.23764744,0.80275436,1.02258561,0.00240496,0.56189598,0.54498105,0.00000000
-5.53176588,2.16208520,0.77676467,0.98931652,0.00230685,0.53806170,0.53506543,0.00000000
-5.52576288,2.08991945,0.75287998,0.95676437,0.00221538,0.51571862,0.52549048,0.00000000
-5.51975988,2.02206062,0.73133416,0.92537798,0.00213331,0.49504022,0.51653571,0.00000000
-5.51375688,1.95938332,0.71232476,0.89561193,0.00206376,0.47616997,0.50849005,0.00000000
-5.50775388,1.90272216,0.69601093,0.86792428,0.00201029,0.45922243,0.50164759,0.00000000
-5.50175088,1.85286728,0.68251212,0.84277360,0.00197690,0.44428492,0.49630300,0.00000000
-5.49574787,1.81055957,0.67190757,0.82061522,0.00196815,0.43141930,0.49274651,0.00000000
-5.48974487,1.77648536,0.66423648,0.80189660,0.00198917,0.42066388,0.49125877,0.00000000
-5.48374187,1.75127057,0.65949906,0.78705196,0.00204568,0.41203520,0.49210575,0.00000000
-5.47773887,1.73547452,0.65765825,0.77649635,0.00214405,0.40552970,0.49553374,0.00000000
-5.47173587,1.72958369,0.65864243,0.77061921,0.00229127,0.40112518,0.50176482,0.00000000
-5.46573287,1.73400558,0.66234882,0.76977775,0.00249498,0.39878208,0.51099281,0.00000000
-5.45972986,1.74906314,0.66864775,0.77429035,0.00276334,0.39844466,0.52337992,0.00000000
-5.45372686,1.77498987,0.67738757,0.78443026,0.00310506,0.40004199,0.53905410,0.00000000
-5.44772386,1.81192593,0.68840022,0.80041962,0.00352918,0.40348902,0.55810723,0.00000000
-5.44172086,1.85991506,0.70150708,0.82242410,0.00404497,0.40868754,0.58059390,0.00000000
-5.43571786,1.91890266,0.71652502,0.85054816,0.00466174,0.41552728,0.60653090,0.00000000
-5.42971486,1.98873439,0.73327227,0.88483093,0.00538853,0.42388699,0.63589709,0.00000000
-5.42371186,2.06915554,0.75157384,0.92524275,0.00623393,0.43363565,0.66863360,0.00000000
-5.41770885,2.15981050,0.77126624,0.97168232,0.00720565,0.44463370,0.70464408,0.00000000
