energy_ev,total_up,Pb_p_up,Pb_d_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
3.04652326,1.20238200,0.19191466,0.00000051,1.27584109,0.18920021,0.03157096,0.41940048
3.05252626,1.25058319,0.20235988,0.00000053,1.31830560,0.19488336,0.03257123,0.43347906
3.05852926,1.29384749,0.21261144,0.00000054,1.35366535,0.19951086,0.03344759,0.44551745
3.06453227,1.33174477,0.22260779,0.00000056,1.38134595,0.20300665,0.03419252,0.45540240
3.07053527,1.36396943,0.23229294,0.00000057,1.40093497,0.20531967,0.03480320,0.46307471
3.07653827,1.39034517,0.24161530,0.00000058,1.41219327,0.20642497,0.03528144,0.46853051
3.08254127,1.41082462,0.25052625,0.00000058,1.41506021,0.20632381,0.03563345,0.47182034
3.08854427,1.42548398,0.25897843,0.00000058,1.40965275,0.20504298,0.03586941,0.47304611
3.09454727,1.43451288,0.26692396,0.00000058,1.39625838,0.20263310,0.03600291,0.47235601
3.10055028,1.43820011,0.27431283,0.00000058,1.37532239,0.19916623,0.03605014,0.46993771
3.10655328,1.43691621,0.28109157,0.00000057,1.34743013,0.19473279,0.03602909,0.46601008
3.11255628,1.43109357,0.28720229,0.00000056,1.31328510,0.18943800,0.03595858,0.46081398
3.11855928,1.42120550,0.29258232,0.00000055,1.27368399,0.18339794,0.03585736,0.45460236
3.12456228,1.40774506,0.29716460,0.00000054,1.22948984,0.17673561,0.03574309,0.44763041
3.13056528,1.39120495,0.30087858,0.00000052,1.18160440,0.16957684,0.03563151,0.44014595
3.13656828,1.37205926,0.30365203,0.00000051,1.13094105,0.16204664,0.03553568,0.43238068
3.14257129,1.35074796,0.30541330,0.00000049,1.07839909,0.15426569,0.03546533,0.42454262
3.14857429,1.32766470,0.30609418,0.00000048,1.02484053,0.14634749,0.03542644,0.41680991
3.15457729,1.30314828,0.30563316,0.00000046,0.97106993,0.13839595,0.03542096,0.40932634
3.16058029,1.27747787,0.30397874,0.00000045,0.91781783,0.13050363,0.03544679,0.40219867
3.16658329,1.25087194,0.30109279,0.00000043,0.86572820,0.12275057,0.03549792,0.39549562
3.17258629,1.22349055,0.29695362,0.00000042,0.81534973,0.11520376,0.03556482,0.38924870
3.17858929,1.19544054,0.29155856,0.00000040,0.76713110,0.10791711,0.03563492,0.38345454
3.18459230,1.16678301,0.28492594,0.00000039,0.72141987,0.10093185,0.03569336,0.37807857
3.19059530,1.13754248,0.27709622,0.00000038,0.67846455,0.09427742,0.03572367,0.37305985
3.19659830,1.10771698,0.26813231,0.00000037,0.63841952,0.08797256,0.03570869,0.36831664
3.20260130,1.07728846,0.25811888,0.00000036,0.60135217,0.08202663,0.03563144,0.36375265
3.20860430,1.04623300,0.24716089,0.00000036,0.56725187,0.07644103,0.03547591,0.35926339
3.21460730,1.01453018,0.23538113,0.00000035,0.53604012,0.07121067,0.03522791,0.35474266
3.22061031,0.98217136,0.22291717,0.00000035,0.50758160,0.06632540,0.03487575,0.35008870
3.22661331,0.94916664,0.20991769,0.00000034,0.48169551,0.06177132,0.03441080,0.34521000
3.23261631,0.91555015,0.19653841,0.00000034,0.45816702,0.05753197,0.03382796,0.34003049
3.23861931,0.88138396,0.18293789,0.00000034,0.43675842,0.05358947,0.03312591,0.33449401
3.24462231,0.84676033,0.16927330,0.00000033,0.41721974,0.04992536,0.03230723,0.32856800
3.25062531,0.81180262,0.15569644,0.00000033,0.39929866,0.04652136,0.03137839,0.32224636
3.25662831,0.77666501,0.14235005,0.00000033,0.38274952,0.04335999,0.03034954,0.31555138
3.26263132,0.74153102,0.12936473,0.00000032,0.36734126,0.04042504,0.02923421,0.30853474
3.26863432,0.70661117,0.11685636,0.00000032,0.35286419,0.03770187,0.02804890,0.30127766
3.27463732,0.67213989,0.10492432,0.00000032,0.33913557,0.03517767,0.02681255,0.29389003
3.28064032,0.63837172,0.09365025,0.00000032,0.32600371,0.03284155,0.02554600,0.28650871
3.28664332,0.60557699,0.08309763,0.00000031,0.31335075,0.03068463,0.02427137,0.27929489
3.29264632,0.57403698,0.07331190,0.00000031,0.30109403,0.02869996,0.02301145,0.27243053
3.29864932,0.54403863,0.06432121,0.00000031,0.28918597,0.02688243,0.02178907,0.26611410
3.30465233,0.51586891,0.05613762,0.00000030,0.27761261,0.02522861,0.02062657,0.26055542
3.31065533,0.48980875,0.04875869,0.00000030,0.26639083,0.02373651,0.01954520,0.25596988
3.31665833,0.46612674,0.04216930,0.00000030,0.25556445,0.02240532,0.01856464,0.25257207
3.32266133,0.44507263,0.03634367,0.00000030,0.24519931,0.02123508,0.01770261,0.25056895
3.32866433,0.42687072,0.03124747,0.00000030,0.23537764,0.02022637,0.01697444,0.25015285
3.33466733,0.41171342,0.02683983,0.00000030,0.22619180,0.01937990,0.01639282,0.25149429
3.34067034,0.39975499,0.02307535,0.00000030,0.21773797,0.01869618,0.01596753,0.25473511
