energy_ev,total_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up
-6.00000000,0.38246148,0.17237601,0.11194200,0.00753426,0.17022284,0.07421818,0.00001603
-5.99399700,0.39950597,0.17766012,0.11557566,0.00814538,0.18059986,0.07642246,0.00001622
-5.98799400,0.41590182,0.18223154,0.11902301,0.00875793,0.19087713,0.07835080,0.00001634
-5.98199100,0.43139408,0.18603645,0.12222235,0.00936402,0.20092478,0.07995265,0.00001638
-5.97598799,0.44572227,0.18902973,0.12511058,0.00995513,0.21060334,0.08118196,0.00001635
-5.96998499,0.45862707,0.19117558,0.12762507,0.01052233,0.21976647,0.08199900,0.00001625
-5.96398199,0.46985747,0.19244795,0.12970556,0.01105642,0.22826430,0.08237193,0.00001609
-5.95797899,0.47917798,0.19283093,0.13129604,0.01154824,0.23594717,0.08227807,0.00001586
-5.95197599,0.48637590,0.19231902,0.13234667,0.01198887,0.24266983,0.08170490,0.00001558
-5.94597299,0.49126808,0.19091722,0.13281548,0.01236994,0.24829573,0.08065055,0.00001525
-5.93996998,0.49370707,0.18864109,0.13266992,0.01268384,0.25270143,0.07912403,0.00001487
-5.93396698,0.49358646,0.18551667,0.13188812,0.01292403,0.25578083,0.07714490,0.00001444
-5.92796398,0.49084497,0.18158018,0.13045983,0.01308519,0.25744897,0.07474267,0.00001398
-5.92196098,0.48546933,0.17687775,0.12838706,0.01316350,0.25764544,0.07195581,0.00001348
-5.91595798,0.47749565,0.17146483,0.12568427,0.01315671,0.25633692,0.06883042,0.00001295
-5.90995498,0.46700930,0.16540550,0.12237822,0.01306428,0.25351900,0.06541878,0.00001240
-5.90395198,0.45414328,0.15877168,0.11850741,0.01288738,0.24921694,0.06177768,0.00001182
-5.89794897,0.43907506,0.15164205,0.11412117,0.01262892,0.24348549,0.05796677,0.00001123
-5.89194597,0.42202214,0.14410089,0.10927846,0.01229340,0.23640766,0.05404683,0.00001062
-5.88594297,0.40323638,0.13623679,0.10404632,0.01188683,0.22809252,0.05007823,0.00001001
-5.87993997,0.38299749,0.12814125,0.09849825,0.01141652,0.21867206,0.04611953,0.00000939
-5.87393697,0.36160574,0.11990717,0.09271233,0.01089084,0.20829744,0.04222629,0.00000876
-5.86793397,0.33937441,0.11162742,0.08676934,0.01031899,0.19713451,0.03845012,0.00000815
-5.86193097,0.31662216,0.10339334,0.08075095,0.00971070,0.18535902,0.03483801,0.00000754
-5.85592796,0.29366560,0.09529339,0.07473789,0.00907594,0.17315171,0.03143198,0.00000694
-5.84992496,0.27081240,0.08741193,0.06880838,0.00842467,0.16069334,0.02826893,0.00000635
-5.84392196,0.24835514,0.07982809,0.06303666,0.00776656,0.14816002,0.02538082,0.00000579
-5.83791896,0.22656610,0.07261496,0.05749189,0.00711073,0.13571899,0.02279494,0.00000525
-5.83191596,0.20569304,0.06583893,0.05223719,0.00646559,0.12352488,0.02053446,0.00000473
-5.82591296,0.18595617,0.05955927,0.04732901,0.00583864,0.11171675,0.01861902,0.00000423
-5.81990995,0.16754617,0.05382791,0.04281677,0.00523637,0.10041577,0.01706540,0.00000377
