energy_ev,total_up,Os_p_up,Os_d_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up
3.69484742,1.51668318,0.86278802,0.53914685,0.22701758,0.05317414,0.21951095,0.28702759
3.70085043,1.56237266,0.89676016,0.55476152,0.24425599,0.05516040,0.23178770,0.28424140
3.70685343,1.61116382,0.93288802,0.57165925,0.26296434,0.05717349,0.24432138,0.28163837
3.71285643,1.66316679,0.97111142,0.58988993,0.28316548,0.05920913,0.25704522,0.27936577
3.71885943,1.71832092,1.01126098,0.60943478,0.30484725,0.06125848,0.26987247,0.27754367
3.72486243,1.77637737,1.05305013,0.63020032,0.32795737,0.06330756,0.28269489,0.27626013
3.73086543,1.83688941,1.09607220,0.65201539,0.35239941,0.06533705,0.29538227,0.27556790
3.73686843,1.89921151,1.13980308,0.67463141,0.37803002,0.06732226,0.30778320,0.27548256
3.74287144,1.96250756,1.18360951,0.69772622,0.40465761,0.06923353,0.31972715,0.27598237
3.74887444,2.02576825,1.22676313,0.72091128,0.43204271,0.07103682,0.33102781,0.27700961
3.75487744,2.08783725,1.26845965,0.74374209,0.45990014,0.07269472,0.34148772,0.27847349
3.76088044,2.14744509,1.30784268,0.76573146,0.48790289,0.07416763,0.35090402,0.28025436
3.76688344,2.20324953,1.34403103,0.78636515,0.51568787,0.07541521,0.35907497,0.28220901
3.77288644,2.25388056,1.37614845,0.80511911,0.54286318,0.07639791,0.36580717,0.28417692
3.77888944,2.29798819,1.40335442,0.82147767,0.56901691,0.07707865,0.37092284,0.28598698
3.78489245,2.33429062,1.42487453,0.83495182,0.59372706,0.07742436,0.37426705,0.28746448
3.79089545,2.36162089,1.44002904,0.84509685,0.61657235,0.07740754,0.37571436,0.28843811
3.79689845,2.37896965,1.44825825,0.85152843,0.63714346,0.07700752,0.37517454,0.28874651
3.80290145,2.38552225,1.44914360,0.85393665,0.65505441,0.07621157,0.37259714,0.28824430
3.80890445,2.38068849,1.44242335,0.85209712,0.66995354,0.07501564,0.36797449,0.28680717
3.81490745,2.36412386,1.42800228,0.84587905,0.68153380,0.07342472,0.36134312,0.28433607
3.82091046,2.33574150,1.40595507,0.83524968,0.68954187,0.07145297,0.35278349,0.28076015
3.82691346,2.29571454,1.37652328,0.82027528,0.69378584,0.06912330,0.34241795,0.27603862
3.83291646,2.24446912,1.34010620,0.80111848,0.69414111,0.06646678,0.33040716,0.27016130
3.83891946,2.18266868,1.29724625,0.77803245,0.69055431,0.06352163,0.31694518,0.26314814
3.84492246,2.11119054,1.24860974,0.75135211,0.68304508,0.06033204,0.30225332,0.25504756
3.85092546,2.03109622,1.19496395,0.72148295,0.67170572,0.05694673,0.28657333,0.24593400
3.85692846,1.94359700,1.13715188,0.68888805,0.65669860,0.05341751,0.27016003,0.23590461
3.86293147,1.85001641,1.07606569,0.65407385,0.63825157,0.04979767,0.25327396,0.22507540
3.86893447,1.75175142,1.01262017,0.61757540,0.61665148,0.04614050,0.23617413,0.21357706
3.87493747,1.65023390,0.94772723,0.57994161,0.59223614,0.04249788,0.21911147,0.20155050
3.88094047,1.54689380,0.88227253,0.54172111,0.56538492,0.03891899,0.20232291,0.18914243
3.88694347,1.44312542,0.81709483,0.50344915,0.53650843,0.03544928,0.18602658,0.17650111
3.89294647,1.34025749,0.75296886,0.46563598,0.50603773,0.03212958,0.17041796,0.16377233
3.89894947,1.23952805,0.69059185,0.42875689,0.47441323,0.02899547,0.15566729,0.15109588
3.90495248,1.14206419,0.63057398,0.39324411,0.44207397,0.02607696,0.14191797,0.13860247
3.91095548,1.04886700,0.57343266,0.35948072,0.40944738,0.02339825,0.12928603,0.12641124
3.91695848,0.96080139,0.51959042,0.32779632,0.37693999,0.02097783,0.11786052,0.11462785
3.92296148,0.87859065,0.46937591,0.29846460,0.34492936,0.01882867,0.10770460,0.10334318
3.92896448,0.80281503,0.42302770,0.27170245,0.31375731,0.01695854,0.09885717,0.09263264
3.93496748,0.73391389,0.38070035,0.24767049,0.28372481,0.01537054,0.09133492,0.08255600
3.94097049,0.67219081,0.34247203,0.22647480,0.25508839,0.01406357,0.08513455,0.07315775
3.94697349,0.61782106,0.30835340,0.20816959,0.22805821,0.01303293,0.08023510,0.06446789
3.95297649,0.57086070,0.27829713,0.19276059,0.20279775,0.01227091,0.07660017,0.05650308
3.95897949,0.53125714,0.25220771,0.18020903,0.17942490,0.01176736,0.07418005,0.04926811
3.96498249,0.49886053,0.22995125,0.17043606,0.15801440,0.01151029,0.07291368,0.04275758
3.97098549,0.47343573,0.21136492,0.16332731,0.13860139,0.01148638,0.07273037,0.03695770
3.97698849,0.45467489,0.19626600,0.15873787,0.12118588,0.01168151,0.07355147,0.03184818
3.98299150,0.44221013,0.18446033,0.15649729,0.10573792,0.01208123,0.07529178,0.02740414
3.98899450,0.43562672,0.17575013,0.15641472,0.09220315,0.01267125,0.07786104,0.02359791
3.99499750,0.43447626,0.16994123,0.15828424,0.08050868,0.01343781,0.08116527,0.02040074
4.00100050,0.43829023,0.16684960,0.16189022,0.07056891,0.01436817,0.08510835,0.01778440
4.00700350,0.44659345,0.16630726,0.16701279,0.06229123,0.01545092,0.08959350,0.01572246
4.01300650,0.45891757,0.16816743,0.17343328,0.05558139,0.01667638,0.09452498,0.01419145
4.01900950,0.47481419,0.17230903,0.18093970,0.05034835,0.01803691,0.09980993,0.01317167
4.02501251,0.49386737,0.17864028,0.18933194,0.04650855,0.01952717,0.10536014,0.01264780
4.03101551,0.51570508,0.18710125,0.19842672,0.04398952,0.02114433,0.11109397,0.01260908
4.03701851,0.54000909,0.19766541,0.20806212,0.04273265,0.02288814,0.11693811,0.01304934
4.04302151,0.56652281,0.21033973,0.21810128,0.04269519,0.02476097,0.12282915,0.01396663
4.04902451,0.59505654,0.22516332,0.22843537,0.04385127,0.02676759,0.12871488,0.01536254
4.05502751,0.62548963,0.24220441,0.23898544,0.04619215,0.02891494,0.13455516,0.01724131
4.06103052,0.65776902,0.26155550,0.24970299,0.04972542,0.03121160,0.14032222,0.01960859
4.06703352,0.69190407,0.28332668,0.26056920,0.05447335,0.03366716,0.14600043,0.02247011
4.07303652,0.72795737,0.30763714,0.27159269,0.06047034,0.03629137,0.15158540,0.02583003
4.07903952,0.76603170,0.33460495,0.28280581,0.06775949,0.03909322,0.15708234,0.02968926
4.08504252,0.80625346,0.36433546,0.29425957,0.07638847,0.04207977,0.16250389,0.03404374
4.09104552,0.84875318,0.39690858,0.30601725,0.08640469,0.04525501,0.16786735,0.03888270
4.09704852,0.89364384,0.43236549,0.31814713,0.09784993,0.04861866,0.17319150,0.04418707
4.10305153,0.94099805,0.47069547,0.33071454,0.11075466,0.05216496,0.17849311,0.04992807
4.10905453,0.99082536,0.51182326,0.34377354,0.12513225,0.05588164,0.18378351,0.05606608
4.11505753,1.04305096,0.55559804,0.35735896,0.14097319,0.05974903,0.18906518,0.06254991
4.12106053,1.09749702,0.60178442,0.37147887,0.15823980,0.06373943,0.19432877,0.06931649
4.12706353,1.15386816,0.65005638,0.38610830,0.17686145,0.06781678,0.19955077,0.07629110
4.13306653,1.21174201,0.69999470,0.40118438,0.19673084,0.07193675,0.20469182,0.08338804
4.13906953,1.27056594,0.75108832,0.41660341,0.21770131,0.07604718,0.20969606,0.09051202
4.14507254,1.32966056,0.80274002,0.43222000,0.23958575,0.08008894,0.21449141,0.09755995
4.15107554,1.38823027,0.85427650,0.44784860,0.26215697,0.08399725,0.21899098,0.10442332
4.15707854,1.44538073,0.90496269,0.46326728,0.28514992,0.08770331,0.22309542,0.11099094
4.16308154,1.50014283,0.95401999,0.47822378,0.30826565,0.09113630,0.22669629,0.11715211
4.16908454,1.55150218,1.00064776,0.49244352,0.33117706,0.09422561,0.22968009,0.12279989
4.17508754,1.59843279,1.04404728,0.50563930,0.35353628,0.09690322,0.23193299,0.12783455
4.18109055,1.63993356,1.08344713,0.51752205,0.37498348,0.09910608,0.23334575,0.13216677
4.18709355,1.67506553,1.11812888,0.52781229,0.39515676,0.10077847,0.23381882,0.13572078
4.19309655,1.70298834,1.14745185,0.53625155,0.41370281,0.10187416,0.23326710,0.13843697
4.19909955,1.72299361,1.17087576,0.54261324,0.43028778,0.10235822,0.23162429,0.14027400
4.20510255,1.73453394,1.18798008,0.54671228,0.44460799,0.10220848,0.22884649,0.14121024
4.21110555,1.73724560,1.19847921,0.54841312,0.45639991,0.10141651,0.22491483,0.14124455
4.21710855,1.73096393,1.20223247,0.54763558,0.46544900,0.09998808,0.21983713,0.14039621
4.22311156,1.71573066,1.19924871,0.54435827,0.47159687,0.09794306,0.21364832,0.13870407
4.22911456,1.69179262,1.18968495,0.53861943,0.47474658,0.09531482,0.20640975,0.13622501
4.23511756,1.65959217,1.17383936,0.53051513,0.47486560,0.09214912,0.19820742,0.13303167
4.24112056,1.61974980,1.15213889,0.52019500,0.47198650,0.08850250,0.18914920,0.12920970
4.24712356,1.57303987,1.12512218,0.50785575,0.46620517,0.08444043,0.17936118,0.12485446
4.25312656,1.52036105,1.09341875,0.49373279,0.45767684,0.08003508,0.16898351,0.12006765
4.25912956,1.46270273,1.05772541,0.47809060,0.44660992,0.07536298,0.15816572,0.11495364
4.26513257,1.40110952,1.01878129,0.46121219,0.43325820,0.07050272,0.14706197,0.10961607
4.27113557,1.33664541,0.97734268,0.44338838,0.41791167,0.06553257,0.13582638,0.10415457
4.27713857,1.27035959,0.93415876,0.42490737,0.40088647,0.06052839,0.12460856,0.09866191
4.28314157,1.20325527,0.88994972,0.40604523,0.38251453,0.05556175,0.11354974,0.09322171
4.28914457,1.13626317,0.84538782,0.38705759,0.36313330,0.05069836,0.10277944,0.08790664
4.29514757,1.07022045,0.80108244,0.36817302,0.34307611,0.04599690,0.09241290,0.08277737
4.30115058,1.00585603,0.75756959,0.34958841,0.32266357,0.04150819,0.08254928,0.07788217
4.30715358,0.94378233,0.71530592,0.33146620,0.30219631,0.03727484,0.07327069,0.07325712
