energy_ev,total_up,C_s_up,C_p_up,Re_p_up,Re_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,4.90567712,0.03647663,0.75006059,1.77765699,2.04645965,0.74161659,0.19214994,2.05942355,0.00000000
-5.99399700,5.02093913,0.03739899,0.76347663,1.82798597,2.09886941,0.75742397,0.19659080,2.11232884,0.00000000
-5.98799400,5.13976668,0.03828985,0.77831250,1.88171187,2.15369542,0.77351419,0.20097659,2.16533007,0.00000000
-5.98199100,5.26164896,0.03914139,0.79458051,1.93861741,2.21073200,0.78981394,0.20528658,2.21811347,0.00000000
-5.97598799,5.38594426,0.03994619,0.81225634,1.99839266,2.26970937,0.80624360,0.20949684,2.27033186,0.00000000
-5.96998499,5.51185243,0.04069714,0.83127261,2.06062688,2.33028036,0.82271077,0.21357944,2.32159587,0.00000000
-5.96398199,5.63839411,0.04138748,0.85151381,2.12480435,2.39200994,0.83910442,0.21750194,2.37146746,0.00000000
-5.95797899,5.76439882,0.04201073,0.87281308,2.19030501,2.45436868,0.85529030,0.22122719,2.41945642,0.00000000
-5.95197599,5.88850370,0.04256072,0.89495114,2.25641031,2.51673090,0.87110803,0.22471358,2.46502069,0.00000000
-5.94597299,6.00916421,0.04303158,0.91765765,2.32231436,2.57837831,0.88637012,0.22791568,2.50757084,0.00000000
-5.93996998,6.12467752,0.04341782,0.94061504,2.38714049,2.63850959,0.90086326,0.23078527,2.54647913,0.00000000
-5.93396698,6.23321862,0.04371436,0.96346492,2.44996272,2.69625597,0.91435194,0.23327288,2.58109312,0.00000000
-5.92796398,6.33288835,0.04391670,0.98581686,2.50983165,2.75070253,0.92658436,0.23532962,2.61075345,0.00000000
-5.92196098,6.42177194,0.04402097,1.00725935,2.56580376,2.80091480,0.93730042,0.23690935,2.63481546,0.00000000
-5.91595798,6.49800596,0.04402419,1.02737262,2.61697306,2.84596962,0.94624152,0.23797102,2.65267369,0.00000000
-5.90995498,6.55985088,0.04392435,1.04574268,2.66250382,2.88498904,0.95316166,0.23848115,2.66378824,0.00000000
-5.90395198,6.60576599,0.04372066,1.06197623,2.70166298,2.91717583,0.95783928,0.23841624,2.66771187,0.00000000
-5.89794897,6.63448319,0.04341370,1.07571565,2.73385065,2.94184891,0.96008925,0.23776507,2.66411633,0.00000000
-5.89194597,6.64507578,0.04300556,1.08665343,2.75862740,2.95847685,0.95977438,0.23653066,2.65281669,0.00000000
-5.88594297,6.63701888,0.04249995,1.09454546,2.77573688,2.96670784,0.95681564,0.23473184,2.63379220,0.00000000
-5.87993997,6.61023778,0.04190231,1.09922244,2.78512262,2.96639420,0.95120071,0.23240436,2.60720244,0.00000000
-5.87393697,6.56514150,0.04121975,1.10059881,2.78693794,2.95761028,0.94299005,0.22960129,2.57339769,0.00000000
-5.86793397,6.50263919,0.04046108,1.09867883,2.78154836,2.94066218,0.93232037,0.22639285,2.53292269,0.00000000
-5.86193097,6.42413782,0.03963665,1.09355937,2.76952617,2.91608877,0.91940491,0.22286552,2.48651323,0.00000000
-5.85592796,6.33152051,0.03875818,1.08542919,2.75163696,2.88465345,0.90453064,0.21912050,2.43508532,0.00000000
-5.84992496,6.22710573,0.03783856,1.07456469,2.72881867,2.84732660,0.88805227,0.21527138,2.37971717,0.00000000
-5.84392196,6.11358851,0.03689154,1.06132223,2.70215361,2.80525944,0.87038328,0.21144144,2.32162440,0.00000000
