energy_ev,total_up,Hf_p_up,Hf_d_up,In_p_up,In_d_up,Se_s_up,Se_p_up
-6.00000000,0.45443318,0.12780221,0.27399143,0.00756229,0.00034212,0.00133717,0.37273636
-5.99399700,0.43496247,0.12490962,0.26258593,0.00709206,0.00034137,0.00140458,0.35711919
-5.98799400,0.42631120,0.12576807,0.25709552,0.00690502,0.00035047,0.00152443,0.34989497
-5.98199100,0.42891116,0.13051022,0.25788723,0.00698286,0.00036962,0.00169688,0.35154660
-5.97598799,0.44322473,0.13929581,0.26532675,0.00731066,0.00039908,0.00192250,0.36256898
-5.96998499,0.46973580,0.15230687,0.27977499,0.00787647,0.00043913,0.00220221,0.38346327
-5.96398199,0.50893648,0.16974105,0.30158249,0.00867074,0.00049010,0.00253714,0.41472774
-5.95797899,0.56130949,0.19180320,0.33108121,0.00968573,0.00055230,0.00292846,0.45684486
-5.95197599,0.62730609,0.21869513,0.36857365,0.01091480,0.00062601,0.00337724,0.51026455
-5.94597299,0.70732001,0.25060380,0.41431943,0.01235185,0.00071147,0.00388429,0.57538353
-5.93996998,0.80165775,0.28768820,0.46851948,0.01399058,0.00080884,0.00445005,0.65252129
-5.93396698,0.91050624,0.33006520,0.53129837,0.01582399,0.00091814,0.00507438,0.74189324
-5.92796398,1.03389890,0.37779495,0.60268541,0.01784380,0.00103929,0.00575650,0.84358198
-5.92196098,1.17168167,0.43086630,0.68259534,0.02004008,0.00117205,0.00649488,0.95750792
-5.91595798,1.32348050,0.48918305,0.77080958,0.02240097,0.00131599,0.00728712,1.08340063
-5.90995498,1.48867220,0.55255158,0.86695909,0.02491247,0.00147050,0.00812998,1.22077255
-5.90395198,1.66636055,0.62067071,0.97051009,0.02755850,0.00163476,0.00901933,1.36889677
-5.89794897,1.85535942,0.69312461,1.08075371,0.03032101,0.00180775,0.00995016,1.52679053
-5.89194597,2.05418478,0.76937927,1.19680057,0.03318030,0.00198823,0.01091670,1.69320610
-5.88594297,2.26105691,0.84878334,1.31758142,0.03611543,0.00217479,0.01191246,1.86663048
-5.87993997,2.47391407,0.93057363,1.44185439,0.03910483,0.00236579,0.01293036,2.04529504
-5.87393697,2.69043821,1.01388568,1.56821939,0.04212699,0.00255946,0.01396294,2.22719581
-5.86793397,2.90809289,1.09776925,1.69513985,0.04516115,0.00275388,0.01500243,2.41012469
-5.86193097,3.12417286,1.18120870,1.82097153,0.04818817,0.00294701,0.01604102,2.59171140
-5.85592796,3.33586440,1.26314772,1.94399782,0.05119133,0.00313678,0.01707100,2.76947520
-5.84992496,3.54031442,1.34251762,2.06247065,0.05415708,0.00332104,0.01808496,2.94088503
-5.84392196,3.73470634,1.41826817,2.17465566,0.05707577,0.00349769,0.01907593,3.10342613
-5.83791896,3.91633977,1.48939996,2.27887997,0.05994228,0.00366468,0.02003762,3.25467080
-5.83191596,4.08271103,1.55499668,2.37358093,0.06275643,0.00382008,0.02096445,3.39235035
-5.82591296,4.23159105,1.61425607,2.45735359,0.06552330,0.00396209,0.02185175,3.51442539
-5.81990995,4.36109731,1.66651799,2.52899507,0.06825333,0.00408914,0.02269577,3.61915136
-5.81390695,4.46975658,1.71128824,2.58754380,0.07096222,0.00419990,0.02349379,3.70513622
-5.80790395,4.55655537,1.74825687,2.63231175,0.07367057,0.00429330,0.02424405,3.77138756
