energy_ev,total_up,Hg_p_up,Hg_d_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up
-6.00000000,2.05961687,1.75362061,0.31482075,0.10575950,0.45024404,0.70452936,0.00185119
-5.99399700,2.11321007,1.77182862,0.32265837,0.10745032,0.45567718,0.71342450,0.00198407
-5.98799400,2.16947435,1.78830292,0.33131298,0.10999428,0.46181058,0.72082311,0.00212398
-5.98199100,2.22922979,1.80418269,0.34093687,0.11344779,0.46903559,0.72693844,0.00227004
-5.97598799,2.29326963,1.82066844,0.35167527,0.11785818,0.47775131,0.73200047,0.00242121
-5.96998499,2.36232047,1.83897405,0.36365990,0.12326226,0.48834968,0.73624420,0.00257628
-5.96398199,2.43700147,1.86027609,0.37700218,0.12968483,0.50119948,0.73989785,0.00273390
-5.95797899,2.51778424,1.88566255,0.39178644,0.13713694,0.51662989,0.74317149,0.00289257
-5.95197599,2.60495538,1.91608311,0.40806336,0.14561412,0.53491419,0.74624671,0.00305071
-5.94597299,2.69858335,1.95230306,0.42584400,0.15509465,0.55625435,0.74926789,0.00320663
-5.93996998,2.79849162,1.99486301,0.44509470,0.16553794,0.58076720,0.75233539,0.00335861
-5.93396698,2.90423927,2.04404608,0.46573312,0.17688316,0.60847286,0.75550108,0.00350490
-5.92796398,3.01511064,2.09985411,0.48762570,0.18904827,0.63928593,0.75876636,0.00364376
-5.92196098,3.13011462,2.16199414,0.51058676,0.20192954,0.67301014,0.76208274,0.00377350
-5.91595798,3.24799427,2.22987566,0.53437932,0.21540173,0.70933662,0.76535486,0.00389250
-5.90995498,3.36724688,2.30261930,0.55871786,0.22931892,0.74784632,0.76844588,0.00399924
-5.90395198,3.48615412,2.37907650,0.58327289,0.24351624,0.78801640,0.77118479,0.00409235
-5.89794897,3.60282166,2.45785986,0.60767744,0.25781232,0.82923079,0.77337545,0.00417062
-5.89194597,3.71522720,2.53738310,0.63153518,0.27201264,0.87079452,0.77480674,0.00423303
-5.88594297,3.82127538,2.61590929,0.65443007,0.28591362,0.91195156,0.77526353,0.00427880
-5.87993997,3.91885797,2.69160578,0.67593728,0.29930746,0.95190546,0.77453786,0.00430733
-5.87393697,4.00591734,2.76260379,0.69563497,0.31198746,0.98984233,0.77243995,0.00431833
