energy_ev,total_up,Re_p_up,Re_d_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up
-6.00000000,2.54007928,0.74551551,1.24575316,0.26456183,0.00756005,0.02175792,1.31380248
-5.99399700,2.56864333,0.75902309,1.26192243,0.26972273,0.00739184,0.02098055,1.33322525
-5.98799400,2.59420661,0.77193143,1.27675942,0.27396620,0.00721866,0.02019500,1.35169540
-5.98199100,2.61645345,0.78399405,1.29017378,0.27725065,0.00704266,0.01940627,1.36899176
-5.97598799,2.63512829,0.79497782,1.30210621,0.27955638,0.00686609,0.01861956,1.38491106
-5.96998499,2.65004054,0.80466853,1.31252838,0.28088537,0.00669130,0.01784017,1.39927209
-5.96398199,2.66106839,0.81287630,1.32144197,0.28126076,0.00652069,0.01707347,1.41191951
-5.95797899,2.66816122,0.81944078,1.32887703,0.28072573,0.00635668,0.01632483,1.42272723
-5.95197599,2.67134066,0.82423579,1.33488978,0.27934208,0.00620172,0.01559952,1.43160104
-5.94597299,2.67070016,0.82717321,1.33955986,0.27718841,0.00605824,0.01490266,1.43848061
-5.93996998,2.66640302,0.82820588,1.34298732,0.27435807,0.00592863,0.01423912,1.44334066
-5.93396698,2.65867911,0.82732941,1.34528936,0.27095685,0.00581524,0.01361349,1.44619137
-5.92796398,2.64782025,0.82458281,1.34659721,0.26710045,0.00572033,0.01302994,1.44707797
-5.92196098,2.63417456,0.82004776,1.34705307,0.26291196,0.00564606,0.01249222,1.44607973
-5.91595798,2.61813992,0.81384677,1.34680748,0.25851917,0.00559445,0.01200362,1.44330831
-5.90995498,2.60015684,0.80614010,1.34601703,0.25405202,0.00556741,0.01156688,1.43890563
-5.90395198,2.58070091,0.79712164,1.34484269,0.24963996,0.00556664,0.01118425,1.43304148
-5.89794897,2.56027508,0.78701402,1.34344851,0.24540959,0.00559370,0.01085742,1.42591072
-5.89194597,2.53940192,0.77606301,1.34200084,0.24148236,0.00564990,0.01058762,1.41773047
-5.88594297,2.51861603,0.76453148,1.34066802,0.23797251,0.00573636,0.01037561,1.40873704
-5.87993997,2.49845659,0.75269320,1.33962007,0.23498527,0.00585391,0.01022174,1.39918287
-5.87393697,2.47946019,0.74082660,1.33902869,0.23261530,0.00600317,0.01012603,1.38933322
-5.86793397,2.46215378,0.72920876,1.33906688,0.23094550,0.00618444,0.01008820,1.37946281
-5.86193097,2.44704776,0.71810975,1.33990843,0.23004599,0.00639776,0.01010780,1.36985213
-5.85592796,2.43462917,0.70778744,1.34172678,0.22997361,0.00664283,0.01018422,1.36078352
-5.84992496,2.42535475,0.69848294,1.34469323,0.23077147,0.00691904,0.01031680,1.35253686
-5.84392196,2.41964402,0.69041660,1.34897446,0.23246903,0.00722544,0.01050482,1.34538487
-5.83791896,2.41787216,0.68378471,1.35472925,0.23508225,0.00756073,0.01074759,1.33958807
-5.83191596,2.42036288,0.67875688,1.36210444,0.23861411,0.00792325,0.01104441,1.33538931
-5.82591296,2.42738127,0.67547402,1.37123028,0.24305517,0.00831096,0.01139462,1.33300812
-5.81990995,2.43912684,0.67404687,1.38221531,0.24838438,0.00872144,0.01179749,1.33263498
-5.81390695,2.45572696,0.67455512,1.39514102,0.25456994,0.00915188,0.01225224,1.33442562
-5.80790395,2.47723095,0.67704699,1.41005660,0.26157021,0.00959912,0.01275791,1.33849565
-5.80190095,2.50360507,0.68153923,1.42697389,0.26933457,0.01005960,0.01331335,1.34491585
-5.79589795,2.53472886,0.68801746,1.44586318,0.27780432,0.01052943,0.01391706,1.35370816
-5.78989495,2.57039288,0.69643692,1.46664971,0.28691346,0.01100441,0.01456711,1.36484280
-5.78389195,2.61029828,0.70672340,1.48921152,0.29658938,0.01148004,0.01526108,1.37823665
-5.77788894,2.65405835,0.71877446,1.51337850,0.30675349,0.01195162,0.01599594,1.39375300
-5.77188594,2.70120206,0.73246089,1.53893299,0.31732168,0.01241427,0.01676799,1.41120282
-5.76588294,2.75117966,0.74762831,1.56561187,0.32820477,0.01286304,0.01757282,1.43034755
-5.75987994,2.80337030,0.76409899,1.59311009,0.33930883,0.01329297,0.01840526,1.45090333
-5.75387694,2.85709140,0.78167377,1.62108564,0.35053550,0.01369920,0.01925942,1.47254653
-5.74787394,2.91160966,0.80013422,1.64916563,0.36178233,0.01407703,0.02012865,1.49492042
-5.74187094,2.96615327,0.81924485,1.67695344,0.37294313,0.01442207,0.02100565,1.51764277
-5.73586793,3.01992514,0.83875556,1.70403660,0.38390849,0.01473031,0.02188251,1.54031399
-5.72986493,3.07211667,0.85840429,1.72999508,0.39456633,0.01499821,0.02275082,1.56252570
-5.72386193,3.12192186,0.87791981,1.75440998,0.40480280,0.01522279,0.02360179,1.58386932
