energy_ev,total_up,Ga_p_up,Ga_d_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-6.00000000,1.10565499,0.07659427,0.00000000,0.47961304,0.00000000,0.32068030,0.27651750
-5.99399700,1.09841614,0.07715767,0.00000000,0.47934545,0.00000000,0.31705137,0.27437788
-5.98799400,1.08534488,0.07731064,0.00000000,0.47666285,0.00000000,0.31167382,0.27077645
-5.98199100,1.06679374,0.07704996,0.00000000,0.47166403,0.00000000,0.30467535,0.26581767
-5.97598799,1.04323785,0.07637961,0.00000000,0.46449965,0.00000000,0.29621974,0.25963690
-5.96998499,1.01525757,0.07531038,0.00000000,0.45536654,0.00000000,0.28650092,0.25239572
-5.96398199,0.98351881,0.07385946,0.00000000,0.44450101,0.00000000,0.27573621,0.24427672
-5.95797899,0.94875167,0.07204982,0.00000000,0.43217137,0.00000000,0.26415929,0.23547779
-5.95197599,0.91172845,0.06990958,0.00000000,0.41867003,0.00000000,0.25201294,0.22620619
-5.94597299,0.87324149,0.06747122,0.00000000,0.40430538,0.00000000,0.23954205,0.21667270
-5.93996998,0.83408191,0.06477080,0.00000000,0.38939371,0.00000000,0.22698701,0.20708588
-5.93396698,0.79501957,0.06184712,0.00000000,0.37425144,0.00000000,0.21457765,0.19764670
-5.92796398,0.75678512,0.05874092,0.00000000,0.35918787,0.00000000,0.20252808,0.18854367
-5.92196098,0.72005432,0.05549401,0.00000000,0.34449859,0.00000000,0.19103246,0.17994867
-5.91595798,0.68543509,0.05214846,0.00000000,0.33045979,0.00000000,0.18026166,0.17201336
-5.90995498,0.65345750,0.04874588,0.00000000,0.31732350,0.00000000,0.17036117,0.16486644
-5.90395198,0.62456676,0.04532671,0.00000000,0.30531389,0.00000000,0.16144987,0.15861175
-5.89794897,0.59911922,0.04192954,0.00000000,0.29462467,0.00000000,0.15361996,0.15332706
-5.89194597,0.57738126,0.03859063,0.00000000,0.28541760,0.00000000,0.14693771,0.14906379
-5.88594297,0.55953105,0.03534339,0.00000000,0.27782207,0.00000000,0.14144509,0.14584739
-5.87993997,0.54566273,0.03221805,0.00000000,0.27193576,0.00000000,0.13716206,0.14367846
-5.87393697,0.53579282,0.02924138,0.00000000,0.26782622,0.00000000,0.13408945,0.14253456
-5.86793397,0.52986857,0.02643651,0.00000000,0.26553327,0.00000000,0.13221214,0.14237254
-5.86193097,0.52777767,0.02382290,0.00000000,0.26507212,0.00000000,0.13150255,0.14313129
-5.85592796,0.52935912,0.02141630,0.00000000,0.26643693,0.00000000,0.13192417,0.14473500
-5.84992496,0.53441455,0.01922890,0.00000000,0.26960471,0.00000000,0.13343489,0.14709655
-5.84392196,0.54271979,0.01726951,0.00000000,0.27453931,0.00000000,0.13599023,0.15012105
-5.83791896,0.55403589,0.01554374,0.00000000,0.28119524,0.00000000,0.13954600,0.15370945
-5.83191596,0.56811942,0.01405433,0.00000000,0.28952113,0.00000000,0.14406058,0.15776199
-5.82591296,0.58473144,0.01280141,0.00000000,0.29946268,0.00000000,0.14949647,0.16218133
-5.81990995,0.60364480,0.01178285,0.00000000,0.31096473,0.00000000,0.15582120,0.16687546
-5.81390695,0.62464947,0.01099457,0.00000000,0.32397258,0.00000000,0.16300746,0.17176000
-5.80790395,0.64755561,0.01043083,0.00000000,0.33843220,0.00000000,0.17103253,0.17676000
-5.80190095,0.67219444,0.01008451,0.00000000,0.35428951,0.00000000,0.17987697,0.18181109
-5.79589795,0.69841668,0.00994738,0.00000000,0.37148857,0.00000000,0.18952269,0.18685999
-5.78989495,0.72608896,0.01001030,0.00000000,0.38996901,0.00000000,0.19995045,0.19186434
-5.78389195,0.75508820,0.01026341,0.00000000,0.40966264,0.00000000,0.21113707,0.19679190
-5.77788894,0.78529472,0.01069630,0.00000000,0.43048963,0.00000000,0.22305232,0.20161924
-5.77188594,0.81658424,0.01129810,0.00000000,0.45235453,0.00000000,0.23565592,0.20632987
-5.76588294,0.84881958,0.01205766,0.00000000,0.47514239,0.00000000,0.24889469,0.21091218
-5.75987994,0.88184267,0.01296356,0.00000000,0.49871541,0.00000000,0.26270008,0.21535712
-5.75387694,0.91546752,0.01400431,0.00000000,0.52291043,0.00000000,0.27698646,0.21965590
-5.74787394,0.94947475,0.01516835,0.00000000,0.54753753,0.00000000,0.29165002,0.22379783
-5.74187094,0.98360826,0.01644427,0.00000000,0.57238006,0.00000000,0.30656881,0.22776852
-5.73586793,1.01757445,0.01782087,0.00000000,0.59719633,0.00000000,0.32160360,0.23154849
-5.72986493,1.05104436,0.01928735,0.00000000,0.62172288,0.00000000,0.33659996,0.23511238
-5.72386193,1.08365865,0.02083344,0.00000000,0.64567955,0.00000000,0.35139128,0.23842875
-5.71785893,1.11503545,0.02244960,0.00000000,0.66877601,0.00000000,0.36580269,0.24146059
-5.71185593,1.14478076,0.02412714,0.00000000,0.69071966,0.00000000,0.37965580,0.24416645
-5.70585293,1.17250090,0.02585844,0.00000000,0.71122452,0.00000000,0.39277396,0.24650211
-5.69984992,1.19781628,0.02763699,0.00000000,0.73002062,0.00000000,0.40498776,0.24842282
-5.69384692,1.22037586,0.02945753,0.00000000,0.74686350,0.00000000,0.41614058,0.24988571
-5.68784392,1.23987129,0.03131606,0.00000000,0.76154323,0.00000000,0.42609379,0.25085253
-5.68184092,1.25605007,0.03320978,0.00000000,0.77389250,0.00000000,0.43473137,0.25129223
