energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,1.00125963,0.03074830,0.01766275,0.45209652,0.32414632,0.28010048,0.03715755,0.61890982,0.00000000
-5.99399700,1.05027969,0.03277111,0.01825958,0.47135823,0.34291233,0.29745093,0.03806787,0.64809994,0.00000000
-5.98799400,1.09957130,0.03495602,0.01888735,0.49044916,0.36189825,0.31440695,0.03920086,0.67734455,0.00000000
-5.98199100,1.14812799,0.03726545,0.01952838,0.50892234,0.38075662,0.33070299,0.04052085,0.70603194,0.00000000
-5.97598799,1.19497401,0.03965831,0.02016523,0.52635167,0.39914346,0.34608733,0.04199132,0.73357391,0.00000000
-5.96998499,1.23919787,0.04209091,0.02078127,0.54234745,0.41672847,0.36033119,0.04357624,0.75942692,0.00000000
-5.96398199,1.27998471,0.04451777,0.02136128,0.55657111,0.43320517,0.37323757,0.04524149,0.78311219,0.00000000
-5.95797899,1.31664635,0.04689280,0.02189196,0.56874835,0.44830069,0.38464947,0.04695617,0.80423427,0.00000000
-5.95197599,1.34864802,0.04917030,0.02236250,0.57868031,0.46178495,0.39445711,0.04869388,0.82249722,0.00000000
-5.94597299,1.37563052,0.05130622,0.02276486,0.58625232,0.47347882,0.40260382,0.05043380,0.83771782,0.00000000
-5.93996998,1.39742709,0.05325936,0.02309414,0.59143978,0.48326103,0.40909039,0.05216163,0.84983523,0.00000000
-5.93396698,1.41407411,0.05499249,0.02334878,0.59431092,0.49107336,0.41397753,0.05387036,0.85891657,0.00000000
-5.92796398,1.42581504,0.05647353,0.02353054,0.59502633,0.49692413,0.41738638,0.05556068,0.86515827,0.00000000
-5.92196098,1.43309725,0.05767651,0.02364457,0.59383510,0.50088954,0.41949683,0.05724123,0.86888277,0.00000000
-5.91595798,1.43656172,0.05858245,0.02369913,0.59106784,0.50311282,0.42054378,0.05892848,0.87053074,0.00000000
-5.90995498,1.43702548,0.05917997,0.02370538,0.58712654,0.50380116,0.42081125,0.06064628,0.87064879,0.00000000
