energy_ev,total_up,total_down,N_s_up,N_s_down,N_p_up,N_p_down,Na_s_up,Na_s_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,0.88488788,-0.88488787,0.00475010,-0.00475010,0.18481362,-0.18481361,0.03772654,-0.03772655,0.43305698,-0.43305697,0.31210428,-0.31210428,0.33932869,-0.33932870,0.00000000,-0.00000000
-5.99399700,0.89467088,-0.89467088,0.00531529,-0.00531529,0.17899536,-0.17899536,0.04068598,-0.04068598,0.41742009,-0.41742008,0.31671183,-0.31671183,0.35433264,-0.35433265,0.00000000,-0.00000000
-5.98799400,0.92092302,-0.92092303,0.00595114,-0.00595115,0.17704917,-0.17704917,0.04411715,-0.04411716,0.40884577,-0.40884576,0.32851014,-0.32851015,0.37471320,-0.37471321,0.00000000,-0.00000000
-5.98199100,0.96332155,-0.96332157,0.00665548,-0.00665548,0.17891442,-0.17891442,0.04799194,-0.04799195,0.40708228,-0.40708228,0.34747027,-0.34747028,0.40031805,-0.40031807,0.00000000,-0.00000000
-5.97598799,1.02133706,-1.02133709,0.00742441,-0.00742441,0.18449675,-0.18449676,0.05227166,-0.05227167,0.41178205,-0.41178205,0.37350350,-0.37350351,0.43089901,-0.43089903,0.00000000,-0.00000000
-5.96998499,1.09423167,-1.09423170,0.00825220,-0.00825220,0.19366823,-0.19366824,0.05690737,-0.05690737,0.42251069,-0.42251069,0.40645499,-0.40645500,0.46611183,-0.46611186,0.00000000,-0.00000000
-5.96398199,1.18105777,-1.18105781,0.00913129,-0.00913129,0.20626682,-0.20626682,0.06184046,-0.06184046,0.43875626,-0.43875627,0.44609621,-0.44609623,0.50551768,-0.50551770,0.00000000,-0.00000000
-5.95797899,1.28065813,-1.28065818,0.01005227,-0.01005227,0.22209538,-0.22209539,0.06700359,-0.06700359,0.45993868,-0.45993869,0.49211695,-0.49211697,0.54858648,-0.54858651,0.00000000,-0.00000000
-5.95197599,1.39166855,-1.39166861,0.01100396,-0.01100396,0.24092045,-0.24092046,0.07232201,-0.07232202,0.48541942,-0.48541943,0.54411737,-0.54411739,0.59470254,-0.59470257,0.00000000,-0.00000000
-5.94597299,1.51252426,-1.51252432,0.01197354,-0.01197354,0.26247109,-0.26247110,0.07771517,-0.07771517,0.51451170,-0.51451171,0.60160121,-0.60160123,0.64317257,-0.64317260,0.00000000,-0.00000000
-5.93996998,1.64147108,-1.64147114,0.01294679,-0.01294679,0.28643817,-0.28643818,0.08309869,-0.08309870,0.54649113,-0.54649115,0.66397081,-0.66397084,0.69323638,-0.69323641,0.00000000,-0.00000000
-5.93396698,1.77658245,-1.77658252,0.01390836,-0.01390837,0.31247446,-0.31247447,0.08838666,-0.08838666,0.58060717,-0.58060719,0.73052486,-0.73052489,0.74408026,-0.74408029,0.00000000,-0.00000000
-5.92796398,1.91578299,-1.91578306,0.01484211,-0.01484211,0.34019590,-0.34019591,0.09349409,-0.09349409,0.61609524,-0.61609526,0.80045968,-0.80045972,0.79485286,-0.79485288,0.00000000,-0.00000000
-5.92196098,2.05687902,-2.05687909,0.01573150,-0.01573150,0.36918420,-0.36918422,0.09833961,-0.09833962,0.65218972,-0.65218974,0.87287455,-0.87287458,0.84468347,-0.84468350,0.00000000,-0.00000000
-5.91595798,2.19759597,-2.19759604,0.01656004,-0.01656004,0.39899122,-0.39899124,0.10284822,-0.10284822,0.68813752,-0.68813754,0.94678166,-0.94678169,0.89270215,-0.89270217,0.00000000,-0.00000000
-5.90995498,2.33562235,-2.33562242,0.01731178,-0.01731178,0.42914503,-0.42914505,0.10695394,-0.10695394,0.72321223,-0.72321225,1.02112086,-1.02112089,0.93806113,-0.93806115,0.00000000,-0.00000000
-5.90395198,2.46865924,-2.46865930,0.01797174,-0.01797174,0.45915778,-0.45915780,0.11060244,-0.11060244,0.75672836,-0.75672837,1.09477908,-1.09477911,0.97995689,-0.97995691,0.00000000,-0.00000000
-5.89794897,2.59447399,-2.59447405,0.01852643,-0.01852643,0.48853531,-0.48853533,0.11375335,-0.11375335,0.78805540,-0.78805542,1.16661420,-1.16661423,1.01765200,-1.01765202,0.00000000,-0.00000000
-5.89194597,2.71095640,-2.71095646,0.01896422,-0.01896422,0.51678814,-0.51678815,0.11638220,-0.11638220,0.81663127,-0.81663128,1.23548265,-1.23548268,1.05049581,-1.05049582,0.00000000,-0.00000000
-5.88594297,2.81617520,-2.81617525,0.01927577,-0.01927577,0.54344361,-0.54344362,0.11848195,-0.11848195,0.84197447,-0.84197449,1.30026988,-1.30026990,1.07794328,-1.07794329,0.00000000,-0.00000000
-5.87993997,2.90843260,-2.90843264,0.01945431,-0.01945431,0.56805870,-0.56805871,0.12006396,-0.12006396,0.86369462,-0.86369463,1.35992250,-1.35992253,1.09957092,-1.09957093,0.00000000,-0.00000000
-5.87393697,2.98631448,-2.98631451,0.01949589,-0.01949589,0.59023288,-0.59023289,0.12115833,-0.12115833,0.88150070,-0.88150071,1.41348090,-1.41348092,1.11508910,-1.11508911,0.00000000,-0.00000000
-5.86793397,3.04873381,-3.04873384,0.01939950,-0.01939950,0.60962062,-0.60962063,0.12181358,-0.12181358,0.89520673,-0.89520674,1.46011061,-1.46011063,1.12435025,-1.12435025,0.00000000,-0.00000000
-5.86193097,3.09496518,-3.09496519,0.01916708,-0.01916708,0.62594268,-0.62594269,0.12209572,-0.12209572,0.90473433,-0.90473433,1.49913119,-1.49913120,1.12735229,-1.12735228,0.00000000,-0.00000000
-5.85592796,3.12466837,-3.12466838,0.01880347,-0.01880347,0.63899577,-0.63899578,0.12208656,-0.12208656,0.91011208,-0.91011208,1.53004098,-1.53004099,1.12423719,-1.12423718,0.00000000,-0.00000000
-5.84992496,3.13789975,-3.13789975,0.01831624,-0.01831624,0.64865999,-0.64866000,0.12188143,-0.12188144,0.91147154,-0.91147153,1.55253639,-1.55253640,1.11528464,-1.11528463,0.00000000,-0.00000000
-5.84392196,3.13511028,-3.13511028,0.01771538,-0.01771538,0.65490349,-0.65490349,0.12158636,-0.12158636,0.90903990,-0.90903990,1.56652461,-1.56652462,1.10090091,-1.10090090,0.00000000,-0.00000000
-5.83791896,3.11712994,-3.11712992,0.01701301,-0.01701301,0.65778408,-0.65778408,0.12131467,-0.12131468,0.90312961,-0.90312961,1.57212888,-1.57212888,1.08160354,-1.08160352,0.00000000,-0.00000000
-5.83191596,3.08513874,-3.08513872,0.01622293,-0.01622293,0.65744758,-0.65744758,0.12118327,-0.12118327,0.89412523,-0.89412522,1.56968570,-1.56968570,1.05800230,-1.05800228,0.00000000,-0.00000000
-5.82591296,3.04062534,-3.04062532,0.01536018,-0.01536018,0.65412276,-0.65412276,0.12130861,-0.12130861,0.88246803,-0.88246802,1.55973398,-1.55973397,1.03077739,-1.03077738,0.00000000,-0.00000000
-5.81990995,2.98533462,-2.98533459,0.01444058,-0.01444058,0.64811312,-0.64811312,0.12180256,-0.12180256,0.86863902,-0.86863901,1.54299622,-1.54299622,1.00065571,-1.00065569,0.00000000,-0.00000000
-5.81390695,2.92120630,-2.92120628,0.01348022,-0.01348022,0.63978559,-0.63978559,0.12276827,-0.12276827,0.85314098,-0.85314097,1.52035251,-1.52035251,0.96838621,-0.96838619,0.00000000,-0.00000000
-5.80790395,2.85030717,-2.85030714,0.01249503,-0.01249503,0.62955682,-0.62955682,0.12429613,-0.12429614,0.83648027,-0.83648026,1.49280822,-1.49280821,0.93471544,-0.93471542,0.00000000,-0.00000000
-5.80190095,2.77475943,-2.77475941,0.01150035,-0.01150035,0.61787737,-0.61787737,0.12646016,-0.12646016,0.81914918,-0.81914917,1.46145686,-1.46145685,0.90036421,-0.90036419,0.00000000,-0.00000000
-5.79589795,2.69666842,-2.69666840,0.01051053,-0.01051053,0.60521462,-0.60521462,0.12931467,-0.12931468,0.80160954,-0.80160953,1.42743966,-1.42743965,0.86600629,-0.86600627,0.00000000,-0.00000000
-5.78989495,2.61805237,-2.61805235,0.00953864,-0.00953864,0.59203514,-0.59203514,0.13289164,-0.13289165,0.78427806,-0.78427805,1.39190357,-1.39190356,0.83225000,-0.83224998,0.00000000,-0.00000000
-5.78389195,2.54077731,-2.54077729,0.00859623,-0.00859623,0.57878713,-0.57878713,0.13719866,-0.13719867,0.76751419,-0.76751419,1.35595962,-1.35595961,0.79962329,-0.79962327,0.00000000,-0.00000000
-5.77788894,2.46649953,-2.46649952,0.00769315,-0.00769315,0.56588394,-0.56588394,0.14221771,-0.14221772,0.75161074,-0.75161074,1.32064343,-1.32064343,0.76856274,-0.76856272,0.00000000,-0.00000000
-5.77188594,2.39661794,-2.39661793,0.00683743,-0.00683743,0.55368915,-0.55368915,0.14790479,-0.14790480,0.73678753,-0.73678752,1.28687964,-1.28687964,0.73940679,-0.73940678,0.00000000,-0.00000000
-5.76588294,2.33223794,-2.33223794,0.00603529,-0.00603529,0.54250401,-0.54250401,0.15419036,-0.15419037,0.72318826,-0.72318826,1.25545168,-1.25545168,0.71239324,-0.71239323,0.00000000,-0.00000000
-5.75987994,2.27414821,-2.27414821,0.00529117,-0.00529117,0.53255768,-0.53255769,0.16098077,-0.16098078,0.71088060,-0.71088059,1.22697832,-1.22697832,0.68766078,-0.68766078,0.00000000,-0.00000000
-5.75387694,2.22281078,-2.22281079,0.00460780,-0.00460780,0.52400074,-0.52400074,0.16816048,-0.16816049,0.69985916,-0.69985916,1.20189773,-1.20189773,0.66525444,-0.66525444,0.00000000,-0.00000000
-5.74787394,2.17836457,-2.17836458,0.00398637,-0.00398637,0.51690211,-0.51690211,0.17559515,-0.17559517,0.69005132,-0.69005132,1.18045977,-1.18045978,0.64513422,-0.64513422,0.00000000,-0.00000000
-5.74187094,2.14064174,-2.14064175,0.00342666,-0.00342666,0.51124954,-0.51124955,0.18313547,-0.18313548,0.68132523,-0.68132523,1.16272656,-1.16272657,0.62718653,-0.62718653,0.00000000,-0.00000000
