energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,6.02235898,0.46961613,0.14256183,0.02079043,1.41492544,0.06560352,2.11031246,2.34883821,1.65187445
-5.99399700,6.02903307,0.47253543,0.14480436,0.02088573,1.40637079,0.06565411,2.12667220,2.34276780,1.64704336
-5.98799400,6.02608879,0.47446142,0.14705744,0.02091714,1.39537673,0.06557576,2.13983569,2.33199715,1.64039347
-5.98199100,6.01272615,0.47532161,0.14928985,0.02088502,1.38184846,0.06537291,2.14941367,2.31634573,1.63176319
-5.97598799,5.98841168,0.47506199,0.15147478,0.02079128,1.36576909,0.06505387,2.15509595,2.29575073,1.62105878
-5.96998499,5.95291965,0.47365025,0.15359079,0.02063938,1.34720978,0.06463074,2.15666580,2.27028320,1.60826639
-5.96398199,5.90636075,0.47107822,0.15562248,0.02043425,1.32633579,0.06411928,2.15401105,2.24015886,1.59346034
-5.95797899,5.84919669,0.46736351,0.15756104,0.02018219,1.30340816,0.06353857,2.14713131,2.20574286,1.57680699
-5.95197599,5.78223981,0.46255032,0.15940434,0.01989069,1.27878058,0.06291065,2.13614112,2.16754796,1.55856385
-5.94597299,5.70663767,0.45670933,0.16115693,0.01956820,1.25289166,0.06225990,2.12126878,2.12622605,1.53907409
-5.93996998,5.62384315,0.44993668,0.16282969,0.01922391,1.22625271,0.06161252,2.10285112,2.08255334,1.51875650
-5.93396698,5.53557182,0.44235224,0.16443930,0.01886745,1.19943174,0.06099580,2.08132444,2.03740986,1.49809142
-5.92796398,5.44374828,0.43409710,0.16600754,0.01850862,1.17303429,0.06043747,2.05721211,1.99175410,1.47760341
-5.92196098,5.35044441,0.42533060,0.16756040,0.01815713,1.14768206,0.05996494,2.03110944,1.94659417,1.45784139
-5.91595798,5.25781230,0.41622686,0.16912714,0.01782232,1.12399039,0.05960464,2.00366661,1.90295689,1.43935738
-5.90995498,5.16801502,0.40697110,0.17073928,0.01751291,1.10254571,0.05938138,1.97557027,1.86185609,1.42268480
-5.90395198,5.08315854,0.39775590,0.17242952,0.01723686,1.08388388,0.05931777,1.94752483,1.82426193,1.40831745
-5.89794897,5.00522754,0.38877742,0.17423075,0.01700115,1.06847074,0.05943367,1.92023403,1.79107246,1.39669017
-5.89194597,4.93602797,0.38023187,0.17617506,0.01681175,1.05668548,0.05974582,1.89438345,1.76308869,1.38816211
-5.88594297,4.87713836,0.37231212,0.17829285,0.01667349,1.04880777,0.06026750,1.87062468,1.74099424,1.38300334
-5.87993997,4.82987169,0.36520472,0.18061204,0.01659011,1.04500907,0.06100827,1.84956142,1.72534031,1.38138538
-5.87393697,4.79524863,0.35908716,0.18315731,0.01656427,1.04534856,0.06197390,1.83173790,1.71653626,1.38337601
-5.86793397,4.77398268,0.35412544,0.18594956,0.01659761,1.04977363,0.06316628,1.81762967,1.71484593,1.38893847
-5.86193097,4.76647687,0.35047202,0.18900536,0.01669086,1.05812489,0.06458346,1.80763690,1.72038945,1.39793501
