energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Mo_p_up,Mo_d_up,Te_p_up,Te_d_up
-6.00000000,2.10944555,0.02422815,0.53658831,0.00640977,0.00000000,2.37319703,0.70680948,0.72544555,0.00000000
-5.99399700,2.19798960,0.02436449,0.55539820,0.00661834,0.00000000,2.50079363,0.71811767,0.76265514,0.00000000
-5.98799400,2.28667836,0.02443470,0.57372472,0.00684480,0.00000000,2.62860384,0.72865759,0.80032793,0.00000000
-5.98199100,2.37411749,0.02443700,0.59133845,0.00708194,0.00000000,2.75469048,0.73837902,0.83779287,0.00000000
-5.97598799,2.45897188,0.02437099,0.60803378,0.00732269,0.00000000,2.87712324,0.74729418,0.87438041,0.00000000
-5.96998499,2.54001267,0.02423759,0.62363811,0.00756028,0.00000000,2.99404285,0.75548352,0.90944285,0.00000000
-5.96398199,2.61616670,0.02403901,0.63802158,0.00778841,0.00000000,3.10372863,0.76310179,0.94237556,0.00000000
-5.95797899,2.68656637,0.02377874,0.65110685,0.00800147,0.00000000,3.20466683,0.77038394,0.97263865,0.00000000
-5.95197599,2.75059789,0.02346149,0.66287872,0.00819467,0.00000000,3.29561669,0.77765070,0.99977787,0.00000000
-5.94597299,2.80794534,0.02309313,0.67339280,0.00836421,0.00000000,3.37567116,0.78531321,1.02344396,0.00000000
-5.93996998,2.85862818,0.02268063,0.68278291,0.00850745,0.00000000,3.44430907,0.79387622,1.04340943,0.00000000
-5.93396698,2.90302951,0.02223202,0.69126639,0.00862296,0.00000000,3.50143552,0.80393921,1.05958189,0.00000000
-5.92796398,2.94191296,0.02175623,0.69914701,0.00871064,0.00000000,3.54740800,0.81619470,1.07201306,0.00000000
-5.92196098,2.97642600,0.02126301,0.70681466,0.00877174,0.00000000,3.58304571,0.83142326,1.08090281,0.00000000
-5.91595798,3.00808836,0.02076281,0.71474179,0.00880884,0.00000000,3.60962081,0.85048441,1.08659773,0.00000000
-5.90995498,3.03876444,0.02026655,0.72347590,0.00882582,0.00000000,3.62883061,0.87430310,1.08958411,0.00000000
-5.90395198,3.07061968,0.01978543,0.73362825,0.00882771,0.00000000,3.64275097,0.90385140,1.09047516,0.00000000
-5.89794897,3.10606120,0.01933071,0.74585868,0.00882061,0.00000000,3.65377193,0.94012531,1.08999293,0.00000000
-5.89194597,3.14766423,0.01891339,0.76085679,0.00881148,0.00000000,3.66451750,0.98411692,1.08894539,0.00000000
-5.88594297,3.19808612,0.01854397,0.77931996,0.00880790,0.00000000,3.67775247,1.03678214,1.08819943,0.00000000
