energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,1.61409327,-1.61486985,0.36516265,-0.36540900,0.36238196,-0.36286906,0.27863268,-0.27859936,0.12507414,-0.12499248,0.00056948,-0.00057109,0.34696188,-0.34742067,0.04054196,-0.04053176,0.53259819,-0.53253637
-5.99399700,1.68441304,-1.68523718,0.38549042,-0.38575457,0.38125466,-0.38175916,0.29431411,-0.29427910,0.12842638,-0.12834515,0.00053442,-0.00053577,0.36470530,-0.36518536,0.04093441,-0.04092661,0.55375915,-0.55369970
-5.98799400,1.75551189,-1.75639194,0.40678392,-0.40706819,0.40054256,-0.40106666,0.31051955,-0.31048448,0.13156257,-0.13148236,0.00051091,-0.00051204,0.38295001,-0.38345349,0.04113164,-0.04112625,0.57502143,-0.57496674
-5.98199100,1.82690919,-1.82785216,0.42899191,-0.42929838,0.42026917,-0.42081480,0.32693658,-0.32690300,0.13443372,-0.13435493,0.00049769,-0.00049862,0.40178319,-0.40231195,0.04113692,-0.04113388,0.59598630,-0.59593831
-5.97598799,1.89820430,-1.89921532,0.45208771,-0.45241815,0.44045808,-0.44102670,0.34325733,-0.34322670,0.13700505,-0.13692789,0.00049361,-0.00049438,0.42130096,-0.42185638,0.04095976,-0.04095892,0.61628937,-0.61624950
-5.96998499,1.96908544,-1.97016740,0.47607278,-0.47642857,0.46112857,-0.46172097,0.35918768,-0.35916128,0.13925748,-0.13918195,0.00049770,-0.00049833,0.44160372,-0.44218657,0.04061577,-0.04061692,0.63561188,-0.63558100
-5.96398199,2.03933587,-2.04048901,0.50097946,-0.50136152,0.48229128,-0.48290738,0.37445619,-0.37443514,0.14118859,-0.14111447,0.00050917,-0.00050968,0.46279132,-0.46340158,0.04012636,-0.04012924,0.65369099,-0.65366936
-5.95797899,2.10883735,-2.11005900,0.52687291,-0.52728171,0.50394408,-0.50458283,0.38882257,-0.38880778,0.14281321,-0.14274005,0.00052737,-0.00052778,0.48495813,-0.48559489,0.03951829,-0.03952254,0.67032833,-0.67031560
-5.95197599,2.17757098,-2.17885540,0.55385203,-0.55428751,0.52606860,-0.52672779,0.40208526,-0.40207739,0.14416343,-0.14409058,0.00055188,-0.00055219,0.50818851,-0.50884987,0.03882290,-0.03882815,0.68539678,-0.68539200
-5.94597299,2.24561541,-2.24695370,0.58204914,-0.58251076,0.54862753,-0.54930381,0.41408773,-0.41408717,0.14528816,-0.14521474,0.00058243,-0.00058265,0.53255282,-0.53323588,0.03807534,-0.03808114,0.69884495,-0.69884656
-5.93996998,2.31314247,-2.31452269,0.61162854,-0.61211528,0.57156311,-0.57225195,0.42472323,-0.42473011,0.14625208,-0.14617701,0.00061894,-0.00061907,0.55810425,-0.55880512,0.03731355,-0.03731944,0.71069908,-0.71070498
-5.93396698,2.38041021,-2.38181760,0.64278346,-0.64329389,0.59479684,-0.59549259,0.43393777,-0.43395190,0.14713415,-0.14705618,0.00066146,-0.00066150,0.58487666,-0.58559054,0.03657718,-0.03658267,0.72106225,-0.72106981
