energy_ev,total_up,C_s_up,C_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,4.82688431,0.08206265,0.09341181,1.88577414,0.55557819,0.09946051,3.06167660
-5.99399700,4.95710110,0.07811759,0.09704064,1.95610957,0.57034390,0.10308413,3.14740627
-5.98799400,5.07388322,0.07427539,0.10034412,2.02226607,0.58347377,0.10650472,3.22434330
-5.98199100,5.17445949,0.07055652,0.10325784,2.08270361,0.59465005,0.10964755,3.29070260
-5.97598799,5.25622181,0.06697400,0.10572150,2.13594166,0.60357754,0.11243815,3.34481185
-5.96998499,5.31679810,0.06353417,0.10768075,2.18059773,0.60999211,0.11480480,3.38515732
-5.96398199,5.35412454,0.06023757,0.10908891,2.21542614,0.61366874,0.11668090,3.41042880
-5.95797899,5.36651361,0.05708008,0.10990857,2.23935504,0.61442908,0.11800744,3.41956183
-5.95197599,5.35271444,0.05405422,0.11011295,2.25152008,0.61214791,0.11873517,3.41177501
-5.94597299,5.31196260,0.05115033,0.10968688,2.25129300,0.60675823,0.11882651,3.38660043
-5.93996998,5.24401629,0.04835786,0.10862756,2.23830346,0.59825469,0.11825712,3.34390560
-5.93396698,5.14917693,0.04566647,0.10694485,2.21245314,0.58669532,0.11701698,3.28390550
-5.92796398,5.02829266,0.04306701,0.10466114,2.17392106,0.57220107,0.11511093,3.20716384
-5.92196098,4.88274414,0.04055236,0.10181088,2.12315981,0.55495361,0.11255875,3.11458323
-5.91595798,4.71441300,0.03811797,0.09843968,2.06088268,0.53519101,0.10939461,3.00738443
-5.90995498,4.52563390,0.03576232,0.09460307,1.98804228,0.51320184,0.10566608,2.88707536
-5.90395198,4.31913232,0.03348707,0.09036499,1.90580137,0.48931762,0.10143267,2.75541110
-5.89794897,4.09795052,0.03129708,0.08579601,1.81549745,0.46390415,0.09676396,2.61434656
-5.89194597,3.86536486,0.02920024,0.08097143,1.71860249,0.43735201,0.09173748,2.46598373
-5.88594297,3.62479795,0.02720716,0.07596929,1.61667961,0.41006655,0.08643633,2.31251577
-5.87993997,3.37972921,0.02533074,0.07086840,1.51133867,0.38245781,0.08094679,2.15617007
-5.87393697,3.13360735,0.02358569,0.06574640,1.40419246,0.35493079,0.07535588,1.99915269
-5.86793397,2.88976798,0.02198793,0.06067801,1.29681536,0.32787631,0.06974905,1.84359606
-5.86193097,2.65135938,0.02055403,0.05573346,1.19070579,0.30166278,0.06420807,1.69151186
-5.85592796,2.42127846,0.01930056,0.05097719,1.08725398,0.27662913,0.05880915,1.54475043
-5.84992496,2.20211876,0.01824353,0.04646675,0.98771561,0.25307901,0.05362146,1.40496786
-5.84392196,1.99613139,0.01739773,0.04225207,0.89319223,0.23127636,0.04870583,1.27360126
-5.83791896,1.80519924,0.01677627,0.03837495,0.80461840,0.21144237,0.04411399,1.15185244
-5.83191596,1.63082405,0.01638993,0.03486884,0.72275561,0.19375370,0.03988806,1.04067989
-5.82591296,1.47412568,0.01624676,0.03175894,0.64819241,0.17834203,0.03606036,0.94079835
-5.81990995,1.33585212,0.01635158,0.02906236,0.58135026,0.16529462,0.03265357,0.85268529
-5.81390695,1.21639867,0.01670561,0.02678864,0.52249409,0.15465586,0.02968118,0.77659322
-5.80790395,1.11583464,0.01730611,0.02494030,0.47174661,0.14642956,0.02714799,0.71256671
-5.80190095,1.03393552,0.01814610,0.02351354,0.42910553,0.14058184,0.02505102,0.66046297
-5.79589795,0.97021898,0.01921418,0.02249900,0.39446241,0.13704454,0.02338028,0.61997476
-5.78989495,0.92398290,0.02049442,0.02188258,0.36762225,0.13571884,0.02211980,0.59065470
-5.78389195,0.89434403,0.02196638,0.02164622,0.34832296,0.13647918,0.02124858,0.57193985
-5.77788894,0.88027584,0.02360518,0.02176870,0.33625388,0.13917724,0.02074161,0.56317590
-5.77188594,0.88064475,0.02538183,0.02222638,0.33107259,0.14364599,0.02057076,0.56364021
-5.76588294,0.89424363,0.02726353,0.02299390,0.33241958,0.14970365,0.02070570,0.57256321
-5.75987994,0.91982223,0.02921430,0.02404483,0.33993040,0.15715773,0.02111471,0.58914772
-5.75387694,0.95611394,0.03119559,0.02535215,0.35324483,0.16580879,0.02176542,0.61258608
-5.74787394,1.00185857,0.03316711,0.02688881,0.37201318,0.17545418,0.02262544,0.64207462
-5.74187094,1.05582119,0.03508775,0.02862802,0.39589946,0.18589150,0.02366293,0.67682563
-5.73586793,1.11680674,0.03691658,0.03054356,0.42458173,0.19692192,0.02484703,0.71607673
-5.72986493,1.18367062,0.03861394,0.03260999,0.45774954,0.20835305,0.02614826,0.75909752
-5.72386193,1.25532528,0.04014249,0.03480273,0.49509910,0.22000161,0.02753877,0.80519383
-5.71785893,1.33074315,0.04146832,0.03709805,0.53632630,0.23169559,0.02899255,0.85370950
-5.71185593,1.40895613,0.04256191,0.03947305,0.58111819,0.24327603,0.03048552,0.90402603
-5.70585293,1.48905223,0.04339902,0.04190548,0.62914354,0.25459829,0.03199561,0.95556048
-5.69984992,1.57016993,0.04396150,0.04437355,0.68004308,0.26553291,0.03350270,1.00776176
-5.69384692,1.65149089,0.04423777,0.04685575,0.73342019,0.27596592,0.03498862,1.06010605
-5.68784392,1.73223210,0.04422324,0.04933059,0.78883272,0.28579885,0.03643700,1.11209172
