energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Hf_p_up,Hf_d_up,S_s_up,S_p_up
-6.00000000,0.80669746,0.00001629,0.03429771,0.40090786,0.47578424,0.04775123,0.06134923,0.00074969,0.23880032
-5.99399700,0.76621917,0.00002163,0.03430893,0.38449427,0.45145628,0.04770163,0.05872690,0.00070843,0.21762598
-5.98799400,0.72690028,0.00002853,0.03422832,0.36826065,0.42796007,0.04758180,0.05612715,0.00066607,0.19738740
-5.98199100,0.68904818,0.00003735,0.03405715,0.35233729,0.40553494,0.04738011,0.05356548,0.00062362,0.17817683
-5.97598799,0.65299124,0.00004856,0.03380008,0.33686356,0.38443808,0.04709033,0.05105890,0.00058214,0.16007207
-5.96998499,0.61908291,0.00006267,0.03346560,0.32199017,0.36494741,0.04671244,0.04862620,0.00054271,0.14313570
-5.96398199,0.58770645,0.00008032,0.03306651,0.30788157,0.34736470,0.04625338,0.04628829,0.00050639,0.12741491
-5.95797899,0.55927976,0.00010220,0.03262020,0.29471802,0.33201910,0.04572758,0.04406853,0.00047428,0.11294174
-5.95197599,0.53426015,0.00012912,0.03214890,0.28269744,0.31927064,0.04515726,0.04199298,0.00044748,0.09973380
-5.94597299,0.51314855,0.00016198,0.03167974,0.27203660,0.30951349,0.04457247,0.04009067,0.00042708,0.08779548
-5.93996998,0.49649291,0.00020176,0.03124471,0.26297161,0.30317883,0.04401095,0.03839377,0.00041424,0.07711951
-5.93396698,0.48489025,0.00024954,0.03088037,0.25575747,0.30073681,0.04351767,0.03693766,0.00041010,0.06768874
-5.92796398,0.47898710,0.00030646,0.03062755,0.25066663,0.30269751,0.04314407,0.03576089,0.00041589,0.05947817
-5.92196098,0.47947785,0.00037371,0.03053071,0.24798632,0.30961044,0.04294719,0.03490499,0.00043287,0.05245705
-5.91595798,0.48710090,0.00045251,0.03063725,0.24801478,0.32206246,0.04298841,0.03441421,0.00046239,0.04659098
-5.90995498,0.50263218,0.00054410,0.03099661,0.25105628,0.34067376,0.04333207,0.03433500,0.00050587,0.04184389
-5.90395198,0.52687596,0.00064964,0.03165929,0.25741500,0.36609185,0.04404391,0.03471544,0.00056484,0.03817986
-5.89794897,0.56065307,0.00077025,0.03267566,0.26738792,0.39898337,0.04518936,0.03560445,0.00064090,0.03556465
-5.89194597,0.60478625,0.00090691,0.03409477,0.28125693,0.44002369,0.04683173,0.03705090,0.00073577,0.03396694
-5.88594297,0.66008317,0.00106042,0.03596303,0.29928029,0.48988444,0.04903035,0.03910260,0.00085125,0.03335925
-5.87993997,0.72731703,0.00123138,0.03832286,0.32168376,0.54921890,0.05183881,0.04180511,0.00098924,0.03371837
-5.87393697,0.80720542,0.00142009,0.04121140,0.34865175,0.61864574,0.05530310,0.04520059,0.00115169,0.03502556
-5.86793397,0.90038773,0.00162654,0.04465915,0.38031872,0.69873110,0.05946006,0.04932653,0.00134059,0.03726618
-5.86193097,1.00740175,0.00185038,0.04868884,0.41676128,0.78996969,0.06433588,0.05421444,0.00155795,0.04042914
-5.85592796,1.12866008,0.00209084,0.05331424,0.45799119,0.89276511,0.06994489,0.05988865,0.00180576,0.04450586
-5.84992496,1.26442711,0.00234676,0.05853934,0.50394978,1.00741012,0.07628864,0.06636506,0.00208594,0.04948908
-5.84392196,1.41479716,0.00261655,0.06435751,0.55450376,1.13406724,0.08335527,0.07365014,0.00240029,0.05537130
-5.83791896,1.57967469,0.00289823,0.07075107,0.60944297,1.27275051,0.09111928,0.08173990,0.00275042,0.06214318
-5.83191596,1.75875726,0.00318940,0.07769105,0.66847996,1.42330887,0.09954165,0.09061915,0.00313774,0.06979172
-5.82591296,1.95152180,0.00348736,0.08513718,0.73125163,1.58541180,0.10857035,0.10026097,0.00356334,0.07829846
-5.81990995,2.15721510,0.00378909,0.09303826,0.79732287,1.75853803,0.11814126,0.11062632,0.00402793,0.08763774
-5.81390695,2.37484877,0.00409136,0.10133276,0.86619208,1.94196769,0.12817931,0.12166395,0.00453180,0.09777497
-5.80790395,2.60319928,0.00439083,0.10994973,0.93729847,2.13477852,0.13860012,0.13331064,0.00507472,0.10866524
-5.80190095,2.84081343,0.00468410,0.11880994,1.01003081,2.33584664,0.14931167,0.14549154,0.00565590,0.12025203
-5.79589795,3.08601929,0.00496787,0.12782723,1.08373748,2.54385212,0.16021631,0.15812092,0.00627388,0.13246634
-5.78989495,3.33694276,0.00523896,0.13691012,1.15773728,2.75728966,0.17121275,0.17110302,0.00692653,0.14522620
-5.78389195,3.59152955,0.00549450,0.14596343,1.23133088,2.97448451,0.18219812,0.18433324,0.00761093,0.15843651
-5.77788894,3.84757248,0.00573193,0.15489011,1.30381238,3.19361338,0.19306996,0.19769940,0.00832342,0.17198952
-5.77188594,4.10274338,0.00594913,0.16359295,1.37448080,3.41273042,0.20372797,0.21108323,0.00905949,0.18576560
-5.76588294,4.35462934,0.00614445,0.17197641,1.44265117,3.62979759,0.21407566,0.22436195,0.00981383,0.19963468
-5.75987994,4.60077236,0.00631677,0.17994824,1.50766497,3.84271900,0.22402167,0.23740992,0.01058035,0.21345805
-5.75387694,4.83871165,0.00646548,0.18742100,1.56889987,4.04937846,0.23348076,0.25010038,0.01135217,0.22709068
-5.74787394,5.06602765,0.00659050,0.19431349,1.62577853,4.24767931,0.24237456,0.26230715,0.01212173,0.24038389
-5.74187094,5.28038662,0.00669221,0.20055189,1.67777652,4.43558550,0.25063197,0.27390637,0.01288086,0.25318839
-5.73586793,5.47958483,0.00677144,0.20607074,1.72442934,4.61116276,0.25818928,0.28477819,0.01362091,0.26535750
-5.72986493,5.66159101,0.00682936,0.21081369,1.76533851,4.77261872,0.26499013,0.29480840,0.01433285,0.27675056
-5.72386193,5.82458610,0.00686743,0.21473406,1.80017684,4.91834059,0.27098526,0.30389003,0.01500750,0.28723631
-5.71785893,5.96699902,0.00688727,0.21779518,1.82869291,5.04692934,0.27613216,0.31192477,0.01563565,0.29669620
-5.71185593,6.08753751,0.00689057,0.21997053,1.85071465,5.15722913,0.28039479,0.31882443,0.01620831,0.30502743
-5.70585293,6.18521311,0.00687902,0.22124380,1.86615215,5.24835103,0.28374329,0.32451220,0.01671686,0.31214565
-5.69984992,6.25935944,0.00685418,0.22160869,1.87499960,5.31969025,0.28615381,0.32892382,0.01715334,0.31798723
-5.69384692,6.30964337,0.00681745,0.22106875,1.87733619,5.37093625,0.28760857,0.33200864,0.01751060,0.32251092
-5.68784392,6.33606859,0.00676997,0.21963701,1.87332591,5.40207538,0.28809601,0.33373052,0.01778252,0.32569889
-5.68184092,6.33897158,0.00671259,0.21733557,1.86321623,5.41338613,0.28761126,0.33406859,0.01796420,0.32755712
-5.67583792,6.31901024,0.00664587,0.21419519,1.84733526,5.40542722,0.28615670,0.33301777,0.01805211,0.32811508
-5.66983492,6.27714542,0.00657006,0.21025477,1.82608758,5.37901895,0.28374271,0.33058920,0.01804421,0.32742465
-5.66383192,6.21461625,0.00648513,0.20556079,1.79994846,5.33521882,0.28038854,0.32681033,0.01794004,0.32555847
-5.65782891,6.13291002,0.00639081,0.20016677,1.76945664,5.27529237,0.27612311,0.32172487,0.01774081,0.32260765
-5.65182591,6.03372781,0.00628665,0.19413261,1.73520555,5.20068027,0.27098590,0.31539238,0.01744934,0.31867902
-5.64582291,5.91894692,0.00617209,0.18752392,1.69783328,5.11296324,0.26502759,0.30788772,0.01707005,0.31389190
-5.63981991,5.79058147,0.00604652,0.18041130,1.65801141,5.01382583,0.25831052,0.29930007,0.01660891,0.30837473
-5.63381691,5.65074236,0.00590938,0.17286959,1.61643303,4.90502047,0.25090889,0.28973178,0.01607328,0.30226150
-5.62781391,5.50159777,0.00576024,0.16497700,1.57380023,4.78833291,0.24290862,0.27929692,0.01547177,0.29568816
-5.62181091,5.34533536,0.00559884,0.15681427,1.53081149,4.66555008,0.23440678,0.26811959,0.01481404,0.28878928
-5.61580790,5.18412689,0.00542519,0.14846372,1.48814924,4.53843105,0.22551063,0.25633197,0.01411064,0.28169486
-5.60980490,5.02009620,0.00523960,0.14000833,1.44646805,4.40868180,0.21633631,0.24407228,0.01337271,0.27452757
-5.60380190,4.85529087,0.00504270,0.13153076,1.40638370,4.27793397,0.20700703,0.23148253,0.01261184,0.26740041
-5.59779890,4.69165784,0.00483548,0.12311239,1.36846333,4.14772765,0.19765105,0.21870624,0.01183978,0.26041487
-5.59179590,4.53102316,0.00461929,0.11483238,1.33321705,4.01949816,0.18839924,0.20588612,0.01106822,0.25365966
-5.58579290,4.37507557,0.00439579,0.10676677,1.30109090,3.89456634,0.17938257,0.19316187,0.01030863,0.24720994
-5.57978989,4.22535374,0.00416696,0.09898767,1.27246138,3.77413189,0.17072934,0.18066800,0.00957204,0.24112709
-5.57378689,4.08323668,0.00393501,0.09156249,1.24763146,3.65926923,0.16256250,0.16853185,0.00886887,0.23545894
-5.56778389,3.94993697,0.00370236,0.08455329,1.22682802,3.55092518,0.15499701,0.15687190,0.00820883,0.23024048
-5.56178089,3.82649621,0.00347156,0.07801630,1.21020063,3.44991798,0.14813734,0.14579621,0.00760081,0.22549478
-5.55577789,3.71378238,0.00324520,0.07200145,1.19782156,3.35693704,0.14207528,0.13540127,0.00705274,0.22123432
-5.54977489,3.61248861,0.00302588,0.06655209,1.18968695,3.27254308,0.13688806,0.12577109,0.00657164,0.21746235
-5.54377189,3.52313327,0.00281609,0.06170487,1.18571891,3.19716843,0.13263691,0.11697660,0.00616347,0.21417447
-5.53776888,3.44606113,0.00261819,0.05748966,1.18576867,3.13111732,0.12936609,0.10907539,0.00583321,0.21136005
-5.53176588,3.38144553,0.00243431,0.05392960,1.18962063,3.07456629,0.12710237,0.10211172,0.00558480,0.20900370
-5.52576288,3.32929179,0.00226632,0.05104121,1.19699726,3.02756494,0.12585507,0.09611672,0.00542119,0.20708661
-5.51975988,3.28944187,0.00211579,0.04883462,1.20756491,2.99003715,0.12561656,0.09110888,0.00534431,0.20558757
-5.51375688,3.26158063,0.00198392,0.04731378,1.22094054,2.96178336,0.12636325,0.08709466,0.00535512,0.20448398
-5.50775388,3.24524372,0.00187156,0.04647674,1.23669925,2.94248416,0.12805700,0.08406926,0.00545360,0.20375247
-5.50175088,3.23982757,0.00177917,0.04631586,1.25438264,2.93170555,0.13064687,0.08201740,0.00563878,0.20336938
