energy_ev,total_up,C_s_up,C_p_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,5.49503369,0.00637294,0.70830422,2.54573037,3.18634370,0.05488034,0.98487664
-5.99399700,5.49326225,0.00682629,0.70757901,2.52447978,3.19369978,0.05539206,0.98494272
-5.98799400,5.50360240,0.00733268,0.70798280,2.50662044,3.20821402,0.05595593,0.98802289
-5.98199100,5.52659580,0.00789428,0.70949887,2.49224216,3.23026682,0.05657188,0.99420081
-5.97598799,5.56270122,0.00851301,0.71212439,2.48146308,3.26018963,0.05724031,1.00351327
-5.96998499,5.61228336,0.00919053,0.71587137,2.47443100,3.29825511,0.05796213,1.01594894
-5.96398199,5.67559385,0.00992814,0.72076547,2.47131928,3.34466232,0.05873870,1.03144733
-5.95797899,5.75274432,0.01072667,0.72684270,2.47231727,3.39951705,0.05957161,1.04989770
-5.95197599,5.84367311,0.01158637,0.73414415,2.47761546,3.46280837,0.06046236,1.07113814
-5.94597299,5.94810716,0.01250675,0.74270901,2.48738587,3.53438274,0.06141193,1.09495479
-5.93996998,6.06552177,0.01348639,0.75256619,2.50175902,3.61391745,0.06242024,1.12108143
-5.93396698,6.19510133,0.01452278,0.76372521,2.52079847,3.70089539,0.06348563,1.14919963
-5.92796398,6.33570434,0.01561217,0.77616690,2.54447497,3.79458354,0.06460432,1.17893974
-5.92196098,6.48583649,0.01674934,0.78983449,2.57264180,3.89401723,0.06576995,1.20988303
-5.91595798,6.64363510,0.01792749,0.80462596,2.60501333,3.99799241,0.06697315,1.24156523
-5.90995498,6.80686808,0.01913816,0.82038803,2.64114865,4.10506773,0.06820139,1.27348187
-5.90395198,6.97294995,0.02037115,0.83691257,2.68044197,4.21357773,0.06943882,1.30509546
-5.89794897,7.13897656,0.02161451,0.85393578,2.72212102,4.32165808,0.07066650,1.33584481
-5.89194597,7.30177918,0.02285469,0.87114033,2.76525455,4.42728298,0.07186263,1.36515651
-5.88594297,7.45799753,0.02407667,0.88816086,2.80876925,4.52831414,0.07300319,1.39245842
-5.87993997,7.60417023,0.02526419,0.90459242,2.85147599,4.62256029,0.07406261,1.41719495
-5.87393697,7.73683984,0.02640012,0.92000187,2.89210461,4.70784511,0.07501470,1.43884390
-5.86793397,7.85266881,0.02746687,0.93394167,2.92934611,4.78208114,0.07583369,1.45693418
-5.86193097,7.94856167,0.02844683,0.94596551,2.96190033,4.84334672,0.07649533,1.47106385
-5.85592796,8.02178810,0.02932292,0.95564509,2.98852702,4.88996254,0.07697809,1.48091786
-5.84992496,8.07010133,0.03007913,0.96258715,3.00809778,4.92056424,0.07726424,1.48628448
-5.84392196,8.09184591,0.03070107,0.96645010,3.01964625,4.93416774,0.07734093,1.48706983
-5.83791896,8.08604956,0.03117654,0.96695920,3.02241405,4.93022372,0.07720111,1.48330949
-5.83191596,8.05249383,0.03149600,0.96391973,3.01588974,4.90865859,0.07684422,1.47517661
-5.82591296,7.99175957,0.03165299,0.95722737,2.99983900,4.86989934,0.07627674,1.46298578
-5.81990995,7.90524410,0.03164448,0.94687526,2.97432400,4.81488072,0.07551233,1.44719216
-5.81390695,7.79514806,0.03147108,0.93295747,2.93971095,4.74503371,0.07457185,1.42838557
