energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up,Ta_p_up,Ta_d_up
-6.00000000,1.79491857,0.00078477,0.30424845,0.37547791,0.61969136,0.01888868,0.41698801,0.58056785,0.34582793
-5.99399700,1.73523833,0.00075126,0.29520398,0.36974781,0.59636417,0.01903760,0.39731384,0.55169426,0.33956569
-5.98799400,1.67547351,0.00071898,0.28629525,0.36481437,0.57261871,0.01917619,0.37732104,0.52337379,0.33346118
-5.98199100,1.61706478,0.00068905,0.27778682,0.36090539,0.54897904,0.01931518,0.35732702,0.49626326,0.32773919
-5.97598799,1.56140781,0.00066258,0.26992965,0.35821659,0.52596902,0.01946514,0.33765146,0.47097957,0.32261294
-5.96998499,1.50981721,0.00064063,0.26295507,0.35690587,0.50409903,0.01963607,0.31860797,0.44808788,0.31827746
-5.96398199,1.46349561,0.00062424,0.25706991,0.35708930,0.48385373,0.01983712,0.30049651,0.42809238,0.31490431
-5.95797899,1.42350901,0.00061433,0.25245296,0.35883908,0.46568140,0.02007630,0.28359693,0.41142981,0.31263760
-5.95197599,1.39076877,0.00061175,0.24925277,0.36218352,0.44998507,0.02036023,0.26816371,0.39846566,0.31159153
-5.94597299,1.36602074,0.00061725,0.24758680,0.36710883,0.43711570,0.02069406,0.25442202,0.38949293,0.31184947
-5.93996998,1.34984102,0.00063142,0.24754185,0.37356267,0.42736735,0.02108135,0.24256504,0.38473312,0.31346449
-5.93396698,1.34263814,0.00065473,0.24917552,0.38145906,0.42097443,0.02152414,0.23275263,0.38433930,0.31646128
-5.92796398,1.34466073,0.00068747,0.25251873,0.39068446,0.41811090,0.02202299,0.22511104,0.38840060,0.32083910
-5.92196098,1.35600977,0.00072979,0.25757886,0.40110449,0.41889112,0.02257713,0.21973356,0.39694802,0.32657569
-5.91595798,1.37665409,0.00078164,0.26434334,0.41257101,0.42337220,0.02318469,0.21668195,0.40996089,0.33363170
-5.90995498,1.40644807,0.00084280,0.27278350,0.42492905,0.43155751,0.02384289,0.21598830,0.42737375,0.34195537
-5.90395198,1.44515015,0.00091285,0.28285831,0.43802329,0.44340095,0.02454829,0.21765720,0.44908315,0.35148711
-5.89794897,1.49244100,0.00099120,0.29451791,0.45170373,0.45881179,0.02529705,0.22166787,0.47495419,0.36216375
-5.89194597,1.54794029,0.00107708,0.30770658,0.46583022,0.47765969,0.02608512,0.22797626,0.50482639,0.37392210
-5.88594297,1.61122112,0.00116955,0.32236516,0.48027576,0.49977959,0.02690845,0.23651673,0.53851876,0.38670172
-5.87993997,1.68182159,0.00126751,0.33843261,0.49492839,0.52497635,0.02776316,0.24720345,0.57583390,0.40044661
-5.87393697,1.75925293,0.00136976,0.35584690,0.50969160,0.55302882,0.02864561,0.25993131,0.61656105,0.41510584
-5.86793397,1.84300410,0.00147495,0.37454494,0.52448354,0.58369343,0.02955243,0.27457641,0.66047805,0.43063318
-5.86193097,1.93254312,0.00158171,0.39446182,0.53923488,0.61670695,0.03048057,0.29099627,0.70735219,0.44698558
