energy_ev,total_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up,Si_p_up,Si_d_up
-6.00000000,0.07907354,0.00000000,0.00009383,0.12143398,0.02558539,0.00000110,0.00000000
-5.99399700,0.06636082,0.00000000,0.00007821,0.10190673,0.02147436,0.00000092,0.00000000
-5.98799400,0.05529604,0.00000000,0.00006472,0.08491162,0.01789575,0.00000077,0.00000000
-5.98199100,0.04574860,0.00000000,0.00005318,0.07024780,0.01480747,0.00000063,0.00000000
-5.97598799,0.03758051,0.00000000,0.00004338,0.05770314,0.01216502,0.00000052,0.00000000
-5.96998499,0.03065128,0.00000000,0.00003514,0.04706164,0.00992306,0.00000042,0.00000000
-5.96398199,0.02482191,0.00000000,0.00002826,0.03810968,0.00803673,0.00000034,0.00000000
-5.95797899,0.01995825,0.00000000,0.00002256,0.03064109,0.00646269,0.00000027,0.00000000
-5.95197599,0.01593346,0.00000000,0.00001788,0.02446097,0.00515997,0.00000022,0.00000000
-5.94597299,0.01262985,0.00000000,0.00001408,0.01938846,0.00409055,0.00000017,0.00000000
-5.93996998,0.00994000,0.00000000,0.00001100,0.01525855,0.00321971,0.00000014,0.00000000
-5.93396698,0.00776738,0.00000000,0.00000853,0.01192294,0.00251623,0.00000011,0.00000000
-5.92796398,0.00602647,0.00000000,0.00000657,0.00925026,0.00195247,0.00000008,0.00000000
-5.92196098,0.00464250,0.00000000,0.00000503,0.00712564,0.00150425,0.00000006,0.00000000
-5.91595798,0.00355091,0.00000000,0.00000382,0.00544997,0.00115068,0.00000005,0.00000000
-5.90995498,0.00269667,0.00000000,0.00000288,0.00413870,0.00087395,0.00000004,0.00000000
-5.90395198,0.00203337,0.00000000,0.00000215,0.00312057,0.00065905,0.00000003,0.00000000
-5.89794897,0.00152231,0.00000000,0.00000160,0.00233616,0.00049346,0.00000002,0.00000000
-5.89194597,0.00113159,0.00000000,0.00000118,0.00173649,0.00036685,0.00000002,0.00000000
-5.88594297,0.00083517,0.00000000,0.00000087,0.00128156,0.00027078,0.00000001,0.00000000
-5.87993997,0.00061201,0.00000000,0.00000063,0.00093909,0.00019845,0.00000001,0.00000000
-5.87393697,0.00044529,0.00000000,0.00000045,0.00068324,0.00014440,0.00000001,0.00000000
-5.86793397,0.00032168,0.00000000,0.00000033,0.00049356,0.00010433,0.00000000,0.00000000
-5.86193097,0.00023073,0.00000000,0.00000023,0.00035400,0.00007484,0.00000000,0.00000000
-5.85592796,0.00016432,0.00000000,0.00000016,0.00025210,0.00005330,0.00000000,0.00000000
-5.84992496,0.00011619,0.00000000,0.00000012,0.00017825,0.00003770,0.00000000,0.00000000
-5.84392196,0.00008157,0.00000000,0.00000008,0.00012514,0.00002647,0.00000000,0.00000000
-5.83791896,0.00005686,0.00000000,0.00000006,0.00008723,0.00001845,0.00000000,0.00000000
-5.83191596,0.00003936,0.00000000,0.00000004,0.00006037,0.00001277,0.00000000,0.00000000
-5.82591296,0.00002705,0.00000000,0.00000003,0.00004148,0.00000878,0.00000000,0.00000000
-5.81990995,0.00001845,0.00000000,0.00000002,0.00002830,0.00000599,0.00000000,0.00000000
-5.81390695,0.00001250,0.00000000,0.00000001,0.00001917,0.00000406,0.00000000,0.00000000
-5.80790395,0.00000841,0.00000000,0.00000001,0.00001290,0.00000273,0.00000000,0.00000000
-5.80190095,0.00000562,0.00000000,0.00000001,0.00000861,0.00000182,0.00000000,0.00000000
-5.79589795,0.00000372,0.00000000,0.00000000,0.00000571,0.00000121,0.00000000,0.00000000
-5.78989495,0.00000245,0.00000000,0.00000000,0.00000376,0.00000080,0.00000000,0.00000000
-5.78389195,0.00000160,0.00000000,0.00000000,0.00000246,0.00000052,0.00000000,0.00000000
-5.77788894,0.00000104,0.00000000,0.00000000,0.00000159,0.00000034,0.00000000,0.00000000
-5.77188594,0.00000067,0.00000000,0.00000000,0.00000103,0.00000022,0.00000000,0.00000000
-5.76588294,0.00000043,0.00000000,0.00000000,0.00000066,0.00000014,0.00000000,0.00000000
-5.75987994,0.00000027,0.00000000,0.00000000,0.00000042,0.00000009,0.00000000,0.00000000
-5.75387694,0.00000017,0.00000000,0.00000000,0.00000026,0.00000006,0.00000000,0.00000000
-5.74787394,0.00000011,0.00000000,0.00000000,0.00000016,0.00000003,0.00000000,0.00000000
-5.74187094,0.00000007,0.00000000,0.00000000,0.00000010,0.00000002,0.00000000,0.00000000
