energy_ev,total_up,Hg_p_up,Hg_d_up,Sb_p_up,Sb_d_up,Te_p_up,Te_d_up
-6.00000000,0.62808337,0.46299183,0.08676224,0.15391023,0.01441401,0.10370309,0.00000000
-5.99399700,0.64060188,0.46334337,0.08739174,0.15594366,0.01502815,0.10361043,0.00000000
-5.98799400,0.65889529,0.46931441,0.08891711,0.15952298,0.01570559,0.10504603,0.00000000
-5.98199100,0.68208833,0.48019935,0.09120594,0.16440381,0.01642775,0.10789488,0.00000000
-5.97598799,0.70931600,0.49529933,0.09412720,0.17034163,0.01717636,0.11204784,0.00000000
-5.96998499,0.73974477,0.51393838,0.09755432,0.17709763,0.01793393,0.11740410,0.00000000
-5.96398199,0.77259105,0.53547703,0.10136786,0.18444415,0.01868416,0.12387282,0.00000000
-5.95797899,0.80713647,0.55932328,0.10545765,0.19216941,0.01941241,0.13137376,0.00000000
-5.95197599,0.84273988,0.58494070,0.10972449,0.20008174,0.02010592,0.13983702,0.00000000
-5.94597299,0.87884557,0.61185385,0.11408127,0.20801291,0.02075411,0.14920190,0.00000000
-5.93996998,0.91498789,0.63965088,0.11845367,0.21582079,0.02134873,0.15941495,0.00000000
-5.93396698,0.95079207,0.66798353,0.12278024,0.22339116,0.02188387,0.17042745,0.00000000
-5.92796398,0.98597149,0.69656465,0.12701204,0.23063861,0.02235597,0.18219234,0.00000000
-5.92196098,1.02032161,0.72516357,0.13111184,0.23750660,0.02276365,0.19466085,0.00000000
-5.91595798,1.05371110,0.75359958,0.13505295,0.24396674,0.02310755,0.20777902,0.00000000
-5.90995498,1.08607058,0.78173411,0.13881769,0.25001719,0.02339000,0.22148440,0.00000000
-5.90395198,1.11737986,0.80946184,0.14239567,0.25568039,0.02361472,0.23570298,0.00000000
-5.89794897,1.14765419,0.83670162,0.14578199,0.26100022,0.02378645,0.25034683,0.00000000
-5.89194597,1.17693050,0.86338734,0.14897536,0.26603859,0.02391056,0.26531230,0.00000000
