energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-5.72986493,0.53756209,0.00027024,0.03292164,0.06006671,0.12587184,0.24415195,0.01308339,0.25498736
-5.72386193,0.52568619,0.00030979,0.03326571,0.06110905,0.12741635,0.23902760,0.01224667,0.24651264
-5.71785893,0.51662278,0.00035859,0.03391742,0.06273235,0.13005062,0.23525448,0.01142151,0.23899862
-5.71185593,0.51107183,0.00041677,0.03492498,0.06501900,0.13393696,0.23316122,0.01062451,0.23275803
-5.70585293,0.50967207,0.00048450,0.03633185,0.06804241,0.13922025,0.23304996,0.00987146,0.22807475
-5.69984992,0.51298195,0.00056194,0.03817525,0.07186391,0.14602156,0.23518785,0.00917704,0.22519561
-5.69384692,0.52146281,0.00064919,0.04048473,0.07652996,0.15443237,0.23979936,0.00855462,0.22432330
-5.68784392,0.53546474,0.00074628,0.04328097,0.08206953,0.16450953,0.24705998,0.00801608,0.22561072
-5.68184092,0.55521563,0.00085313,0.04657468,0.08849197,0.17627115,0.25709108,0.00757171,0.22915674
-5.67583792,0.58081339,0.00096951,0.05036582,0.09578522,0.18969360,0.26995633,0.00723014,0.23500359
-5.66983492,0.61222192,0.00109504,0.05464299,0.10391468,0.20470980,0.28565960,0.00699830,0.24313584
-5.66383192,0.64927072,0.00122915,0.05938319,0.11282260,0.22120882,0.30414451,0.00688144,0.25348111
-5.65782891,0.69165839,0.00137109,0.06455186,0.12242824,0.23903709,0.32529563,0.00688311,0.26591241
-5.65182591,0.73895991,0.00151993,0.07010331,0.13262871,0.25800109,0.34894130,0.00700522,0.28025204
-5.64582291,0.79063766,0.00167454,0.07598147,0.14330061,0.27787167,0.37485811,0.00724802,0.29627704
-5.63981991,0.84605594,0.00183367,0.08212100,0.15430239,0.29838981,0.40277680,0.00761019,0.31372609
-5.63381691,0.90449861,0.00199592,0.08844876,0.16547744,0.31927382,0.43238964,0.00808883,0.33230747
-5.62781391,0.96518944,0.00215981,0.09488558,0.17665781,0.34022767,0.46335889,0.00867946,0.35170815
-5.62181091,1.02731446,0.00232380,0.10134826,0.18766850,0.36095029,0.49532618,0.00937610,0.37160346
-5.61580790,1.09004574,0.00248638,0.10775183,0.19833218,0.38114542,0.52792254,0.01017126,0.39166727
-5.60980490,1.15256558,0.00264605,0.11401183,0.20847409,0.40053163,0.56077861,0.01105598,0.41158217
-5.60380190,1.21409044,0.00280147,0.12004679,0.21792713,0.41885222,0.59353478,0.01201988,0.43104935
-5.59779890,1.27389345,0.00295142,0.12578045,0.22653672,0.43588432,0.62585078,0.01305127,0.44979778
-5.59179590,1.33132470,0.00309491,0.13114402,0.23416544,0.45144704,0.65741428,0.01413721,0.46759233
-5.58579290,1.38582837,0.00323118,0.13607806,0.24069712,0.46540805,0.68794825,0.01526367,0.48424056
-5.57978989,1.43695602,0.00335978,0.14053410,0.24604022,0.47768836,0.71721666,0.01641571,0.49959765
-5.57378689,1.48437520,0.00348053,0.14447586,0.25013050,0.48826499,0.74502824,0.01757766,0.51356951
-5.56778389,1.52787319,0.00359356,0.14787994,0.25293258,0.49717138,0.77123816,0.01873338,0.52611372
-5.56178089,1.56735550,0.00369931,0.15073615,0.25444067,0.50449546,0.79574757,0.01986652,0.53723827
-5.55577789,1.60283923,0.00379846,0.15304719,0.25467814,0.51037545,0.81850095,0.02096082,0.54699817
-5.54977489,1.63444156,0.00389195,0.15482796,0.25369612,0.51499358,0.83948150,0.02200040,0.55549001
-5.54377189,1.66236401,0.00398087,0.15610433,0.25157119,0.51856795,0.85870470,0.02297008,0.56284471
-5.53776888,1.68687315,0.00406642,0.15691159,0.24840218,0.52134304,0.87621060,0.02385568,0.56921889
-5.53176588,1.70827880,0.00414985,0.15729254,0.24430632,0.52357918,0.89205502,0.02464429,0.57478507
-5.52576288,1.72691090,0.00423236,0.15729538,0.23941495,0.52554167,0.90630040,0.02532457,0.57972136
-5.51975988,1.74309623,0.00431499,0.15697147,0.23386882,0.52748997,0.91900664,0.02588692,0.58420109
-5.51375688,1.75713616,0.00439862,0.15637313,0.22781339,0.52966749,0.93022261,0.02632370,0.58838285
-5.50775388,1.76928675,0.00448380,0.15555150,0.22139421,0.53229263,0.93997874,0.02662934,0.59240148
