energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Na_s_up,Na_s_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,0.29361139,-0.20894012,0.00333505,-0.00156500,0.01384657,-0.01316367,0.05059080,-0.04081593,0.08389349,-0.05682375,0.01860610,-0.02690277,0.00457887,-0.00354335,0.16012984,-0.11012143
-5.99399700,0.32179460,-0.21604327,0.00370312,-0.00178747,0.01450934,-0.01269321,0.05548862,-0.04162245,0.09231340,-0.05924587,0.01924626,-0.02470088,0.00508132,-0.00367891,0.17632365,-0.11519722
-5.98799400,0.35492645,-0.22862379,0.00408791,-0.00203957,0.01555854,-0.01261090,0.06157262,-0.04362229,0.10203073,-0.06311947,0.02040864,-0.02320741,0.00572758,-0.00393601,0.19505253,-0.12312165
-5.98199100,0.39283700,-0.24669855,0.00448543,-0.00232102,0.01698912,-0.01291325,0.06884061,-0.04683223,0.11298904,-0.06844781,0.02206834,-0.02239578,0.00652338,-0.00432013,0.21622403,-0.13391288
-5.97598799,0.43531084,-0.27025845,0.00489117,-0.00263105,0.01879456,-0.01359670,0.07728314,-0.05126715,0.12511755,-0.07522549,0.02420041,-0.02223821,0.00747390,-0.00483696,0.23971977,-0.14757361
-5.96998499,0.48208169,-0.29926299,0.00530008,-0.00296840,0.02096639,-0.01465749,0.08688153,-0.05693886,0.13832986,-0.08343686,0.02677910,-0.02270618,0.00858343,-0.00549222,0.26539283,-0.16408788
-5.96398199,0.53282752,-0.33363339,0.00570665,-0.00333116,0.02349348,-0.01609128,0.09760575,-0.06385445,0.15252295,-0.09305410,0.02977706,-0.02377062,0.00985502,-0.00629146,0.29306544,-0.18341717
-5.95797899,0.58716644,-0.37324472,0.00610506,-0.00371677,0.02636146,-0.01789269,0.10941235,-0.07201430,0.16757658,-0.10403517,0.03316448,-0.02540176,0.01129001,-0.00723973,0.32252728,-0.20549614
-5.95197599,0.64465404,-0.41791741,0.00648924,-0.00412196,0.02955193,-0.02005464,0.12224256,-0.08140980,0.18335308,-0.11632162,0.03690827,-0.02756875,0.01288765,-0.00834125,0.35353457,-0.23022810
-5.94597299,0.70478239,-0.46740891,0.00685305,-0.00454277,0.03304196,-0.02256764,0.13602071,-0.09202090,0.19969775,-0.12983656,0.04097140,-0.03023912,0.01464470,-0.00959900,0.38581005,-0.25748067
-5.93996998,0.76698110,-0.52140602,0.00719043,-0.00497455,0.03680354,-0.02541905,0.15065304,-0.10381366,0.21643994,-0.14448292,0.04531239,-0.03337812,0.01655502,-0.01101434,0.41904415,-0.28708197
-5.93396698,0.83062069,-0.57951850,0.00749554,-0.00541203,0.04080326,-0.02859228,0.16602706,-0.11673796,0.23339471,-0.16014213,0.04988496,-0.03694798,0.01860927,-0.01258655,0.45289735,-0.31881753
-5.92796398,0.89501839,-0.64127470,0.00776291,-0.00584935,0.04500216,-0.03206615,0.18201149,-0.13072540,0.25036523,-0.17667341,0.05463797,-0.04090731,0.02079466,-0.01431244,0.48700370,-0.35242831
-5.92196098,0.95944638,-0.70611955,0.00798765,-0.00628024,0.04935583,-0.03581424,0.19845686,-0.14568772,0.26714590,-0.19391384,0.05951565,-0.04521042,0.02309483,-0.01618599,0.52097561,-0.38761019
-5.91595798,1.02314231,-0.77341553,0.00816554,-0.00669808,0.05381477,-0.03980454,0.21519689,-0.16151569,0.28352589,-0.21167922,0.06445802,-0.04980703,0.02548979,-0.01819801,0.55440980,-0.42401487
-5.90995498,1.08532197,-0.84244678,0.00829319,-0.00709610,0.05832500,-0.04399915,0.23205039,-0.17807874,0.29929331,-0.22976581,0.06940162,-0.05464198,0.02795601,-0.02033595,0.58689409,-0.46125269
-5.90395198,1.14519369,-0.91242658,0.00836813,-0.00746754,0.06282893,-0.04835434,0.24882402,-0.19522527,0.31423973,-0.24795306,0.07428050,-0.05965534,0.03046669,-0.02258373,0.61801511,-0.49889700
-5.89794897,1.20197406,-0.98250812,0.00838888,-0.00780581,0.06726652,-0.05282078,0.26531547,-0.21278377,0.32816481,-0.26600708,0.07902733,-0.06478269,0.03299212,-0.02492172,0.64736644,-0.53649047
-5.89194597,1.25490441,-1.05179845,0.00835503,-0.00810471,0.07157658,-0.05734413,0.28131724,-0.23056478,0.34088111,-0.28368508,0.08357476,-0.06995576,0.03550017,-0.02732691,0.67455699,-0.57355279
-5.88594297,1.30326753,-1.11937513,0.00826721,-0.00835860,0.07569835,-0.06186580,0.29662080,-0.24836354,0.35221870,-0.30074027,0.08785680,-0.07510328,0.03795689,-0.02977306,0.69921944,-0.60958998
-5.87993997,1.34640405,-1.18430515,0.00812710,-0.00856257,0.07957308,-0.06632403,0.31102088,-0.26596348,0.36202947,-0.31692747,0.09181033,-0.08015210,0.04032729,-0.03223116,0.72101819,-0.64410455
-5.87393697,1.38372778,-1.24566548,0.00793738,-0.00871259,0.08314583,-0.07065519,0.32432003,-0.28314021,0.37019105,-0.33200883,0.09537647,-0.08502850,0.04257611,-0.03466988,0.73965678,-0.67660658
-5.86793397,1.41473966,-1.30256437,0.00770160,-0.00880566,0.08636711,-0.07479525,0.33633301,-0.29966609,0.37661010,-0.34575976,0.09850205,-0.08965964,0.04466868,-0.03705622,0.75488439,-0.70662504
-5.86193097,1.43903961,-1.35416285,0.00742414,-0.00883988,0.08919456,-0.07868138,0.34689103,-0.31531507,0.38122486,-0.35797468,0.10114075,-0.09397514,0.04657180,-0.03935620,0.76650123,-0.73371898
-5.85592796,1.45633607,-1.39969531,0.00711002,-0.00881454,0.09159447,-0.08225367,0.35584566,-0.32986778,0.38400698,-0.36847238,0.10325423,-0.09790860,0.04825461,-0.04153566,0.77436265,-0.75748821
-5.84992496,1.46645281,-1.43848862,0.00676476,-0.00873013,0.09354306,-0.08545680,0.36307229,-0.34311654,0.38496244,-0.37710080,0.10481293,-0.10139920,0.04968943,-0.04356111,0.77838189,-0.77758308
-5.84392196,1.46933295,-1.46997895,0.00639427,-0.00858833,0.09502758,-0.08824170,0.36847309,-0.35487026,0.38413162,-0.38374111,0.10579670,-0.10439309,0.05085247,-0.04540058,0.77853137,-0.79371280
-5.83791896,1.46503990,-1.49372565,0.00600462,-0.00839194,0.09604700,-0.09056710,0.37197929,-0.36495897,0.38158856,-0.38831083,0.10619514,-0.10684465,0.05172450,-0.04702443,0.77484259,-0.80565233
-5.83191596,1.45375556,-1.50942187,0.00560190,-0.00814482,0.09661247,-0.09240089,0.37355288,-0.37323792,0.37743929,-0.39076596,0.10600770,-0.10871754,0.05229137,-0.04840617,0.76740464,-0.81324728
-5.82591296,1.43577567,-1.51690145,0.00519211,-0.00785173,0.09674736,-0.09372126,0.37318758,-0.37959101,0.37181950,-0.39110208,0.10524348,-0.10998550,0.05254436,-0.04952315,0.75636152,-0.81641691
-5.81990995,1.41150270,-1.51614200,0.00478097,-0.00751820,0.09648688,-0.09451759,0.37090918,-0.38393362,0.36489154,-0.38935436,0.10392091,-0.11063289,0.05248042,-0.05035719,0.74190832,-0.81515506
-5.81390695,1.38143645,-1.50726417,0.00437382,-0.00715037,0.09587740,-0.09479103,0.36677525,-0.38621465,0.35684075,-0.38559657,0.10206708,-0.11065486,0.05210218,-0.05089504,0.72428654,-0.80952918
