energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,2.32446888,-1.98437619,2.38034714,-2.07032479,0.81646956,-0.58081979,0.00363177,-0.00212161,0.23461319,-0.24519771,0.02572168,-0.01941873,1.16401171,-1.00157995
-5.99399700,2.37224767,-2.01980045,2.41031387,-2.09025319,0.83045974,-0.60024341,0.00395296,-0.00232484,0.24100859,-0.25147720,0.02797007,-0.02059778,1.18660953,-1.01645953
-5.98799400,2.41846396,-2.06137747,2.43509724,-2.11751340,0.84445110,-0.62102176,0.00428131,-0.00254249,0.24948777,-0.25786386,0.03024915,-0.02192261,1.20569500,-1.03519129
-5.98199100,2.46219788,-2.10894097,2.45436010,-2.15195773,0.85810283,-0.64308046,0.00461290,-0.00277344,0.25985148,-0.26446129,0.03252617,-0.02337292,1.22094964,-1.05757223
-5.97598799,2.50263190,-2.16213279,2.46796053,-2.19317642,0.87109790,-0.66630744,0.00494354,-0.00301611,0.27188156,-0.27138856,0.03476721,-0.02492542,1.23214228,-1.08325724
-5.96998499,2.53906403,-2.22040595,2.47594661,-2.24050481,0.88314965,-0.69055322,0.00526881,-0.00326850,0.28534845,-0.27877591,0.03693791,-0.02655413,1.23912795,-1.11176555
-5.96398199,2.57091857,-2.28303396,2.47854687,-2.29304014,0.89400760,-0.71563223,0.00558417,-0.00352816,0.30001907,-0.28675946,0.03900426,-0.02823075,1.24184484,-1.14249248
-5.95797899,2.59775511,-2.34912611,2.47615759,-2.34966721,0.90346261,-0.74132506,0.00588504,-0.00379229,0.31566514,-0.29547486,0.04093347,-0.02992515,1.24030979,-1.17472626
-5.95197599,2.61927598,-2.41764826,2.46932826,-2.40909194,0.91135144,-0.76738156,0.00616688,-0.00405772,0.33207164,-0.30505013,0.04269489,-0.03160598,1.23461259,-1.20766917
-5.94597299,2.63533251,-2.48744815,2.45874619,-2.46988134,0.91756079,-0.79352482,0.00642536,-0.00432100,0.34904535,-0.31559814,0.04426081,-0.03324133,1.22490949,-1.24046229
-5.93996998,2.64593014,-2.55728450,2.44522134,-2.53050842,0.92203092,-0.81945575,0.00665642,-0.00457849,0.36642323,-0.32720887,0.04560735,-0.03479949,1.21141643,-1.27221276
-5.93396698,2.65123245,-2.62585869,2.42967194,-2.58939992,0.92475859,-0.84485825,0.00685640,-0.00482640,0.38408039,-0.33994195,0.04671508,-0.03624970,1.19440193,-1.30202250
-5.92796398,2.65156360,-2.69184801,2.41311126,-2.64498525,0.92579942,-0.86940485,0.00702216,-0.00506093,0.40193728,-0.35381991,0.04756967,-0.03756298,1.17418015,-1.32901722
-5.92196098,2.64740902,-2.75393936,2.39663560,-2.69574469,0.92526935,-0.89276265,0.00715115,-0.00527832,0.41996586,-0.36882249,0.04816226,-0.03871288,1.15110403,-1.35237451
-5.91595798,2.63941351,-2.81086239,2.38141307,-2.74025507,0.92334499,-0.91459950,0.00724153,-0.00547498,0.43819435,-0.38488249,0.04848968,-0.03967622,1.12555861,-1.37135003
-5.90995498,2.62837618,-2.86142125,2.36867263,-2.77723149,0.92026267,-0.93459034,0.00729219,-0.00564755,0.45671013,-0.40188338,0.04855454,-0.04043369,1.09795450,-1.38530064
-5.90395198,2.61524148,-2.90452405,2.35969247,-2.80556384,0.91631582,-0.95242363,0.00730287,-0.00579303,0.47566061,-0.41965914,0.04836503,-0.04097040,1.06872149,-1.39370387
