energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.23733111,0.02306908,0.04675468,0.23041317,0.15528930,0.09557962,0.43025535,0.38690339,0.08064330
-5.99399700,1.20900318,0.02157991,0.04700953,0.22936423,0.15004886,0.09099139,0.42289024,0.38108757,0.07836500
-5.98799400,1.17663413,0.02006485,0.04703611,0.22731254,0.14440249,0.08618382,0.41398770,0.37385922,0.07586033
-5.98199100,1.14038958,0.01854158,0.04682748,0.22423501,0.13840154,0.08120539,0.40355872,0.36517467,0.07314210
-5.97598799,1.10056746,0.01702770,0.04638264,0.22014043,0.13210696,0.07610874,0.39167223,0.35505066,0.07023125
-5.96998499,1.05758663,0.01554009,0.04570671,0.21506897,0.12558748,0.07094890,0.37845144,0.34356105,0.06715597
-5.96398199,1.01197278,0.01409444,0.04481100,0.20909097,0.11891778,0.06578158,0.36406893,0.33083208,0.06395072
-5.95797899,0.96434243,0.01270490,0.04371295,0.20230505,0.11217666,0.06066164,0.34874062,0.31703665,0.06065504
-5.95197599,0.91538557,0.01138378,0.04243577,0.19483569,0.10544527,0.05564157,0.33271900,0.30238781,0.05731235
-5.94597299,0.86584745,0.01014141,0.04100809,0.18683020,0.09880554,0.05077028,0.31628581,0.28713174,0.05396862
-5.93996998,0.81651035,0.00898608,0.03946331,0.17845545,0.09233861,0.04609210,0.29974446,0.27154053,0.05067116
-5.93396698,0.76817560,0.00792408,0.03783898,0.16989426,0.08612355,0.04164602,0.28341245,0.25590503,0.04746736
-5.92796398,0.72164649,0.00695984,0.03617598,0.16134169,0.08023611,0.03746519,0.26761401,0.24052805,0.04440355
-5.92196098,0.67771233,0.00609609,0.03451771,0.15300132,0.07474772,0.03357667,0.25267315,0.22571796,0.04152391
-5.91595798,0.63713405,0.00533415,0.03290919,0.14508167,0.06972463,0.03000147,0.23890732,0.21178303,0.03886960
-5.90995498,0.60063142,0.00467410,0.03139619,0.13779267,0.06522713,0.02675472,0.22662162,0.19902649,0.03647789
-5.90395198,0.56887207,0.00411516,0.03002438,0.13134254,0.06130902,0.02384606,0.21610386,0.18774231,0.03438152
-5.89794897,0.54246234,0.00365592,0.02883849,0.12593478,0.05801708,0.02128019,0.20762027,0.17821178,0.03260815
-5.89194597,0.52193986,0.00329458,0.02788156,0.12176555,0.05539076,0.01905751,0.20141201,0.17070073,0.03117998
-5.88594297,0.50776770,0.00302923,0.02719422,0.11902125,0.05346193,0.01717481,0.19769229,0.16545729,0.03011347
-5.87993997,0.50033006,0.00285802,0.02681402,0.11787629,0.05225467,0.01562604,0.19664412,0.16271010,0.02941922
-5.87393697,0.49992920,0.00277931,0.02677490,0.11849101,0.05178521,0.01440305,0.19841856,0.16266670,0.02910194
-5.86793397,0.50678342,0.00279180,0.02710660,0.12100971,0.05206194,0.01349633,0.20313337,0.16551201,0.02916054
-5.86193097,0.52102592,0.00289458,0.02783421,0.12555860,0.05308543,0.01289563,0.21087195,0.17140673,0.02958833
-5.85592796,0.54270438,0.00308715,0.02897768,0.13224370,0.05484857,0.01259061,0.22168260,0.18048550,0.03037327
-5.84992496,0.57178104,0.00336939,0.03055146,0.14114860,0.05733677,0.01257130,0.23557780,0.19285474,0.03149837
-5.84392196,0.60813325,0.00374152,0.03256401,0.15233203,0.06052816,0.01282851,0.25253377,0.20859022,0.03294214
-5.83791896,0.65155442,0.00420400,0.03501749,0.16582535,0.06439394,0.01335408,0.27249002,0.22773420,0.03467901
-5.83191596,0.70175534,0.00475744,0.03790734,0.18162983,0.06889873,0.01414104,0.29534910,0.25029244,0.03667996
-5.82591296,0.75836599,0.00540244,0.04122198,0.19971396,0.07400103,0.01518362,0.32097649,0.27623108,0.03891306
-5.81990995,0.82093788,0.00613954,0.04494250,0.22001084,0.07965372,0.01647710,0.34920076,0.30547368,0.04134408
-5.81390695,0.88894707,0.00696905,0.04904246,0.24241581,0.08580466,0.01801759,0.37981409,0.33789861,0.04393716
-5.80790395,0.96179806,0.00789097,0.05348775,0.26678454,0.09239734,0.01980164,0.41257318,0.37333713,0.04665537
-5.80190095,1.03882869,0.00890491,0.05823662,0.29293171,0.09937162,0.02182577,0.44720077,0.41157245,0.04946136
-5.79589795,1.11931630,0.01001007,0.06323984,0.32063061,0.10666452,0.02408584,0.48338788,0.45233993,0.05231794
-5.78989495,1.20248513,0.01120515,0.06844103,0.34961374,0.11421109,0.02657646,0.52079676,0.49532892,0.05518859
-5.78389195,1.28751524,0.01248838,0.07377724,0.37957458,0.12194529,0.02929025,0.55906473,0.54018606,0.05803797
-5.77788894,1.37355295,0.01385757,0.07917974,0.41017086,0.12980100,0.03221716,0.59780893,0.58652052,0.06083233
-5.77188594,1.45972262,0.01531004,0.08457501,0.44102906,0.13771288,0.03534374,0.63663192,0.63391084,0.06353991
-5.76588294,1.54513988,0.01684277,0.08988607,0.47175044,0.14561737,0.03865260,0.67512815,0.68191350,0.06613119
-5.75987994,1.62892590,0.01845234,0.09503388,0.50191843,0.15345358,0.04212181,0.71289114,0.73007278,0.06857917
-5.75387694,1.71022243,0.02013499,0.09993904,0.53110713,0.16116410,0.04572462,0.74952118,0.77793175,0.07085952
-5.74787394,1.78820727,0.02188657,0.10452358,0.55889086,0.16869577,0.04942920,0.78463340,0.82504372,0.07295069
-5.74187094,1.86210954,0.02370250,0.10871283,0.58485433,0.17600021,0.05319875,0.81786582,0.87098382,0.07483406
-5.73586793,1.93122426,0.02557769,0.11243735,0.60860307,0.18303430,0.05699174,0.84888723,0.91535994,0.07649388
-5.72986493,1.99492573,0.02750636,0.11563474,0.62977383,0.18976036,0.06076246,0.87740438,0.95782248,0.07791737
-5.72386193,2.05267889,0.02948187,0.11825136,0.64804436,0.19614624,0.06446183,0.90316830,0.99807243,0.07909469
-5.71785893,2.10404839,0.03149653,0.12024386,0.66314224,0.20216506,0.06803838,0.92597937,1.03586709,0.08001889
-5.71185593,2.14870469,0.03354127,0.12158035,0.67485243,0.20779482,0.07143955,0.94569089,1.07102317,0.08068594
-5.70585293,2.18642695,0.03560548,0.12224135,0.68302300,0.21301780,0.07461311,0.96221091,1.10341693,0.08109461
-5.69984992,2.21710247,0.03767670,0.12222023,0.68756895,0.21781972,0.07750866,0.97550222,1.13298138,0.08124650
-5.69384692,2.24072268,0.03974047,0.12152338,0.68847390,0.22218886,0.08007930,0.98558049,1.15970055,0.08114590
-5.68784392,2.25737582,0.04178020,0.12016980,0.68578948,0.22611500,0.08228316,0.99251058,1.18360122,0.08079974
-5.68184092,2.26723672,0.04377708,0.11819044,0.67963264,0.22958844,0.08408495,0.99640120,1.20474257,0.08021748
-5.67583792,2.27055415,0.04571023,0.11562702,0.67018078,0.23259904,0.08545730,0.99739826,1.22320440,0.07941090
