energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,8.06689113,0.06178089,0.32812061,1.60777434,0.31096865,0.16581236,4.27186414,0.94906728,0.65559472
-5.99399700,7.81552844,0.06085103,0.32026903,1.60405341,0.30426396,0.15844571,4.14092249,0.91022854,0.63304643
-5.98799400,7.55288008,0.05986724,0.31196739,1.59426466,0.29725486,0.15105859,4.00347698,0.87024764,0.60979190
-5.98199100,7.28143841,0.05883744,0.30332505,1.57848637,0.29000059,0.14372984,3.86078354,0.82953369,0.58609475
-5.97598799,7.00366976,0.05776844,0.29445069,1.55691017,0.28255738,0.13652849,3.71409889,0.78848264,0.56220378
-5.96998499,6.72197725,0.05666558,0.28544947,1.52983546,0.27497805,0.12951289,3.56466337,0.74747209,0.53834858
-5.96398199,6.43866990,0.05553244,0.27642048,1.49766110,0.26731192,0.12273032,3.41368655,0.70685714,0.51473614
-5.95797899,6.15593810,0.05437076,0.26745462,1.46087488,0.25960500,0.11621693,3.26233539,0.66696725,0.49154868
-5.95197599,5.87583556,0.05318042,0.25863295,1.42004098,0.25190040,0.10999818,3.11172497,0.62810409,0.46894262
-5.94597299,5.60026686,0.05195966,0.25002561,1.37578603,0.24423886,0.10408947,2.96291149,0.59054016,0.44704852
-5.93996998,5.33098021,0.05070530,0.24169111,1.32878408,0.23665943,0.09849719,2.81688708,0.55451816,0.42597202
-5.93396698,5.06956421,0.04941317,0.23367629,1.27974096,0.22920016,0.09321983,2.67457610,0.52025088,0.40579543
-5.92796398,4.81744764,0.04807850,0.22601652,1.22937852,0.22189873,0.08824928,2.53683236,0.48792153,0.38657991
-5.92196098,4.57590128,0.04669639,0.21873638,1.17841900,0.21479307,0.08357227,2.40443693,0.45768431,0.36836809
-5.91595798,4.34604068,0.04526232,0.21185052,1.12756994,0.20792170,0.07917166,2.27809619,0.42966513,0.35118679
-5.90995498,4.12882914,0.04377260,0.20536478,1.07751002,0.20132396,0.07502782,2.15843969,0.40396236,0.33504974
-5.90395198,3.92508011,0.04222474,0.19927732,1.02887600,0.19503997,0.07111985,2.04601781,0.38064755,0.31996022
-5.89794897,3.73545869,0.04061785,0.19357983,0.98225103,0.18911035,0.06742663,1.94129901,0.35976603,0.30591340
-5.89194597,3.56048191,0.03895285,0.18825863,0.93815459,0.18357569,0.06392781,1.84466670,0.34133740,0.29289827
-5.88594297,3.40051786,0.03723263,0.18329570,0.89703406,0.17847579,0.06060447,1.75641597,0.32535598,0.28089926
-5.87993997,3.25578388,0.03546215,0.17866958,0.85925822,0.17384860,0.05743975,1.67675016,0.31179103,0.26989731
-5.87393697,3.12634417,0.03364834,0.17435611,0.82511263,0.16972918,0.05441915,1.60577771,0.30058715,0.25987062
-5.86793397,3.01210741,0.03180000,0.17032901,0.79479696,0.16614830,0.05153073,1.54350955,0.29166454,0.25079496
-5.86193097,2.91282497,0.02992755,0.16656038,0.76842424,0.16313117,0.04876513,1.48985727,0.28491957,0.24264368
-5.85592796,2.82809035,0.02804276,0.16302108,0.74602204,0.16069612,0.04611546,1.44463250,0.28022538,0.23538744
-5.84992496,2.75734054,0.02615837,0.15968108,0.72753548,0.15885331,0.04357708,1.40754772,0.27743295,0.22899382
-5.84392196,2.69985972,0.02428769,0.15650974,0.71283188,0.15760364,0.04114726,1.37821870,0.27637243,0.22342684
-5.83791896,2.65478596,0.02244425,0.15347617,0.70170697,0.15693788,0.03882483,1.35616883,0.27685498,0.21864645
-5.83191596,2.62112090,0.02064134,0.15054961,0.69389246,0.15683600,0.03660979,1.34083538,0.27867499,0.21460814
-5.82591296,2.59774285,0.01889167,0.14769985,0.68906465,0.15726689,0.03450292,1.33157761,0.28161288,0.21126262
-5.81990995,2.58342296,0.01720699,0.14489770,0.68685398,0.15818836,0.03250543,1.32768677,0.28543829,0.20855570
-5.81390695,2.57684442,0.01559785,0.14211562,0.68685510,0.15954752,0.03061856,1.32839778,0.28991378,0.20642838
-5.80790395,2.57662414,0.01407331,0.13932824,0.68863735,0.16128156,0.02884340,1.33290229,0.29479882,0.20481707
-5.80190095,2.58133648,0.01264078,0.13651296,0.69175518,0.16331883,0.02718060,1.34036281,0.29985410,0.20365412
-5.79589795,2.58953830,0.01130598,0.13365057,0.69575841,0.16558030,0.02563022,1.34992770,0.30484600,0.20286836
-5.78989495,2.59979473,0.01007284,0.13072570,0.70020203,0.16798125,0.02419170,1.36074643,0.30955105,0.20238596
-5.78389195,2.61070489,0.00894359,0.12772724,0.70465532,0.17043333,0.02286376,1.37198494,0.31376034,0.20213130
-5.77788894,2.62092697,0.00791883,0.12464866,0.70871011,0.17284666,0.02164448,1.38284055,0.31728367,0.20202800
-5.77188594,2.62920196,0.00699771,0.12148812,0.71198807,0.17513216,0.02053138,1.39255626,0.31995334,0.20199997
-5.76588294,2.63437564,0.00617809,0.11824844,0.71414694,0.17720397,0.01952153,1.40043405,0.32162745,0.20197255
-5.75987994,2.63541833,0.00545681,0.11493702,0.71488561,0.17898180,0.01861173,1.40584688,0.32219258,0.20187365
-5.75387694,2.63144221,0.00482988,0.11156547,0.71394813,0.18039329,0.01779873,1.40824936,0.32156592,0.20163493
-5.74787394,2.62171587,0.00429281,0.10814931,0.71112653,0.18137624,0.01707939,1.40718681,0.31969657,0.20119299
-5.74187094,2.60567618,0.00384083,0.10470750,0.70626274,0.18188062,0.01645099,1.40230270,0.31656615,0.20049050
-5.73586793,2.58293731,0.00346915,0.10126195,0.69924940,0.18187050,0.01591144,1.39334432,0.31218876,0.19947744
-5.72986493,2.55329701,0.00317318,0.09783715,0.69002989,0.18132551,0.01545954,1.38016676,0.30661014,0.19811221
-5.72386193,2.51674007,0.00294879,0.09445974,0.67859747,0.18024216,0.01509524,1.36273502,0.29990627,0.19636278
-5.71785893,2.47343913,0.00279243,0.09115827,0.66499381,0.17863474,0.01481984,1.34112443,0.29218143,0.19420770
-5.71185593,2.42375271,0.00270131,0.08796297,0.64930676,0.17653579,0.01463630,1.31551916,0.28356573,0.19163711
-5.70585293,2.36822046,0.00267348,0.08490579,0.63166758,0.17399623,0.01454931,1.28620897,0.27421234,0.18865354
-5.69984992,2.30755559,0.00270790,0.08202041,0.61224757,0.17108501,0.01456553,1.25358405,0.26429437,0.18527258
-5.69384692,2.24263440,0.00280446,0.07934249,0.59125423,0.16788830,0.01469361,1.21812804,0.25400168,0.18152328
-5.68784392,2.17448273,0.00296392,0.07690991,0.56892685,0.16450822,0.01494426,1.18040916,0.24353753,0.17744832
-5.68184092,2.10425946,0.00318783,0.07476308,0.54553172,0.16106110,0.01533015,1.14106954,0.23311528,0.17310385
-5.67583792,2.03323686,0.00347845,0.07294534,0.52135675,0.15767529,0.01586576,1.10081271,0.22295517,0.16855897
-5.66983492,1.96277810,0.00383850,0.07150321,0.49670586,0.15448855,0.01656713,1.06038957,0.21328126,0.16389493
-5.66383192,1.89431203,0.00427104,0.07048667,0.47189294,0.15164501,0.01745152,1.02058288,0.20431859,0.15920386
-5.65782891,1.82930569,0.00477919,0.06994934,0.44723561,0.14929191,0.01853689,0.98219058,0.19629061,0.15458726
-5.65182591,1.76923508,0.00536588,0.06994849,0.42304885,0.14757599,0.01984140,0.94600837,0.18941695,0.15015418
-5.64582291,1.71555499,0.00603361,0.07054504,0.39963873,0.14663978,0.02138271,0.91281193,0.18391150,0.14601916
-5.63981991,1.66966871,0.00678420,0.07180332,0.37729623,0.14661789,0.02317732,0.88333932,0.17998101,0.14230007
-5.63381691,1.63289861,0.00761853,0.07379089,0.35629154,0.14763336,0.02523976,0.85827410,0.17782401,0.13911587
-5.62781391,1.60645880,0.00853633,0.07657815,0.33686889,0.14979424,0.02758186,0.83822979,0.17763031,0.13658440
-5.62181091,1.59143089,0.00953606,0.08023800,0.31924215,0.15319056,0.03021200,0.82373634,0.17958089,0.13482046
-5.61580790,1.58874393,0.01061477,0.08484549,0.30359140,0.15789183,0.03313443,0.81522905,0.18384841,0.13393395
-5.60980490,1.59915958,0.01176808,0.09047746,0.29006056,0.16394517,0.03634870,0.81304058,0.19059816,0.13402853
-5.60380190,1.62326311,0.01299027,0.09721232,0.27875623,0.17137415,0.03984919,0.81739646,0.19998937,0.13520056
-5.59779890,1.66146099,0.01427435,0.10512975,0.26974781,0.18017857,0.04362485,0.82841422,0.21217710,0.13753855
-5.59179590,1.71398493,0.01561234,0.11431061,0.26306891,0.19033495,0.04765910,0.84610653,0.22731419,0.14112295
-5.58579290,1.78090254,0.01699554,0.12483674,0.25871998,0.20179809,0.05192997,0.87038804,0.24555348,0.14602639
-5.57978989,1.86213369,0.01841492,0.13679081,0.25667206,0.21450335,0.05641038,0.90108577,0.26704987,0.15231427
-5.57378689,1.95747193,0.01986152,0.15025600,0.25687149,0.22836967,0.06106873,0.93795251,0.29196216,0.16004549
-5.56778389,2.06660929,0.02132694,0.16531556,0.25924535,0.24330327,0.06586956,0.98068264,0.32045419,0.16927332
-5.56178089,2.18916307,0.02280375,0.18205196,0.26370731,0.25920169,0.07077444,1.02892944,0.35269526,0.18004622
-5.55577789,2.32470261,0.02428596,0.20054574,0.27016363,0.27595806,0.07574297,1.08232295,0.38885927,0.19240836
-5.54977489,2.47277395,0.02576938,0.22087376,0.27851897,0.29346532,0.08073375,1.14048732,0.42912253,0.20639987
-5.54377189,2.63292046,0.02725188,0.24310689,0.28868162,0.31162005,0.08570550,1.20305659,0.47365977,0.22205648
-5.53776888,2.80469747,0.02873360,0.26730704,0.30056790,0.33032575,0.09061801,1.26968772,0.52263839,0.23940852
-5.53176588,2.98767939,0.03021693,0.29352342,0.31410540,0.34949537,0.09543301,1.34007018,0.57621068,0.25847921
