energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.06532117,0.40949143,0.12389592,0.02031244,0.03493545,0.02527520,0.36964976,0.15216587,0.23033776
-5.99399700,1.06792601,0.40829795,0.12637678,0.01871597,0.03481044,0.02631991,0.37301703,0.15208698,0.22735850
-5.98799400,1.07054918,0.40758158,0.12899068,0.01719452,0.03468025,0.02732657,0.37676657,0.15239260,0.22409158
-5.98199100,1.07315664,0.40740410,0.13166445,0.01576258,0.03456249,0.02827549,0.38083246,0.15314303,0.22059414
-5.97598799,1.07568443,0.40780932,0.13432103,0.01443277,0.03447353,0.02914660,0.38513547,0.15438905,0.21691985
-5.96998499,1.07804293,0.40882276,0.13688237,0.01321576,0.03442786,0.02992011,0.38958622,0.15616975,0.21311784
-5.96398199,1.08012235,0.41045168,0.13927222,0.01212025,0.03443755,0.03057725,0.39408871,0.15851055,0.20923191
-5.95797899,1.08179930,0.41268571,0.14141890,0.01115303,0.03451171,0.03110102,0.39854383,0.16142168,0.20530014
-5.95197599,1.08294391,0.41549784,0.14325783,0.01031899,0.03465626,0.03147690,0.40285295,0.16489690,0.20135490
-5.94597299,1.08342725,0.41884584,0.14473365,0.00962126,0.03487359,0.03169353,0.40692118,0.16891279,0.19742312
-5.93996998,1.08312862,0.42267395,0.14580205,0.00906124,0.03516256,0.03174326,0.41066043,0.17342838,0.19352678
-5.93396698,1.08194237,0.42691498,0.14643104,0.00863880,0.03551849,0.03162265,0.41399197,0.17838538,0.18968371
-5.92796398,1.07978396,0.43149253,0.14660176,0.00835240,0.03593332,0.03133275,0.41684858,0.18370895,0.18590843
-5.92196098,1.07659512,0.43632353,0.14630880,0.00819925,0.03639590,0.03087930,0.41917617,0.18930898,0.18221312
-5.91595798,1.07234781,0.44132089,0.14555996,0.00817548,0.03689240,0.03027268,0.42093489,0.19508199,0.17860855
-5.90995498,1.06704700,0.44639621,0.14437564,0.00827630,0.03740680,0.02952780,0.42209984,0.20091367,0.17510499
-5.90395198,1.06073226,0.45146268,0.14278773,0.00849621,0.03792151,0.02866369,0.42266129,0.20668186,0.17171303
-5.89794897,1.05347820,0.45643785,0.14083826,0.00882915,0.03841807,0.02770311,0.42262464,0.21226013,0.16844425
-5.89194597,1.04539384,0.46124648,0.13857769,0.00926866,0.03887788,0.02667183,0.42200999,0.21752174,0.16531172
-5.88594297,1.03662101,0.46582311,0.13606311,0.00980804,0.03928304,0.02559801,0.42085165,0.22234400,0.16233036
-5.87993997,1.02733203,0.47011461,0.13335634,0.01044044,0.03961716,0.02451132,0.41919742,0.22661279,0.15951704
-5.87393697,1.01772666,0.47408228,0.13052201,0.01115904,0.03986623,0.02344217,0.41710775,0.23022716,0.15689060
-5.86793397,1.00802852,0.47770366,0.12762567,0.01195704,0.04001943,0.02242076,0.41465493,0.23310383,0.15447158
-5.86193097,0.99848101,0.48097383,0.12473212,0.01282777,0.04006984,0.02147629,0.41192207,0.23518138,0.15228189
-5.85592796,0.98934291,0.48390618,0.12190380,0.01376468,0.04001520,0.02063611,0.40900215,0.23642399,0.15034421
-5.84992496,0.98088352,0.48653248,0.11919949,0.01476134,0.03985841,0.01992496,0.40599682,0.23682453,0.14868139
-5.84392196,0.97337750,0.48890238,0.11667309,0.01581136,0.03960797,0.01936430,0.40301510,0.23640678,0.14731562
-5.83791896,0.96709935,0.49108200,0.11437278,0.01690835,0.03927823,0.01897175,0.40017185,0.23522669,0.14626761
-5.83191596,0.96231761,0.49315201,0.11234024,0.01804580,0.03888943,0.01876060,0.39758603,0.23337259,0.14555566
-5.82591296,0.95928869,0.49520485,0.11061019,0.01921698,0.03846756,0.01873946,0.39537860,0.23096418,0.14519474
-5.81990995,0.95825055,0.49734139,0.10921003,0.02041480,0.03804397,0.01891207,0.39367021,0.22815033,0.14519555
-5.81390695,0.95941612,0.49966712,0.10815965,0.02163173,0.03765478,0.01927719,0.39257851,0.22510569,0.14556365
-5.80790395,0.96296677,0.50228781,0.10747143,0.02285964,0.03733999,0.01982866,0.39221525,0.22202618,0.14629869
-5.80190095,0.96904587,0.50530510,0.10715021,0.02408980,0.03714251,0.02055557,0.39268314,0.21912343,0.14739369
-5.79589795,0.97775258,0.50881184,0.10719354,0.02531276,0.03710686,0.02144250,0.39407256,0.21661835,0.14883459
-5.78989495,0.98913623,0.51288767,0.10759185,0.02651838,0.03727779,0.02247001,0.39645825,0.21473398,0.15059983
-5.78389195,1.00319132,0.51759476,0.10832876,0.02769588,0.03769872,0.02361508,0.39989604,0.21368795,0.15266028
-5.77788894,1.01985346,0.52297402,0.10938142,0.02883389,0.03841012,0.02485174,0.40441975,0.21368457,0.15497934
-5.77188594,1.03899632,0.52904186,0.11072096,0.02992066,0.03944787,0.02615170,0.41003838,0.21490708,0.15751321
-5.76588294,1.06042991,0.53578757,0.11231291,0.03094416,0.04084157,0.02748515,0.41673371,0.21751014,0.16021148
-5.75987994,1.08390018,0.54317156,0.11411771,0.03189238,0.04261302,0.02882145,0.42445847,0.22161288,0.16301788
-5.75387694,1.10909009,0.55112430,0.11609132,0.03275356,0.04477477,0.03012994,0.43313503,0.22729282,0.16587124
-5.74787394,1.13562221,0.55954619,0.11818581,0.03351642,0.04732894,0.03138071,0.44265492,0.23458089,0.16870657
-5.74187094,1.16306292,0.56830832,0.12035002,0.03417052,0.05026623,0.03254532,0.45287908,0.24345772,0.17145634
-5.73586793,1.19092814,0.57725406,0.12253033,0.03470647,0.05356534,0.03359750,0.46363898,0.25385154,0.17405179
-5.72986493,1.21869061,0.58620151,0.12467139,0.03511617,0.05719273,0.03451373,0.47473862,0.26563760,0.17642428
-5.72386193,1.24578860,0.59494686,0.12671702,0.03539311,0.06110275,0.03527378,0.48595749,0.27863959,0.17850670
-5.71785893,1.27163611,0.60326844,0.12861106,0.03553247,0.06523831,0.03586111,0.49705442,0.29263266,0.18023481
-5.71185593,1.29563426,0.61093156,0.13029835,0.03553128,0.06953191,0.03626312,0.50777231,0.30734844,0.18154859
-5.70585293,1.31718385,0.61769407,0.13172569,0.03538852,0.07390716,0.03647136,0.51784369,0.32248170,0.18239339
-5.69984992,1.33569880,0.62331237,0.13284292,0.03510513,0.07828068,0.03648155,0.52699706,0.33769862,0.18272117
-5.69384692,1.35062041,0.62754800,0.13360393,0.03468403,0.08256445,0.03629349,0.53496379,0.35264646,0.18249146
-5.68784392,1.36143185,0.63017453,0.13396781,0.03413003,0.08666833,0.03591089,0.54148545,0.36696425,0.18167228
-5.68184092,1.36767285,0.63098460,0.13389985,0.03344975,0.09050289,0.03534105,0.54632149,0.38029418,0.18024100
-5.67583792,1.36895396,0.62979691,0.13337265,0.03265153,0.09398234,0.03459456,0.54925676,0.39229343,0.17818492
-5.66983492,1.36497004,0.62646302,0.13236705,0.03174523,0.09702743,0.03368482,0.55010897,0.40264572,0.17550184
-5.66383192,1.35551251,0.62087359,0.13087305,0.03074216,0.09956826,0.03262760,0.54873547,0.41107249,0.17220046
