energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Se_s_up,Se_p_up
-6.00000000,1.16220716,0.23047859,0.66401258,0.01658964,0.02196144,0.01016892,0.00000000,0.02860102,0.33183218
-5.99399700,1.11827391,0.22682230,0.62890334,0.01767987,0.02037497,0.01007844,0.00000000,0.02770047,0.32734247
-5.98799400,1.07735163,0.22432477,0.59425183,0.01881123,0.01883869,0.01002213,0.00000000,0.02693149,0.32434828
-5.98199100,1.03993154,0.22296187,0.56053781,0.01997312,0.01736994,0.00999914,0.00000000,0.02629442,0.32283883
-5.97598799,1.00639643,0.22268438,0.52820177,0.02115404,0.01598466,0.01000755,0.00000000,0.02578587,0.32276306
-5.96998499,0.97702002,0.22342162,0.49763904,0.02234180,0.01469717,0.01004449,0.00000000,0.02539907,0.32403343
-5.96398199,0.95197105,0.22508593,0.46919667,0.02352387,0.01352010,0.01010624,0.00000000,0.02512428,0.32653088
-5.95797899,0.93132183,0.22757759,0.44317307,0.02468759,0.01246435,0.01018844,0.00000000,0.02494935,0.33011084
-5.95197599,0.91506069,0.23079019,0.41982022,0.02582047,0.01153921,0.01028628,0.00000000,0.02486030,0.33460994
-5.94597299,0.90310786,0.23461627,0.39934817,0.02691050,0.01075250,0.01039469,0.00000000,0.02484194,0.33985326
-5.93996998,0.89533388,0.23895292,0.38193148,0.02794645,0.01011079,0.01050856,0.00000000,0.02487853,0.34566189
-5.93396698,0.89157983,0.24370742,0.36771714,0.02891807,0.00961966,0.01062290,0.00000000,0.02495439,0.35186062
-5.92796398,0.89167854,0.24880255,0.35683340,0.02981643,0.00928392,0.01073310,0.00000000,0.02505460,0.35828543
-5.92196098,0.89547590,0.25418166,0.34939908,0.03063413,0.00910795,0.01083504,0.00000000,0.02516549,0.36479077
-5.91595798,0.90285127,0.25981310,0.34553264,0.03136554,0.00909586,0.01092529,0.00000000,0.02527528,0.37125617
-5.90995498,0.91373623,0.26569418,0.34536064,0.03200702,0.00925176,0.01100123,0.00000000,0.02537447,0.37759228
