energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,3.98780448,0.01315383,0.00000000,0.00194309,1.32203069,0.96023372,1.16848873,0.06181280,0.82718761
-5.99399700,4.08143182,0.01357879,0.00000000,0.00193458,1.35132472,0.98393222,1.19143637,0.06383943,0.84840811
-5.98799400,4.17098519,0.01399642,0.00000000,0.00193201,1.37872695,1.00670610,1.21246238,0.06582990,0.86945991
-5.98199100,4.25692568,0.01440776,0.00000000,0.00193552,1.40435701,1.02871388,1.23167602,0.06778511,0.89049719
-5.97598799,4.33989240,0.01481432,0.00000000,0.00194525,1.42839206,1.05015348,1.24923790,0.06970835,0.91171203
-5.96998499,4.42066179,0.01521787,0.00000000,0.00196131,1.45105397,1.07124984,1.26534790,0.07160501,0.93332476
-5.96398199,4.50010119,0.01562036,0.00000000,0.00198377,1.47259473,1.09224123,1.28023159,0.07348220,0.95557297
-5.95797899,4.57911893,0.01602371,0.00000000,0.00201264,1.49328083,1.11336497,1.29412590,0.07534838,0.97869978
-5.95197599,4.65861353,0.01642972,0.00000000,0.00204786,1.51337754,1.13484338,1.30726475,0.07721278,1.00294171
-5.94597299,4.73942482,0.01683987,0.00000000,0.00208931,1.53313385,1.15687071,1.31986563,0.07908498,1.02851699
-5.93996998,4.82228917,0.01725524,0.00000000,0.00213677,1.55276894,1.17960190,1.33211765,0.08097434,1.05561465
-5.93396698,4.90780126,0.01767638,0.00000000,0.00218993,1.57246083,1.20314363,1.34417185,0.08288954,1.08438498
-5.92796398,4.99638393,0.01810328,0.00000000,0.00224839,1.59233776,1.22754829,1.35613421,0.08483808,1.11493177
-5.92196098,5.08826750,0.01853529,0.00000000,0.00231167,1.61247262,1.25281109,1.36806161,0.08682590,1.14730662
-5.91595798,5.18347905,0.01897113,0.00000000,0.00237919,1.63288070,1.27887034,1.37996090,0.08885704,1.18150547
-5.90995498,5.28184191,0.01940896,0.00000000,0.00245030,1.65352057,1.30561104,1.39179098,0.09093331,1.21746745
-5.90395198,5.38298452,0.01984639,0.00000000,0.00252431,1.67429805,1.33287112,1.40346757,0.09305414,1.25507593
-5.89794897,5.48635797,0.02028060,0.00000000,0.00260046,1.69507276,1.36045027,1.41487037,0.09521639,1.29416157
-5.89194597,5.59126041,0.02070846,0.00000000,0.00267797,1.71566668,1.38812040,1.42585191,0.09741436,1.33450721
-5.88594297,5.69686685,0.02112664,0.00000000,0.00275603,1.73587438,1.41563733,1.43624765,0.09963973,1.37585398
-5.87993997,5.80226225,0.02153177,0.00000000,0.00283385,1.75547397,1.44275280,1.44588647,0.10188165,1.41790847
