energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Na_s_up,Se_s_up,Se_p_up
-6.00000000,0.70580582,0.55054370,0.16783264,0.00584499,0.21561091,0.12405229,0.01800807,0.24387631
-5.99399700,0.72238336,0.55903863,0.17246058,0.00630560,0.21918454,0.12560203,0.01816157,0.25197365
-5.98799400,0.74108186,0.56720215,0.17714221,0.00678001,0.22210207,0.12753054,0.01844689,0.26233545
-5.98199100,0.76125710,0.57456733,0.18174735,0.00726182,0.22418590,0.12973539,0.01884654,0.27471658
-5.97598799,0.78231902,0.58075577,0.18616503,0.00774428,0.22529638,0.13212151,0.01934234,0.28886427
-5.96998499,0.80374079,0.58548524,0.19030519,0.00822049,0.22533484,0.13460343,0.01991578,0.30452094
-5.96398199,0.82506566,0.58857419,0.19409973,0.00868359,0.22424537,0.13710704,0.02054827,0.32142687
-5.95797899,0.84591133,0.58994293,0.19750289,0.00912690,0.22201536,0.13957070,0.02122138,0.33932279
-5.95197599,0.86597205,0.58961145,0.20049106,0.00954412,0.21867466,0.14194588,0.02191707,0.35795240
-5.94597299,0.88501842,0.58769397,0.20306189,0.00992944,0.21429347,0.14419725,0.02261786,0.37706502
-5.93996998,0.90289523,0.58439045,0.20523283,0.01027774,0.20897895,0.14630234,0.02330702,0.39641822
-5.93396698,0.91951742,0.57997541,0.20703918,0.01058468,0.20287078,0.14825073,0.02396874,0.41578053
-5.92796398,0.93486440,0.57478445,0.20853168,0.01084677,0.19613574,0.15004298,0.02458831,0.43493420
-5.92196098,0.94897308,0.56919885,0.20977379,0.01106148,0.18896158,0.15168923,0.02515229,0.45367778
-5.91595798,0.96192985,0.56362904,0.21083865,0.01122720,0.18155036,0.15320771,0.02564871,0.47182876
-5.90995498,0.97386164,0.55849730,0.21180591,0.01134327,0.17411153,0.15462300,0.02606721,0.48922570
-5.90395198,0.98492651,0.55422035,0.21275853,0.01140995,0.16685497,0.15596437,0.02639924,0.50573017
