energy_ev,total_up,Au_p_up,Au_d_up,B_p_up,B_d_up,Se_s_up,Se_p_up
-6.00000000,5.35554010,1.22906672,3.56023793,0.39497365,0.00000000,0.03281818,1.02948744
-5.99399700,5.44804999,1.23346752,3.61400568,0.38318293,0.00000000,0.03360399,1.06784049
-5.98799400,5.54526508,1.24098665,3.67109560,0.37237088,0.00000000,0.03439654,1.10606780
-5.98199100,5.64440752,1.25091951,3.72989151,0.36249355,0.00000000,0.03517401,1.14340363
-5.97598799,5.74297256,1.26255233,3.78899837,0.35351363,0.00000000,0.03591755,1.17912511
-5.96998499,5.83881056,1.27518108,3.84729195,0.34540135,0.00000000,0.03661177,1.21257417
-5.96398199,5.93019997,1.28812950,3.90396219,0.33813508,0.00000000,0.03724526,1.24317760
-5.95797899,6.01590807,1.30076592,3.95854821,0.33170179,0.00000000,0.03781092,1.27046421
-5.95197599,6.09523666,1.31251849,4.01096273,0.32609720,0.00000000,0.03830626,1.29407883
-5.94597299,6.16805005,1.32288850,4.06150407,0.32132556,0.00000000,0.03873345,1.31379246
-5.93996998,6.23478353,1.33146158,4.11085428,0.31739907,0.00000000,0.03909930,1.32950827
-5.93396698,6.29643075,1.33791628,4.16006230,0.31433685,0.00000000,0.03941506,1.34126315
-5.92796398,6.35450939,1.34202998,4.21051178,0.31216344,0.00000000,0.03969612,1.34922485
-5.92196098,6.41100524,1.34368174,4.26387344,0.31090676,0.00000000,0.03996153,1.35368454
-5.91595798,6.46829569,1.34285202,4.32204306,0.31059556,0.00000000,0.04023343,1.35504530
-5.90995498,6.52905434,1.33961918,4.38706620,0.31125644,0.00000000,0.04053637,1.35380656
-5.90395198,6.59613970,1.33415275,4.46105203,0.31291042,0.00000000,0.04089657,1.35054536
-5.89794897,6.67247135,1.32670366,4.54607900,0.31556921,0.00000000,0.04134110,1.34589474
-5.89194597,6.76089813,1.31759164,4.64409555,0.31923140,0.00000000,0.04189702,1.34052035
-5.88594297,6.86406311,1.30719035,4.75681992,0.32387861,0.00000000,0.04259059,1.33509587
-5.87993997,6.98427102,1.29591060,4.88564292,0.32947201,0.00000000,0.04344640,1.33027836
-5.87393697,7.12336352,1.28418243,5.03153818,0.33594922,0.00000000,0.04448659,1.32668432
-5.86793397,7.28260807,1.27243681,5.19498397,0.34322202,0.00000000,0.04573018,1.32486758
-5.86193097,7.46260568,1.26108760,5.37590064,0.35117498,0.00000000,0.04719243,1.32529969
