energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,V_p_up,V_p_down,V_d_up,V_d_down
-6.00000000,3.57309828,-1.37916010,0.01785306,-0.00896637,0.39077827,-0.06515619,2.08186714,-0.18909208,0.43448714,-0.13844765,0.05205284,-0.00923045,1.57919479,-0.76308132,0.55019726,-0.34916359,0.29845753,-0.10736252
-5.99399700,3.71461269,-1.37039012,0.01961251,-0.00874568,0.41162862,-0.06278766,2.23234907,-0.19326742,0.44326320,-0.13575337,0.05439533,-0.00921553,1.63863952,-0.76194142,0.56555512,-0.34792050,0.31398036,-0.10835309
-5.98799400,3.86403932,-1.36481215,0.02154655,-0.00856488,0.43301860,-0.06133401,2.38643311,-0.20038575,0.45276722,-0.13336201,0.05692073,-0.00936810,1.70227970,-0.76155641,0.58277711,-0.34636335,0.33038806,-0.10952740
-5.98199100,4.02137803,-1.36237034,0.02366015,-0.00842065,0.45486605,-0.06087038,2.54290644,-0.21075126,0.46315774,-0.13126032,0.05963933,-0.00969898,1.77017982,-0.76180935,0.60202166,-0.34442480,0.34762879,-0.11088792
-5.97598799,4.18636622,-1.36325967,0.02595578,-0.00831155,0.47707014,-0.06148089,2.70043128,-0.22473935,0.47457037,-0.12945356,0.06255562,-0.01022258,1.84227116,-0.76272832,0.62339724,-0.34209240,0.36562181,-0.11246006
-5.96998499,4.35847379,-1.36792599,0.02843313,-0.00823813,0.49951340,-0.06325800,2.85757372,-0.24279402,0.48711382,-0.12796558,0.06566762,-0.01095638,1.91834715,-0.76448725,0.64695764,-0.33941052,0.38425787,-0.11429242
-5.96398199,4.53691056,-1.37705552,0.03108886,-0.00820292,0.52206453,-0.06630108,3.01283827,-0.26542221,0.50086712,-0.12683813,0.06896640,-0.01192027,1.99806506,-0.76740105,0.67269952,-0.33647991,0.40340076,-0.11645601
-5.95797899,4.72064553,-1.39155364,0.03391645,-0.00821040,0.54458201,-0.07071451,3.16470644,-0.29318512,0.51587794,-0.12612932,0.07243587,-0.01313578,2.08095359,-0.77191481,0.70056232,-0.33345493,0.42289012,-0.11904249
-5.95197599,4.90843610,-1.41251323,0.03690606,-0.00826684,0.56691818,-0.07660504,3.31167782,-0.32668630,0.53216191,-0.12591120,0.07605288,-0.01462518,2.16642581,-0.77858725,0.73043034,-0.33053851,0.44254518,-0.12216133
-5.94597299,5.09886537,-1.44117338,0.04004446,-0.00838018,0.58892345,-0.08407868,3.45231132,-0.36655654,0.54970280,-0.12626674,0.07978765,-0.01641046,2.25379659,-0.78806890,0.76213675,-0.32797491,0.46216937,-0.12593606
