energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,1.75121815,0.73993555,0.28775829,0.00089251,0.16151707,0.00883890,1.10768934,0.55246078,0.18553654
-5.99399700,1.80233586,0.75732076,0.29816316,0.00092095,0.16375719,0.00905359,1.14377272,0.56715273,0.19121254
-5.98799400,1.85698798,0.77657495,0.30924938,0.00095875,0.16629955,0.00922758,1.18206779,0.58340798,0.19721085
-5.98199100,1.91449977,0.79744544,0.32089411,0.00100521,0.16909476,0.00935638,1.22214524,0.60105400,0.20343694
-5.97598799,1.97415699,0.81964844,0.33297146,0.00105966,0.17208413,0.00943661,1.26355190,0.61987092,0.20979627
-5.96998499,2.03520369,0.84286743,0.34535248,0.00112145,0.17519951,0.00946603,1.30580940,0.63959065,0.21619449
-5.96398199,2.09684354,0.86675376,0.35790561,0.00118997,0.17836374,0.00944359,1.34841501,0.65989879,0.22253786
-5.95797899,2.15824481,0.89092960,0.37049753,0.00126459,0.18149183,0.00936940,1.39084456,0.68043895,0.22873393
-5.95197599,2.21854935,0.91499328,0.38299452,0.00134468,0.18449261,0.00924468,1.43255775,0.70081960,0.23469250
-5.94597299,2.27688524,0.93852675,0.39526423,0.00142959,0.18727099,0.00907169,1.47300573,0.72062321,0.24032678
-5.93996998,2.33238279,0.96110499,0.40717782,0.00151866,0.18973062,0.00885366,1.51164076,0.73941704,0.24555484
-5.93396698,2.38419338,0.98230686,0.41861258,0.00161118,0.19177676,0.00859459,1.54792768,0.75676541,0.25030114
-5.92796398,2.43151033,1.00172698,0.42945471,0.00170645,0.19331936,0.00829920,1.58135677,0.77224275,0.25449824
-5.92196098,2.47359112,1.01898812,0.43960227,0.00180371,0.19427610,0.00797272,1.61145750,0.78544688,0.25808848
-5.91595798,2.50977967,1.03375337,0.44896829,0.00190224,0.19457523,0.00762074,1.63781262,0.79601189,0.26102568
-5.90995498,2.53952810,1.04573764,0.45748372,0.00200130,0.19415818,0.00724909,1.66007186,0.80362020,0.26327662
-5.90395198,2.56241657,1.05471791,0.46510019,0.00210019,0.19298165,0.00686366,1.67796486,0.80801306,0.26482239
-5.89794897,2.57817043,1.06054164,0.47179244,0.00219826,0.19101928,0.00647030,1.69131234,0.80899923,0.26565941
-5.89194597,2.58667379,1.06313300,0.47756030,0.00229491,0.18826266,0.00607469,1.70003523,0.80646138,0.26580003
-5.88594297,2.58797861,1.06249659,0.48243008,0.00238964,0.18472173,0.00568227,1.70416109,0.80035995,0.26527275
-5.87993997,2.58230886,1.05871835,0.48645520,0.00248202,0.18042458,0.00529812,1.70382740,0.79073441,0.26412202
-5.87393697,2.57005931,1.05196366,0.48971619,0.00257175,0.17541652,0.00492700,1.69928149,0.77770186,0.26240739
-5.86793397,2.55178878,1.04247262,0.49231974,0.00265862,0.16975876,0.00457324,1.69087688,0.76145300,0.26020232
-5.86193097,2.52820793,1.03055275,0.49439705,0.00274253,0.16352639,0.00424079,1.67906611,0.74224582,0.25759244
-5.85592796,2.50016194,1.01656923,0.49610130,0.00282346,0.15680613,0.00393318,1.66439011,0.72039723,0.25467332
