energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-6.00000000,1.52136240,0.01805159,0.00899460,1.21720328,0.00000000,0.40299704,0.13677074
-5.99399700,1.59226316,0.01993200,0.00940911,1.27269375,0.00000000,0.42590825,0.14259908
-5.98799400,1.65736571,0.02190162,0.00979599,1.32333064,0.00000000,0.44781876,0.14780571
-5.98199100,1.71591585,0.02395499,0.01015236,1.36850118,0.00000000,0.46851741,0.15231625
-5.97598799,1.76729446,0.02608666,0.01047633,1.40770185,0.00000000,0.48782077,0.15606891
-5.96998499,1.81103610,0.02829147,0.01076711,1.44055339,0.00000000,0.50557883,0.15901630
-5.96398199,1.84684275,0.03056472,0.01102500,1.46681202,0.00000000,0.52167965,0.16112678
-5.95797899,1.87459190,0.03290224,0.01125143,1.48637604,0.00000000,0.53605253,0.16238539
-5.95197599,1.89433875,0.03530047,0.01144885,1.49928780,0.00000000,0.54866972,0.16279424
-5.94597299,1.90631205,0.03775634,0.01162074,1.50573069,0.00000000,0.55954631,0.16237236
-5.93996998,1.91090395,0.04026705,0.01177143,1.50602126,0.00000000,0.56873846,0.16115504
-5.93396698,1.90865424,0.04282978,0.01190599,1.50059697,0.00000000,0.57633992,0.15919270
-5.92796398,1.90022966,0.04544130,0.01203006,1.48999999,0.00000000,0.58247697,0.15654932
-5.92196098,1.88639942,0.04809742,0.01214967,1.47485798,0.00000000,0.58730219,0.15330049
-5.91595798,1.86800804,0.05079252,0.01227109,1.45586270,0.00000000,0.59098723,0.14953122
-5.90995498,1.84594705,0.05351898,0.01240061,1.43374759,0.00000000,0.59371506,0.14533364
-5.90395198,1.82112692,0.05626670,0.01254441,1.40926549,0.00000000,0.59567218,0.14080457
-5.89794897,1.79445073,0.05902271,0.01270844,1.38316758,0.00000000,0.59704123,0.13604326
-5.89194597,1.76679094,0.06177083,0.01289832,1.35618465,0.00000000,0.59799444,0.13114918
-5.88594297,1.73897058,0.06449168,0.01311924,1.32901161,0.00000000,0.59868834,0.12622024
-5.87993997,1.71174960,0.06716270,0.01337601,1.30229602,0.00000000,0.59926014,0.12135121
-5.87393697,1.68581718,0.06975855,0.01367303,1.27663111,0.00000000,0.59982587,0.11663261
-5.86793397,1.66179020,0.07225166,0.01401439,1.25255341,0.00000000,0.60048052,0.11215001
-5.86193097,1.64021765,0.07461310,0.01440391,1.23054511,0.00000000,0.60130011,0.10798377
-5.85592796,1.62159058,0.07681356,0.01484535,1.21104059,0.00000000,0.60234557,0.10420917
-5.84992496,1.60635656,0.07882454,0.01534246,1.19443646,0.00000000,0.60366809,0.10089691
-5.84392196,1.59493747,0.08061967,0.01589914,1.18110432,0.00000000,0.60531554,0.09811384
-5.83791896,1.58774922,0.08217604,0.01651959,1.17140505,0.00000000,0.60733962,0.09592389
-5.83191596,1.58522160,0.08347552,0.01720839,1.16570340,0.00000000,0.60980296,0.09438912
-5.82591296,1.58781681,0.08450599,0.01797057,1.16438171,0.00000000,0.61278582,0.09357069
-5.81990995,1.59604490,0.08526236,0.01881162,1.16785143,0.00000000,0.61639172,0.09352964
-5.81390695,1.61047464,0.08574740,0.01973749,1.17656140,0.00000000,0.62075157,0.09432751
-5.80790395,1.63173884,0.08597223,0.02075449,1.19100200,0.00000000,0.62602593,0.09602652
-5.80190095,1.66053292,0.08595652,0.02186918,1.21170438,0.00000000,0.63240499,0.09868943
-5.79589795,1.69760661,0.08572835,0.02308815,1.23923452,0.00000000,0.64010634,0.10237886
-5.78989495,1.74374841,0.08532363,0.02441787,1.27418195,0.00000000,0.64937030,0.10715616
-5.78389195,1.79976347,0.08478529,0.02586434,1.31714352,0.00000000,0.66045322,0.11307984
-5.77788894,1.86644544,0.08416210,0.02743290,1.36870256,0.00000000,0.67361873,0.12020357
-5.77188594,1.94454351,0.08350720,0.02912793,1.42940451,0.00000000,0.68912764,0.12857379
-5.76588294,2.03472612,0.08287650,0.03095257,1.49972985,0.00000000,0.70722672,0.13822711
-5.75987994,2.13754282,0.08232687,0.03290846,1.58006571,0.00000000,0.72813704,0.14918747
-5.75387694,2.25338606,0.08191424,0.03499556,1.67067727,0.00000000,0.75204239,0.16146341
-5.74787394,2.38245467,0.08169175,0.03721191,1.77168044,0.00000000,0.77907821,0.17504527
-5.74187094,2.52472060,0.08170793,0.03955354,1.88301691,0.00000000,0.80932174,0.18990275
-5.73586793,2.67990050,0.08200495,0.04201437,2.00443285,0.00000000,0.84278354,0.20598273
-5.72986493,2.84743338,0.08261710,0.04458611,2.13546215,0.00000000,0.87940092,0.22320762
-5.72386193,3.02646530,0.08356942,0.04725833,2.27541501,0.00000000,0.91903335,0.24147425
