energy_ev,total_up,Ge_p_up,Ge_d_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-6.00000000,2.88374566,0.72129983,0.00000000,1.51529114,1.91116796,0.67867780,0.00000000
-5.99399700,2.99339796,0.75498129,0.00000000,1.58276354,1.98273144,0.69843535,0.00000000
-5.98799400,3.10472275,0.78985189,0.00000000,1.65261984,2.05496999,0.71739068,0.00000000
-5.98199100,3.21770840,0.82583067,0.00000000,1.72510416,2.12782181,0.73548891,0.00000000
-5.97598799,3.33247169,0.86285801,0.00000000,1.80053919,2.20130967,0.75271760,0.00000000
-5.96998499,3.44925678,0.90089863,0.00000000,1.87931870,2.27554208,0.76910785,0.00000000
-5.96398199,3.56842718,0.93994305,0.00000000,1.96189510,2.35071033,0.78473355,0.00000000
-5.95797899,3.69045097,0.98000749,0.00000000,2.04876184,2.42708117,0.79970893,0.00000000
-5.95197599,3.81587908,1.02113192,0.00000000,2.14043115,2.50498531,0.81418415,0.00000000
-5.94597299,3.94531744,1.06337628,0.00000000,2.23740764,2.58480194,0.82833925,0.00000000
-5.93996998,4.07939373,1.10681498,0.00000000,2.34015859,2.66693970,0.84237658,0.00000000
-5.93396698,4.21871984,1.15152980,0.00000000,2.44908212,2.75181467,0.85651176,0.00000000
-5.92796398,4.36385153,1.19760136,0.00000000,2.56447445,2.83982631,0.87096388,0.00000000
-5.92196098,4.51524685,1.24509957,0.00000000,2.68649782,2.93133201,0.88594484,0.00000000
-5.91595798,4.67322529,1.29407350,0.00000000,2.81515072,3.02662166,0.90164876,0.00000000
-5.90995498,4.83792951,1.34454106,0.00000000,2.95024195,3.12589304,0.91824158,0.00000000
-5.90395198,5.00929166,1.39647900,0.00000000,3.09137014,3.22922938,0.93585151,0.00000000
-5.89794897,5.18700607,1.44981393,0.00000000,3.23791032,3.33658023,0.95456082,0.00000000
-5.89194597,5.37051005,1.50441468,0.00000000,3.38900844,3.44774649,0.97439931,0.00000000
-5.88594297,5.55897405,1.56008658,0.00000000,3.54358492,3.56237065,0.99533993,0.00000000
-5.87993997,5.75130217,1.61656803,0.00000000,3.70034762,3.67993281,1.01729683,0.00000000
-5.87393697,5.94614332,1.67352972,0.00000000,3.85781411,3.79975278,1.04012594,0.00000000
