energy_ev,total_up,Ag_p_up,Ag_d_up,Bi_p_up,Bi_d_up,Te_p_up,Te_d_up
-6.00000000,0.29054134,0.23226262,0.16892506,0.03837791,0.00073799,0.03907458,0.00000000
-5.99399700,0.30251333,0.25682782,0.17373009,0.04093857,0.00068109,0.04087679,0.00000000
-5.98799400,0.31991821,0.28656444,0.18146857,0.04441522,0.00063647,0.04354506,0.00000000
-5.98199100,0.34280099,0.32165468,0.19212820,0.04884692,0.00060404,0.04710172,0.00000000
-5.97598799,0.37114028,0.36221683,0.20565924,0.05426458,0.00058357,0.05155914,0.00000000
-5.96998499,0.40484032,0.40829157,0.22197139,0.06068900,0.00057468,0.05691779,0.00000000
-5.96398199,0.44372386,0.45982848,0.24093121,0.06812883,0.00057687,0.06316433,0.00000000
-5.95797899,0.48752599,0.51667355,0.26236018,0.07657853,0.00058948,0.07026981,0.00000000
-5.95197599,0.53588954,0.57855823,0.28603365,0.08601658,0.00061177,0.07818809,0.00000000
-5.94597299,0.58836234,0.64509088,0.31168076,0.09640385,0.00064286,0.08685459,0.00000000
-5.93996998,0.64439685,0.71575119,0.33898560,0.10768230,0.00068174,0.09618548,0.00000000
-5.93396698,0.70335244,0.78988843,0.36758964,0.11977420,0.00072734,0.10607742,0.00000000
-5.92796398,0.76450091,0.86672397,0.39709568,0.13258189,0.00077847,0.11640790,0.00000000
-5.92196098,0.82703512,0.94535859,0.42707331,0.14598810,0.00083387,0.12703641,0.00000000
-5.91595798,0.89008112,1.02478486,0.45706584,0.15985707,0.00089221,0.13780631,0.00000000
-5.90995498,0.95271358,1.10390454,0.48659872,0.17403634,0.00095213,0.14854751,0.00000000
-5.90395198,1.01397420,1.18155079,0.51518920,0.18835929,0.00101221,0.15907991,0.00000000
-5.89794897,1.07289281,1.25651474,0.54235706,0.20264832,0.00107107,0.16921753,0.00000000
-5.89194597,1.12851045,1.32757557,0.56763602,0.21671872,0.00112733,0.17877324,0.00000000
-5.88594297,1.17990372,1.39353319,0.59058548,0.23038297,0.00117968,0.18756381,0.00000000
-5.87993997,1.22620951,1.45324218,0.61080221,0.24345541,0.00122690,0.19541529,0.00000000
-5.87393697,1.26664922,1.50564589,0.62793148,0.25575720,0.00126787,0.20216834,0.00000000
-5.86793397,1.30055147,1.54980902,0.64167722,0.26712117,0.00130165,0.20768330,0.00000000
-5.86193097,1.32737236,1.58494749,0.65181080,0.27739666,0.00132746,0.21184490,0.00000000
-5.85592796,1.34671256,1.61045416,0.65817804,0.28645393,0.00134471,0.21456621,0.00000000
-5.84992496,1.35833034,1.62591937,0.66070417,0.29418818,0.00135306,0.21579182,0.00000000
-5.84392196,1.36215019,1.63114529,0.65939655,0.30052282,0.00135236,0.21549994,0.00000000
-5.83791896,1.35826665,1.62615346,0.65434505,0.30541214,0.00134273,0.21370347,0.00000000
-5.83191596,1.34694314,1.61118530,0.64572008,0.30884309,0.00132452,0.21044991,0.00000000
-5.82591296,1.32860613,1.58669551,0.63376838,0.31083612,0.00129831,0.20582010,0.00000000
-5.81990995,1.30383471,1.55333883,0.61880680,0.31144527,0.00126491,0.19992597,0.00000000
-5.81390695,1.27334628,1.51195071,0.60121434,0.31075725,0.00122532,0.19290730,0.00000000
-5.80790395,1.23797888,1.46352289,0.58142278,0.30888975,0.00118072,0.18492772,0.00000000
-5.80190095,1.19867090,1.40917502,0.55990639,0.30598893,0.00113244,0.17617016,0.00000000
-5.79589795,1.15643907,1.35012353,0.53717089,0.30222620,0.00108195,0.16683191,0.00000000
-5.78989495,1.11235542,1.28764909,0.51374235,0.29779440,0.00103078,0.15711956,0.00000000
-5.78389195,1.06752398,1.22306383,0.49015613,0.29290342,0.00098056,0.14724399,0.00000000
-5.77788894,1.02305796,1.15767979,0.46694635,0.28777546,0.00093293,0.13741569,0.00000000
-5.77188594,0.98005798,1.09277932,0.44463602,0.28263992,0.00088953,0.12784047,0.00000000
-5.76588294,0.93959173,1.02958853,0.42372805,0.27772810,0.00085200,0.11871570,0.00000000
-5.75987994,0.90267544,0.96925436,0.40469737,0.27326782,0.00082190,0.11022730,0.00000000
-5.75387694,0.87025742,0.91282569,0.38798392,0.26947806,0.00080077,0.10254727,0.00000000
-5.74787394,0.84320363,0.86123873,0.37398688,0.26656371,0.00079003,0.09583194,0.00000000
-5.74187094,0.82228536,0.81530662,0.36305971,0.26471061,0.00079102,0.09022090,0.00000000
-5.73586793,0.80816900,0.77571308,0.35550616,0.26408095,0.00080494,0.08583632,0.00000000
-5.72986493,0.80140764,0.74300974,0.35157708,0.26480915,0.00083289,0.08278281,0.00000000
-5.72386193,0.80243445,0.71761674,0.35146787,0.26699838,0.00087580,0.08114754,0.00000000
-5.71785893,0.81155775,0.69982602,0.35531649,0.27071774,0.00093445,0.08100051,0.00000000
-5.71185593,0.82895754,0.68980672,0.36320203,0.27600034,0.00100943,0.08239496,0.00000000
-5.70585293,0.85468347,0.68761212,0.37514365,0.28284212,0.00110115,0.08536762,0.00000000
-5.69984992,0.88865419,0.69318763,0.39110003,0.29120174,0.00120981,0.08993896,0.00000000
-5.69384692,0.93065799,0.70637920,0.41096921,0.30100132,0.00133535,0.09611309,0.00000000
-5.68784392,0.98035491,0.72694182,0.43458893,0.31212810,0.00147750,0.10387760,0.00000000
-5.68184092,1.03728008,0.75454770,0.46173754,0.32443708,0.00163568,0.11320309,0.00000000
-5.67583792,1.10084866,0.78879383,0.49213548,0.33775431,0.00180907,0.12404252,0.00000000
-5.66983492,1.17036209,0.82920878,0.52544760,0.35188096,0.00199652,0.13633048,0.00000000
-5.66383192,1.24501600,0.87525864,0.56128615,0.36659794,0.00219661,0.14998238,0.00000000
-5.65782891,1.32390958,0.92635209,0.59921476,0.38167079,0.00240759,0.16489369,0.00000000
-5.65182591,1.40605652,0.98184466,0.63875327,0.39685494,0.00262742,0.18093935,0.00000000
-5.64582291,1.49039743,1.04104250,0.67938356,0.41190092,0.00285379,0.19797351,0.00000000
-5.63981991,1.57581380,1.10320573,0.72055634,0.42655948,0.00308413,0.21582955,0.00000000
-5.63381691,1.66114317,1.16755181,0.76169879,0.44058652,0.00331562,0.23432067,0.00000000
-5.62781391,1.74519564,1.23325931,0.80222313,0.45374761,0.00354529,0.25324103,0.00000000
-5.62181091,1.82677142,1.29947241,0.84153578,0.46582206,0.00377002,0.27236755,0.00000000
-5.61580790,1.90467922,1.36530648,0.87904721,0.47660658,0.00398660,0.29146232,0.00000000
-5.60980490,1.97775526,1.42985528,0.91418209,0.48591832,0.00419184,0.31027580,0.00000000
-5.60380190,2.04488273,1.49219992,0.94638967,0.49359746,0.00438256,0.32855059,0.00000000
-5.59779890,2.10501120,1.55141977,0.97515409,0.49950931,0.00455577,0.34602587,0.00000000
-5.59179590,2.15717586,1.60660563,1.00000444,0.50354595,0.00470862,0.36244236,0.00000000
-5.58579290,2.20051611,1.65687477,1.02052425,0.50562744,0.00483858,0.37754769,0.00000000
-5.57978989,2.23429303,1.70138801,1.03636024,0.50570280,0.00494341,0.39110202,0.00000000
-5.57378689,2.25790544,1.73936814,1.04723001,0.50375054,0.00502131,0.40288378,0.00000000
-5.56778389,2.27090411,1.77011929,1.05292850,0.49977899,0.00507088,0.41269530,0.00000000
-5.56178089,2.27300340,1.79304661,1.05333300,0.49382633,0.00509122,0.42036818,0.00000000
-5.55577789,2.26409030,1.80767533,1.04840646,0.48596035,0.00508194,0.42576816,0.00000000
-5.54977489,2.24423012,1.81366842,1.03819912,0.47627787,0.00504316,0.42879928,0.00000000
-5.54377189,2.21366859,1.81084196,1.02284816,0.46490383,0.00497551,0.42940723,0.00000000
-5.53776888,2.17283014,1.79917721,1.00257547,0.45198994,0.00488013,0.42758162,0.00000000
-5.53176588,2.12231212,1.77882876,0.97768346,0.43771293,0.00475863,0.42335717,0.00000000
-5.52576288,2.06287486,1.75012801,0.94854904,0.42227221,0.00461305,0.41681363,0.00000000
-5.51975988,1.99542777,1.71358149,0.91561587,0.40588713,0.00444581,0.40807446,0.00000000
-5.51375688,1.92101163,1.66986387,0.87938498,0.38879358,0.00425965,0.39730422,0.00000000
-5.50775388,1.84077740,1.61980555,0.84040416,0.37124019,0.00405756,0.38470486,0.00000000
-5.50175088,1.75596230,1.56437524,0.79925633,0.35348398,0.00384272,0.37051086,0.00000000
-5.49574787,1.66786354,1.50465791,0.75654713,0.33578571,0.00361842,0.35498350,0.00000000
-5.48974487,1.57781077,1.44182902,0.71289233,0.31840495,0.00338798,0.33840448,0.00000000
-5.48374187,1.48713789,1.37712579,0.66890520,0.30159503,0.00315471,0.32106897,0.00000000
-5.47773887,1.39715529,1.31181684,0.62518432,0.28559802,0.00292183,0.30327852,0.00000000
-5.47173587,1.30912333,1.24717121,0.58230228,0.27063998,0.00269241,0.28533401,0.00000000
-5.46573287,1.22422798,1.18442797,0.54079540,0.25692657,0.00246935,0.26752886,0.00000000
-5.45972986,1.14355939,1.12476769,0.50115501,0.24463919,0.00225532,0.25014280,0.00000000
-5.45372686,1.06809407,1.06928673,0.46382023,0.23393191,0.00205274,0.23343639,0.00000000
-5.44772386,0.99868112,1.01897524,0.42917274,0.22492914,0.00186378,0.21764640,0.00000000
-5.44172086,0.93603297,0.97469962,0.39753328,0.21772430,0.00169033,0.20298225,0.00000000
-5.43571786,0.88072054,0.93718983,0.36916013,0.21237934,0.00153403,0.18962356,0.00000000
-5.42971486,0.83317298,0.90703176,0.34424946,0.20892540,0.00139626,0.17771874,0.00000000
-5.42371186,0.79368153,0.88466461,0.32293722,0.20736420,0.00127814,0.16738470,0.00000000
-5.41770885,0.76240715,0.87038306,0.30530261,0.20767037,0.00118060,0.15870755,0.00000000
-5.41170585,0.73939128,0.86434357,0.29137269,0.20979449,0.00110434,0.15174409,0.00000000
-5.40570285,0.72456894,0.86657423,0.28112789,0.21366664,0.00104992,0.14652408,0.00000000
-5.39969985,0.71778352,0.87698735,0.27450807,0.21920027,0.00101770,0.14305294,0.00000000
-5.39369685,0.71880219,0.89539385,0.27141882,0.22629634,0.00100793,0.14131478,0.00000000
-5.38769385,0.72733132,0.92151855,0.27173768,0.23484730,0.00102071,0.14127560,0.00000000
-5.38169085,0.74303095,0.95501545,0.27531993,0.24474088,0.00105607,0.14288631,0.00000000
-5.37568784,0.76552776,0.99548223,0.28200382,0.25586346,0.00111389,0.14608560,0.00000000
-5.36968484,0.79442592,1.04247331,0.29161489,0.26810286,0.00119397,0.15080239,0.00000000
-5.36368184,0.82931547,1.09551084,0.30396944,0.28135052,0.00129601,0.15695778,0.00000000
-5.35767884,0.86977801,1.15409340,0.31887688,0.29550287,0.00141960,0.16446647,0.00000000
-5.35167584,0.91538976,1.21770232,0.33614119,0.31046206,0.00156425,0.17323768,0.00000000
-5.34567284,0.96572213,1.28580548,0.35556145,0.32613595,0.00172934,0.18317543,0.00000000
-5.33966983,1.02034021,1.35785919,0.37693156,0.34243752,0.00191416,0.19417847,0.00000000
-5.33366683,1.07879967,1.43330831,0.40003954,0.35928382,0.00211789,0.20613982,0.00000000
-5.32766383,1.14064275,1.51158525,0.42466645,0.37659457,0.00233964,0.21894612,0.00000000
-5.32166083,1.20539401,1.59210865,0.45058529,0.39429072,0.00257840,0.23247689,0.00000000
-5.31565783,1.27255668,1.67428218,0.47756021,0.41229292,0.00283313,0.24660401,0.00000000
