energy_ev,total_up,C_s_up,C_p_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,6.47181721,0.01090808,0.87681455,3.37286571,3.00021014,1.83288440,0.00000000,0.28202847,0.22257956
-5.99399700,6.61917073,0.01069587,0.89809181,3.50584825,3.05119439,1.87669193,0.00000000,0.29332707,0.22598752
-5.98799400,6.75454254,0.01054405,0.91758153,3.62545705,3.09936549,1.91816555,0.00000000,0.30404836,0.22866780
-5.98199100,6.87519311,0.01045678,0.93488081,3.72962573,3.14359978,1.95661824,0.00000000,0.31413386,0.23050997
-5.97598799,6.97869904,0.01043807,0.94962973,3.81666882,3.18285474,1.99143072,0.00000000,0.32355708,0.23142115
-5.96998499,7.06303560,0.01049191,0.96152182,3.88533061,3.21620471,2.02207474,0.00000000,0.33232481,0.23132931
-5.96398199,7.12664433,0.01062235,0.97031308,3.93482012,3.24287191,2.04813226,0.00000000,0.34047663,0.23018590
-5.95797899,7.16848217,0.01083366,0.97582893,3.96483022,3.26225088,2.06930948,0.00000000,0.34808275,0.22796762
-5.95197599,7.18804902,0.01113032,0.97796874,3.97553928,3.27392502,2.08544495,0.00000000,0.35523999,0.22467723
-5.94597299,7.18539227,0.01151712,0.97670761,3.96759516,3.27767435,2.09651120,0.00000000,0.36206635,0.22034344
-5.93996998,7.16108796,0.01199908,0.97209529,3.94208195,3.27347410,2.10260978,0.00000000,0.36869402,0.21501974
-5.93396698,7.11619950,0.01258143,0.96425228,3.90047092,3.26148430,2.10396031,0.00000000,0.37526158,0.20878240
-5.92796398,7.05221647,0.01326947,0.95336325,3.84455815,3.24203118,2.10088376,0.00000000,0.38190545,0.20172755
-5.92196098,6.97097668,0.01406831,0.93966822,3.77639170,3.21558143,2.09378147,0.00000000,0.38875136,0.19396766
-5.91595798,6.87457611,0.01498270,0.92345193,3.69819218,3.18271102,2.08311080,0.00000000,0.39590609,0.18562753
-5.90995498,6.76527149,0.01601665,0.90503194,3.61227041,3.14407048,2.06935904,0.00000000,0.40345016,0.17683990
-5.90395198,6.64538088,0.01717308,0.88474618,3.52094628,3.10034860,2.05301713,0.00000000,0.41143177,0.16774103
-5.89794897,6.51718760,0.01845341,0.86294046,3.42647248,3.05223678,2.03455457,0.00000000,0.41986250,0.15846636
-5.89194597,6.38285225,0.01985718,0.83995668,3.33096659,3.00039606,2.01439710,0.00000000,0.42871489,0.14914641
-5.88594297,6.24433728,0.02138160,0.81612226,3.23635411,2.94542848,1.99290824,0.00000000,0.43792226,0.13990320
-5.87993997,6.10334740,0.02302122,0.79174117,3.14432448,2.88785439,1.97037562,0.00000000,0.44738057,0.13084718
-5.87393697,5.96128817,0.02476759,0.76708699,3.05630123,2.82809679,1.94700279,0.00000000,0.45695245,0.12207484
-5.86793397,5.81924398,0.02660905,0.74239818,2.97342633,2.76647315,1.92290672,0.00000000,0.46647300,0.11366707
-5.86193097,5.67797534,0.02853067,0.71787552,2.89655830,2.70319497,1.89812072,0.00000000,0.47575707,0.10568819
-5.85592796,5.53793429,0.03051424,0.69368182,2.82628252,2.63837461,1.87260266,0.00000000,0.48460764,0.09818576
-5.84992496,5.39929576,0.03253847,0.66994352,2.76293174,2.57203866,1.84624729,0.00000000,0.49282466,0.09119098
-5.84392196,5.26200191,0.03457943,0.64675393,2.70661449,2.50414651,1.81890203,0.00000000,0.50021402,0.08471970
-5.83791896,5.12581568,0.03661102,0.62417783,2.65724852,2.43461286,1.79038479,0.00000000,0.50659590,0.07877388
-5.83191596,4.99037984,0.03860571,0.60225680,2.61459668,2.36333231,1.76050269,0.00000000,0.51181228,0.07334339
-5.82591296,4.85527733,0.04053541,0.58101504,2.57830268,2.29020444,1.72907046,0.00000000,0.51573292,0.06840806
-5.81990995,4.72008931,0.04237245,0.56046513,2.54792448,2.21515773,1.69592720,0.00000000,0.51825977,0.06393985
-5.81390695,4.58444734,0.04409061,0.54061341,2.52296370,2.13817070,1.66095074,0.00000000,0.51932942,0.05990499
-5.80790395,4.44807725,0.04566625,0.52146472,2.50288978,2.05928922,1.62406867,0.00000000,0.51891368,0.05626610
-5.80190095,4.31083245,0.04707936,0.50302611,2.48715839,1.97863888,1.58526563,0.00000000,0.51701825,0.05298404
-5.79589795,4.17271570,0.04831454,0.48530961,2.47522402,1.89643194,1.54458660,0.00000000,0.51367971,0.05001962
-5.78989495,4.03388906,0.04936193,0.46833386,2.46654741,1.81296862,1.50213635,0.00000000,0.50896116,0.04733501
-5.78389195,3.89467232,0.05021782,0.45212468,2.46059853,1.72863301,1.45807526,0.00000000,0.50294685,0.04489481
-5.77788894,3.75553129,0.05088511,0.43671472,2.45685664,1.64388397,1.41261219,0.00000000,0.49573616,0.04266691
-5.77188594,3.61705751,0.05137347,0.42214234,2.45480848,1.55924191,1.36599496,0.00000000,0.48743748,0.04062296
-5.76588294,3.47994151,0.05169920,0.40844994,2.45394617,1.47527241,1.31849941,0.00000000,0.47816234,0.03873870
-5.75987994,3.34494193,0.05188478,0.39568194,2.45376596,1.39256781,1.27041773,0.00000000,0.46802008,0.03699390
-5.75387694,3.21285280,0.05195805,0.38388266,2.45376882,1.31172788,1.22204699,0.00000000,0.45711362,0.03537226
-5.74787394,3.08447113,0.05195125,0.37309430,2.45346362,1.23334089,1.17367845,0.00000000,0.44553620,0.03386107
-5.74187094,2.96056685,0.05189958,0.36335521,2.45237298,1.15796586,1.12558843,0.00000000,0.43336952,0.03245074
-5.73586793,2.84185647,0.05183979,0.35469850,2.45004201,1.08611705,1.07803094,0.00000000,0.42068304,0.03113436
-5.72986493,2.72898189,0.05180846,0.34715120,2.44604926,1.01825137,1.03123253,0.00000000,0.40753455,0.02990710
-5.72386193,2.62249477,0.05184032,0.34073395,2.44001940,0.95475905,0.98538927,0.00000000,0.39397175,0.02876573
-5.71785893,2.52284703,0.05196654,0.33546119,2.43163650,0.89595790,0.94066591,0.00000000,0.38003457,0.02770807
-5.71185593,2.43038716,0.05221314,0.33134187,2.42065722,0.84209113,0.89719687,0.00000000,0.36575812,0.02673253
-5.70585293,2.34536204,0.05259957,0.32838058,2.40692258,0.79332863,0.85508885,0.00000000,0.35117577,0.02583774
-5.69984992,2.26792352,0.05313757,0.32657895,2.39036764,0.74977118,0.81442461,0.00000000,0.33632226,0.02502220
-5.69384692,2.19813896,0.05383035,0.32593734,2.37102825,0.71145728,0.77526758,0.00000000,0.32123646,0.02428406
