energy_ev,total_up,Hf_p_up,Hf_d_up,In_p_up,In_d_up,Se_s_up,Se_p_up
-6.00000000,2.47626089,1.48573906,1.18349780,0.13965422,0.00448172,0.00501139,1.84144302
-5.99399700,2.56987435,1.55489857,1.23701277,0.13860337,0.00469933,0.00533132,1.90928351
-5.98799400,2.67191929,1.63065530,1.29327593,0.13825008,0.00494430,0.00566040,1.98355745
-5.98199100,2.78115438,1.71221116,1.35177855,0.13849942,0.00521421,0.00599461,2.06345436
-5.97598799,2.89631087,1.79872791,1.41201166,0.13925081,0.00550642,0.00632994,2.14814056
-5.96998499,3.01611068,1.88933975,1.47346977,0.14040059,0.00581817,0.00666258,2.23676736
-5.96398199,3.13928189,1.98316547,1.53565335,0.14184447,0.00614658,0.00698899,2.32847729
-5.95797899,3.26457178,2.07931971,1.59807010,0.14347964,0.00648870,0.00730605,2.42240862
-5.95197599,3.39075746,2.17692345,1.66023540,0.14520669,0.00684159,0.00761113,2.51769868
-5.94597299,3.51665463,2.27511362,1.72167232,0.14693115,0.00720233,0.00790220,2.61348643
-5.93996998,3.64112483,2.37305201,1.78191161,0.14856487,0.00756804,0.00817780,2.70891507
-5.93396698,3.76308180,2.46993341,1.84049203,0.15002707,0.00793596,0.00843714,2.80313513
-5.92796398,3.88149742,2.56499325,1.89696142,0.15124521,0.00830341,0.00868000,2.89530866
-5.92196098,3.99540769,2.65751462,1.95087868,0.15215560,0.00866786,0.00890674,2.98461491
-5.91595798,4.10391901,2.74683484,2.00181701,0.15270390,0.00902695,0.00911820,3.07025761
-5.90995498,4.20621491,2.83235159,2.04936821,0.15284544,0.00937847,0.00931561,3.15147399
-5.90395198,4.30156327,2.91352840,2.09314818,0.15254542,0.00972038,0.00950045,3.22754523
-5.89794897,4.38932364,2.98989943,2.13280315,0.15177893,0.01005086,0.00967436,3.29780794
-5.89194597,4.46895442,3.06107345,2.16801656,0.15053096,0.01036824,0.00983900,3.36166614
-5.88594297,4.54001934,3.12673668,2.19851592,0.14879617,0.01067108,0.00999591,3.41860297
-5.87993997,4.60219270,3.18665428,2.22407943,0.14657865,0.01095810,0.01014642,3.46819142
-5.87393697,4.65526278,3.24067040,2.24454165,0.14389149,0.01122821,0.01029152,3.51010322
-5.86793397,4.69913296,3.28870654,2.25979796,0.14075624,0.01148050,0.01043180,3.54411531
-5.86193097,4.73382016,3.33075816,2.26980738,0.13720225,0.01171422,0.01056743,3.57011332
-5.85592796,4.75945046,3.36688959,2.27459343,0.13326587,0.01192878,0.01069806,3.58809166
-5.84992496,4.77625183,3.39722739,2.27424304,0.12898956,0.01212370,0.01082290,3.59815007
-5.84392196,4.78454431,3.42195249,2.26890337,0.12442084,0.01229866,0.01094069,3.60048689
-5.83791896,4.78472806,3.44129137,2.25877684,0.11961124,0.01245343,0.01104978,3.59538930
-5.83191596,4.77727003,3.45550693,2.24411458,0.11461507,0.01258788,0.01114823,3.58322109
-5.82591296,4.76268988,3.46488953,2.22520870,0.10948831,0.01270200,0.01123383,3.56440883
-5.81990995,4.74154620,3.46974883,2.20238391,0.10428738,0.01279587,0.01130427,3.53942721
-5.81390695,4.71442377,3.47040686,2.17598897,0.09906803,0.01286967,0.01135722,3.50878445
-5.80790395,4.68192261,3.46719295,2.14638839,0.09388422,0.01292372,0.01139040,3.47300868
-5.80190095,4.64464949,3.46044078,2.11395498,0.08878720,0.01295846,0.01140178,3.43263599
-5.79589795,4.60321210,3.45048752,2.07906343,0.08382463,0.01297450,0.01138956,3.38820065
-5.78989495,4.55821604,3.43767526,2.04208523,0.07903987,0.01297262,0.01135235,3.34022796
-5.78389195,4.51026426,3.42235414,2.00338499,0.07447146,0.01295383,0.01128916,3.28922961
-5.77788894,4.45995847,3.40488679,1.96331810,0.07015268,0.01291935,0.01119952,3.23570147
-5.77188594,4.40790160,3.38565324,1.92222947,0.06611131,0.01287066,0.01108345,3.18012335
-5.76588294,4.35470041,3.36505549,1.88045312,0.06236956,0.01280951,0.01094150,3.12296001
-5.75987994,4.30096702,3.34352073,1.83831215,0.05894401,0.01273787,0.01077476,3.06466270
-5.75387694,4.24731831,3.32150224,1.79611866,0.05584578,0.01265797,0.01058481,3.00567044
-5.74787394,4.19437232,3.29947727,1.75417322,0.05308072,0.01257223,0.01037367,2.94641013
-5.74187094,4.14274079,3.27794112,1.71276350,0.05064964,0.01248320,0.01014380,2.88729493
-5.73586793,4.09301752,3.25739718,1.67216182,0.04854862,0.01239354,0.00989794,2.82872036
-5.72986493,4.04576272,3.23834288,1.63262146,0.04676932,0.01230585,0.00963915,2.77105795
-5.72386193,4.00148357,3.22125198,1.59437178,0.04529935,0.01222268,0.00937065,2.71464647
-5.71785893,3.96061216,3.20655392,1.55761229,0.04412254,0.01214633,0.00909574,2.65978113
-5.71185593,3.92348205,3.19461137,1.52250616,0.04321937,0.01207881,0.00881779,2.60670147
-5.70585293,3.89030499,3.18569735,1.48917341,0.04256725,0.01202172,0.00854006,2.55557871
-5.69984992,3.86114979,3.17997355,1.45768459,0.04214094,0.01197614,0.00826574,2.50650379
-5.69384692,3.83592503,3.17747146,1.42805541,0.04191292,0.01194260,0.00799781,2.45947716
-5.68784392,3.81436757,3.17807798,1.40024294,0.04185382,0.01192101,0.00773904,2.41440137
-5.68184092,3.79603808,3.18152681,1.37414399,0.04193287,0.01191062,0.00749193,2.37107764
-5.67583792,3.78032495,3.18739681,1.34959593,0.04211846,0.01191005,0.00725869,2.32920708
-5.66983492,3.76645694,3.19511795,1.32638041,0.04237862,0.01191735,0.00704126,2.28839702
-5.66383192,3.75352465,3.20398499,1.30422984,0.04268163,0.01193002,0.00684126,2.24817268
-5.65782891,3.74051018,3.21317866,1.28283659,0.04299665,0.01194515,0.00666003,2.20799382
-5.65182591,3.72632358,3.22179330,1.26186457,0.04329430,0.01195950,0.00649864,2.16727596
-5.64582291,3.70984464,3.22886980,1.24096258,0.04354731,0.01196967,0.00635790,2.12541489
-5.63981991,3.68996750,3.23343196,1.21977889,0.04373104,0.01197224,0.00623837,2.08181362
-5.63381691,3.66564604,3.23452442,1.19797616,0.04382402,0.01196389,0.00614036,2.03591003
-5.62781391,3.63593717,3.23124996,1.17524586,0.04380834,0.01194155,0.00606396,1.98720387
-5.62181091,3.60003998,3.22280421,1.15132161,0.04367002,0.01190252,0.00600902,1.93528164
-5.61580790,3.55732830,3.20850576,1.12599037,0.04339913,0.01184457,0.00597511,1.87983783
-5.60980490,3.50737516,3.18782016,1.09910124,0.04298990,0.01176600,0.00596157,1.82069153
-5.60380190,3.44996783,3.16037667,1.07057114,0.04244060,0.01166570,0.00596742,1.75779733
-5.59779890,3.38511288,3.12597708,1.04038730,0.04175331,0.01154316,0.00599135,1.69125027
-5.59179590,3.31303133,3.08459635,1.00860644,0.04093363,0.01139843,0.00603172,1.62128438
-5.58579290,3.23414437,3.03637571,0.97535084,0.03999014,0.01123210,0.00608649,1.54826521
-5.57978989,3.14905106,2.98160872,0.94080159,0.03893391,0.01104521,0.00615325,1.47267680
