energy_ev,total_up,Ga_p_up,Ga_d_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,1.56002315,0.08398356,0.00000000,0.78647629,0.00000000,1.07696228,0.41705630
-5.99399700,1.58475854,0.08797389,0.00000000,0.80234353,0.00000000,1.08475293,0.42509459
-5.98799400,1.60821123,0.09243613,0.00000000,0.81738187,0.00000000,1.08984572,0.43293874
-5.98199100,1.63031284,0.09736400,0.00000000,0.83148812,0.00000000,1.09222218,0.44057823
-5.97598799,1.65112253,0.10275062,0.00000000,0.84463678,0.00000000,1.09196658,0.44803680
-5.96998499,1.67081258,0.10858715,0.00000000,0.85687496,0.00000000,1.08925777,0.45536830
-5.96398199,1.68964801,0.11486110,0.00000000,0.86831341,0.00000000,1.08435713,0.46265082
-5.95797899,1.70796162,0.12155464,0.00000000,0.87911436,0.00000000,1.07759341,0.46997959
-5.95197599,1.72612592,0.12864277,0.00000000,0.88947702,0.00000000,1.06934544,0.47745902
-5.94597299,1.74452369,0.13609174,0.00000000,0.89962145,0.00000000,1.06002347,0.48519430
-5.93996998,1.76351878,0.14385765,0.00000000,0.90977185,0.00000000,1.05005024,0.49328318
-5.93396698,1.78342866,0.15188554,0.00000000,0.92014022,0.00000000,1.03984247,0.50180811
-5.92796398,1.80450027,0.16010887,0.00000000,0.93091112,0.00000000,1.02979369,0.51082946
-5.92196098,1.82689019,0.16844959,0.00000000,0.94222849,0.00000000,1.02025906,0.52037988
-5.91595798,1.85065001,0.17681889,0.00000000,0.95418494,0.00000000,1.01154248,0.53046015
-5.90995498,1.87571742,0.18511841,0.00000000,0.96681416,0.00000000,1.00388665,0.54103671
-5.90395198,1.90191320,0.19324216,0.00000000,0.98008652,0.00000000,0.99746591,0.55204086
-5.89794897,1.92894389,0.20107884,0.00000000,0.99390798,0.00000000,0.99238215,0.56336956
-5.89194597,1.95640978,0.20851461,0.00000000,1.00812225,0.00000000,0.98866352,0.57488781
-5.88594297,1.98381744,0.21543614,0.00000000,1.02251574,0.00000000,0.98626589,0.58643230
-5.87993997,2.01059597,0.22173377,0.00000000,1.03682508,0.00000000,0.98507655,0.59781615
-5.87393697,2.03611601,0.22730468,0.00000000,1.05074652,0.00000000,0.98492006,0.60883444
-5.86793397,2.05971051,0.23205585,0.00000000,1.06394676,0.00000000,0.98556582,0.61927029
-5.86193097,2.08069620,0.23590682,0.00000000,1.07607461,0.00000000,0.98673689,0.62890111
-5.85592796,2.09839507,0.23879191,0.00000000,1.08677289,0.00000000,0.98811995,0.63750487
-5.84992496,2.11215485,0.24066205,0.00000000,1.09569024,0.00000000,0.98937593,0.64486613
-5.84392196,2.12136806,0.24148592,0.00000000,1.10249222,0.00000000,0.99015111,0.65078166
-5.83791896,2.12548911,0.24125057,0.00000000,1.10687149,0.00000000,0.99008842,0.65506554
-5.83191596,2.12404914,0.23996141,0.00000000,1.10855691,0.00000000,0.98883871,0.65755364
-5.82591296,2.11666835,0.23764163,0.00000000,1.10732126,0.00000000,0.98607174,0.65810745
-5.81990995,2.10306597,0.23433108,0.00000000,1.10298759,0.00000000,0.98148672,0.65661720
-5.81390695,2.08306757,0.23008480,0.00000000,1.09543422,0.00000000,0.97482211,0.65300441
-5.80790395,2.05661001,0.22497110,0.00000000,1.08459827,0.00000000,0.96586452,0.64722369
