energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,3.32892544,0.00645965,0.35966877,0.63138560,0.65763150,2.29025906,1.20316409,0.01797339,1.06985374
-5.99399700,3.34654311,0.00674000,0.35415032,0.64587413,0.67038406,2.29218379,1.19457863,0.01861587,1.09026579
-5.98799400,3.37058776,0.00704826,0.34925576,0.66197818,0.68466477,2.29917164,1.18804564,0.01927850,1.11289796
-5.98199100,3.40060424,0.00737656,0.34502267,0.67944234,0.70022455,2.31144053,1.18364680,0.01994943,1.13736458
-5.97598799,3.43598386,0.00771677,0.34147919,0.69797518,0.71676950,2.32912973,1.18141576,0.02061622,1.16322203
-5.96998499,3.47596857,0.00806062,0.33864141,0.71725425,0.73396736,2.35228055,1.18133274,0.02126610,1.18997785
-5.96398199,3.51966088,0.00839986,0.33651121,0.73693238,0.75145554,2.38081997,1.18332089,0.02188612,1.21710176
-5.95797899,3.56603941,0.00872650,0.33507473,0.75664494,0.76885045,2.41454845,1.18724483,0.02246344,1.24403841
-5.95197599,3.61398016,0.00903288,0.33430169,0.77601812,0.78575787,2.45313244,1.19291155,0.02298563,1.27022122
-5.94597299,3.66228270,0.00931194,0.33414538,0.79467784,0.80178396,2.49610261,1.20007384,0.02344094,1.29508716
-5.93996998,3.70970077,0.00955732,0.33454370,0.81225909,0.81654649,2.54285769,1.20843609,0.02381866,1.31809168
-5.93396698,3.75497613,0.00976352,0.33542088,0.82841546,0.82968594,2.59267438,1.21766261,0.02410939,1.33872344
-5.92796398,3.79687455,0.00992600,0.33669004,0.84282830,0.84087582,2.64472285,1.22738786,0.02430533,1.35651825
-5.92196098,3.83422266,0.01004132,0.33825644,0.85521553,0.84983220,2.69808750,1.23722866,0.02440053,1.37107166
-5.91595798,3.86594417,0.01010713,0.34002114,0.86533938,0.85632161,2.75179225,1.24679757,0.02439113,1.38204983
-5.90995498,3.89109431,0.01012226,0.34188514,0.87301317,0.86016750,2.80482951,1.25571719,0.02427543,1.38919830
-5.90395198,3.90889104,0.01008664,0.34375364,0.87810655,0.86125463,2.85619171,1.26363471,0.02405404,1.39234842
-5.89794897,3.91874206,0.01000134,0.34554030,0.88054927,0.85953160,2.90490432,1.27023623,0.02372984,1.39142119
-5.89194597,3.92026659,0.00986840,0.34717124,0.88033326,0.85501126,2.95005905,1.27526021,0.02330793,1.38642861
-5.88594297,3.91331132,0.00969081,0.34858880,0.87751291,0.84776918,2.99084613,1.27850950,0.02279547,1.37747255
-5.87993997,3.89795986,0.00947234,0.34975465,0.87220382,0.83794032,3.02658422,1.27986158,0.02220151,1.36474132
-5.87393697,3.87453569,0.00921744,0.35065226,0.86457980,0.82571408,3.05674697,1.27927640,0.02153670,1.34850415
-5.86793397,3.84359834,0.00893104,0.35128861,0.85486855,0.81132806,3.08098516,1.27680159,0.02081299,1.32910399
-5.86193097,3.80593310,0.00861844,0.35169503,0.84334598,0.79506073,3.09914332,1.27257478,0.02004330,1.30694883
-5.85592796,3.76253457,0.00828515,0.35192711,0.83032955,0.77722348,3.11127026,1.26682271,0.01924117,1.28250201
-5.84992496,3.71458452,0.00793674,0.35206374,0.81617079,0.75815229,3.11762278,1.25985723,0.01842037,1.25627175
-5.84392196,3.66342453,0.00757871,0.35220516,0.80124716,0.73819927,3.11866227,1.25206816,0.01759458,1.22880024
-5.83791896,3.61052426,0.00721641,0.35247020,0.78595359,0.71772444,3.11504400,1.24391312,0.01677706,1.20065256
-5.83191596,3.55744587,0.00685487,0.35299267,0.77069381,0.69708790,3.10759924,1.23590455,0.01598031,1.17240550
-5.82591296,3.50580554,0.00649879,0.35391709,0.75587162,0.67664256,3.09731050,1.22859437,0.01521587,1.14463664
-5.81990995,3.45723272,0.00615243,0.35539377,0.74188234,0.65672755,3.08528047,1.22255658,0.01449407,1.11791362
-5.81390695,3.41332819,0.00581956,0.35757349,0.72910445,0.63766251,3.07269559,1.21836832,0.01382386,1.09278372
-5.80790395,3.37562172,0.00550346,0.36060178,0.71789163,0.61974258,3.06078517,1.21659008,0.01321269,1.06976396
-5.80190095,3.34553033,0.00520687,0.36461316,0.70856523,0.60323427,3.05077745,1.21774549,0.01266646,1.04933155
-5.79589795,3.32431827,0.00493197,0.36972534,0.70140730,0.58837226,3.04385398,1.22230160,0.01218945,1.03191509
-5.78989495,3.31305980,0.00468043,0.37603368,0.69665426,0.57535688,3.04110386,1.23065012,0.01178438,1.01788631
-5.78389195,3.31260579,0.00445334,0.38360606,0.69449138,0.56435260,3.04347961,1.24309044,0.01145239,1.00755281
-5.77788894,3.32355547,0.00425131,0.39247831,0.69504810,0.55548716,3.05175621,1.25981510,0.01119318,1.00115185
-5.77188594,3.34623426,0.00407444,0.40265049,0.69839445,0.54885169,3.06649508,1.28089827,0.01100508,0.99884536
-5.76588294,3.38067883,0.00392236,0.41408407,0.70453856,0.54450156,3.08801443,1.30628776,0.01088520,1.00071658
-5.75987994,3.42663018,0.00379426,0.42670028,0.71342560,0.54245811,3.11636730,1.33580112,0.01082955,1.00676844
-5.75387694,3.48353555,0.00368896,0.44037960,0.72493803,0.54271120,3.15132856,1.36912606,0.01083320,1.01692386
-5.74787394,3.55055940,0.00360490,0.45496265,0.73889753,0.54522254,3.19239143,1.40582528,0.01089049,1.03102831
-5.74187094,3.62660374,0.00354026,0.47025242,0.75506851,0.54992981,3.23877411,1.44534584,0.01099517,1.04885452
-5.73586793,3.71033742,0.00349299,0.48601785,0.77316321,0.55675145,3.28943655,1.48703285,0.01114061,1.07010948
-5.72986493,3.80023383,0.00346083,0.50199870,0.79284848,0.56559194,3.34310687,1.53014702,0.01131998,1.09444356
-5.72386193,3.89461586,0.00344147,0.51791168,0.81375400,0.57634754,3.39831686,1.57388564,0.01152646,1.12146152
-5.71785893,3.99170669,0.00343255,0.53345756,0.83548179,0.58891214,3.45344519,1.61740621,0.01175338,1.15073514
-5.71185593,4.08968472,0.00343174,0.54832908,0.85761677,0.60318297,3.50676693,1.65985193,0.01199444,1.18181686
-5.70585293,4.18674031,0.00343683,0.56221946,0.87973800,0.61906610,3.55650749,1.70037799,0.01224383,1.21425410
-5.69984992,4.28113233,0.00344579,0.57483112,0.90143027,0.63648101,3.60089908,1.73817773,0.01249639,1.24760345
-5.69384692,4.37124186,0.00345682,0.58588432,0.92229554,0.65536444,3.63823728,1.77250758,0.01274772,1.28144411
-5.68784392,4.45562093,0.00346842,0.59512538,0.94196381,0.67567272,3.66693581,1.80270972,0.01299422,1.31539001
-5.68184092,4.53303382,0.00347940,0.60233423,0.96010301,0.69738271,3.68557714,1.82823156,0.01323318,1.34909989
-5.67583792,4.60248921,0.00348892,0.60733078,0.97642740,0.72049099,3.69295709,1.84864117,0.01346275,1.38228479
-5.66983492,4.66326150,0.00349654,0.60998005,0.99070425,0.74501113,3.68812166,1.86363807,0.01368189,1.41471258
-5.66383192,4.71490031,0.00350216,0.61019578,1.00275830,0.77096910,3.67039478,1.87305887,0.01389031,1.44620920
-5.65782891,4.75722769,0.00350605,0.60794225,1.01247406,0.79839696,3.63939588,1.87687760,0.01408834,1.47665650
-5.65182591,4.79032317,0.00350878,0.60323447,1.01979555,0.82732482,3.59504698,1.87520080,0.01427677,1.50598680
-5.64582291,4.81449748,0.00351123,0.59613651,1.02472383,0.85777161,3.53756899,1.86825765,0.01445665,1.53417434
-5.63981991,4.83025636,0.00351449,0.58675822,1.02731222,0.88973489,3.46746790,1.85638561,0.01462913,1.56122428
-5.63381691,4.83825633,0.00351984,0.57525043,1.02765958,0.92318041,3.38551150,1.84001253,0.01479519,1.58715970
-5.62781391,4.83925494,0.00352863,0.56179891,1.02590200,0.95803179,3.29269801,1.81963592,0.01495548,1.61200742
-5.62181091,4.83405820,0.00354226,0.54661736,1.02220340,0.99416123,3.19021822,1.79580064,0.01511014,1.63578367
-5.61580790,4.82346808,0.00356209,0.52993975,1.01674539,1.03138160,3.07941284,1.76907596,0.01525859,1.65848025
-5.60980490,4.80823307,0.00358933,0.51201241,1.00971717,1.06944083,2.96172710,1.74003321,0.01539947,1.68005239
-5.60380190,4.78900442,0.00362506,0.49308620,1.00130576,1.10801892,2.83866465,1.70922513,0.01553053,1.70040896
-5.59779890,4.76630072,0.00367010,0.47340913,0.99168730,1.14672823,2.71174252,1.67716766,0.01564864,1.71940587
-5.59179590,4.74048255,0.00372496,0.45321965,0.98101967,1.18511724,2.58244916,1.64432515,0.01574985,1.73684320
-5.58579290,4.71173871,0.00378987,0.43274105,0.96943693,1.22267791,2.45220692,1.61109949,0.01582947,1.75246644
-5.57978989,4.68008463,0.00386469,0.41217689,0.95704574,1.25885676,2.32234030,1.57782342,0.01588222,1.76597188
-5.57378689,4.64537306,0.00394889,0.39170788,0.94392399,1.29306921,2.19405079,1.54475811,0.01590251,1.77701620
-5.56778389,4.60731603,0.00404161,0.37149002,0.93012145,1.32471688,2.06839895,1.51209502,0.01588460,1.78522961
-5.56178089,4.56551692,0.00414161,0.35165409,0.91566256,1.35320709,1.94629362,1.47996132,0.01582295,1.79023223
-5.55577789,4.51951040,0.00424731,0.33230634,0.90055087,1.37797384,1.82848819,1.44842865,0.01571242,1.79165255
-5.54977489,4.46880795,0.00435683,0.31353032,0.88477499,1.39849929,1.71558340,1.41752421,0.01554863,1.78914725
-5.54377189,4.41294595,0.00446802,0.29538946,0.86831542,1.41433465,1.60803564,1.38724346,0.01532814,1.78242114
-5.53776888,4.35153367,0.00457852,0.27793044,0.85115196,1.42511956,1.50616988,1.35756366,0.01504873,1.77124613
-5.53176588,4.28429809,0.00468580,0.26118682,0.83327110,1.43059885,1.41019607,1.32845720,0.01470952,1.75547814
-5.52576288,4.21112301,0.00478725,0.24518299,0.81467293,1.43063575,1.32022770,1.29990412,0.01431110,1.73507087
-5.51975988,4.13208020,0.00488022,0.22993792,0.79537710,1.42522091,1.23630143,1.27190299,0.01385561,1.71008575
-5.51375688,4.04745076,0.00496209,0.21546876,0.77542760,1.41447641,1.15839667,1.24447981,0.01334668,1.68069716
-5.50775388,3.95773561,0.00503036,0.20179403,0.75489578,1.39865470,1.08645414,1.21769435,0.01278938,1.64719278
-5.50175088,3.86365452,0.00508270,0.18893624,0.73388176,1.37813218,1.02039266,1.19164398,0.01219007,1.60996884
-5.49574787,3.76613394,0.00511702,0.17692402,0.71251391,1.35339774,0.96012366,1.16646473,0.01155625,1.56952036
-5.48974487,3.66628443,0.00513152,0.16579355,0.69094656,1.32503656,0.90556291,1.14233002,0.01089630,1.52642689
