energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,S_s_up,S_s_down,S_p_up,S_p_down,V_p_up,V_p_down,V_d_up,V_d_down
-6.00000000,1.35410848,-1.35410849,0.03950161,-0.03950161,0.06681624,-0.06681624,0.19727994,-0.19727993,0.19006914,-0.19006914,0.02624322,-0.02624322,0.71478585,-0.71478585,0.30724338,-0.30724338,0.11650875,-0.11650875
-5.99399700,1.33215251,-1.33215252,0.03810994,-0.03810994,0.06489741,-0.06489741,0.19747557,-0.19747557,0.18589270,-0.18589270,0.02531998,-0.02531998,0.70586697,-0.70586697,0.30847778,-0.30847778,0.11291849,-0.11291850
-5.98799400,1.30470758,-1.30470759,0.03654934,-0.03654934,0.06265300,-0.06265300,0.19697622,-0.19697622,0.18085696,-0.18085696,0.02429123,-0.02429123,0.69415459,-0.69415459,0.30845600,-0.30845600,0.10894188,-0.10894188
-5.98199100,1.27238966,-1.27238967,0.03484104,-0.03484104,0.06013032,-0.06013032,0.19584008,-0.19584007,0.17508455,-0.17508455,0.02317230,-0.02317230,0.67993105,-0.67993105,0.30718032,-0.30718032,0.10465834,-0.10465835
-5.97598799,1.23594807,-1.23594807,0.03300948,-0.03300948,0.05738181,-0.05738181,0.19415209,-0.19415208,0.16871378,-0.16871378,0.02198019,-0.02198019,0.66355375,-0.66355376,0.30469558,-0.30469558,0.10015686,-0.10015686
-5.96998499,1.19624550,-1.19624550,0.03108146,-0.03108147,0.05446355,-0.05446355,0.19202263,-0.19202263,0.16189477,-0.16189477,0.02073310,-0.02073310,0.64544620,-0.64544620,0.30108876,-0.30108876,0.09553350,-0.09553350
-5.96398199,1.15423509,-1.15423510,0.02908525,-0.02908525,0.05143362,-0.05143362,0.18958540,-0.18958539,0.15478512,-0.15478512,0.01944985,-0.01944985,0.62608715,-0.62608715,0.29648716,-0.29648716,0.09088886,-0.09088886
-5.95797899,1.11093531,-1.11093532,0.02704968,-0.02704968,0.04835053,-0.04835053,0.18699445,-0.18699445,0.14754570,-0.14754570,0.01814941,-0.01814941,0.60599827,-0.60599828,0.29105516,-0.29105517,0.08632554,-0.08632554
-5.95197599,1.06740372,-1.06740373,0.02500339,-0.02500339,0.04527170,-0.04527171,0.18442063,-0.18442063,0.14033636,-0.14033636,0.01685046,-0.01685046,0.58573083,-0.58573083,0.28498988,-0.28498988,0.08194561,-0.08194561
-5.94597299,1.02471039,-1.02471040,0.02297400,-0.02297400,0.04225207,-0.04225207,0.18204738,-0.18204738,0.13331196,-0.13331196,0.01557094,-0.01557094,0.56585172,-0.56585173,0.27851570,-0.27851570,0.07784835,-0.07784835
-5.93996998,0.98391211,-0.98391212,0.02098751,-0.02098751,0.03934285,-0.03934285,0.18006608,-0.18006607,0.12661867,-0.12661867,0.01432775,-0.01432775,0.54692959,-0.54692959,0.27187804,-0.27187804,0.07412813,-0.07412814
-5.93396698,0.94602784,-0.94602785,0.01906774,-0.01906774,0.03659051,-0.03659051,0.17867116,-0.17867116,0.12039083,-0.12039083,0.01313644,-0.01313644,0.52952120,-0.52952120,0.26533664,-0.26533664,0.07087272,-0.07087272
-5.92796398,0.91201652,-0.91201653,0.01723598,-0.01723598,0.03403597,-0.03403597,0.17805507,-0.17805507,0.11474823,-0.11474823,0.01201107,-0.01201107,0.51415870,-0.51415871,0.25915842,-0.25915842,0.06816175,-0.06816175
-5.92196098,0.88275746,-0.88275746,0.01551070,-0.01551070,0.03171400,-0.03171400,0.17840321,-0.17840320,0.10979408,-0.10979408,0.01096403,-0.01096403,0.50133806,-0.50133806,0.25361048,-0.25361048,0.06606570,-0.06606571
-5.91595798,0.85903399,-0.85903400,0.01390744,-0.01390744,0.02965282,-0.02965282,0.17988913,-0.17988913,0.10561355,-0.10561356,0.01000606,-0.01000606,0.49150897,-0.49150898,0.24895324,-0.24895324,0.06464512,-0.06464512
-5.90995498,0.84152070,-0.84152070,0.01243880,-0.01243880,0.02787399,-0.02787399,0.18267009,-0.18267009,0.10227299,-0.10227300,0.00914620,-0.00914620,0.48506659,-0.48506659,0.24543408,-0.24543409,0.06395019,-0.06395020
-5.90395198,0.83077418,-0.83077418,0.01111452,-0.01111452,0.02639236,-0.02639236,0.18688306,-0.18688306,0.09981971,-0.09981971,0.00839191,-0.00839191,0.48234508,-0.48234508,0.24328178,-0.24328178,0.06402070,-0.06402070
-5.89794897,0.82722769,-0.82722769,0.00994168,-0.00994168,0.02521636,-0.02521636,0.19264138,-0.19264138,0.09828236,-0.09828236,0.00774912,-0.00774912,0.48361328,-0.48361328,0.24270160,-0.24270160,0.06488614,-0.06488614
-5.89194597,0.83118927,-0.83118928,0.00892489,-0.00892489,0.02434826,-0.02434826,0.20003214,-0.20003214,0.09767186,-0.09767186,0.00722237,-0.00722237,0.48907234,-0.48907234,0.24387153,-0.24387153,0.06656613,-0.06656613
-5.88594297,0.84284335,-0.84284335,0.00806658,-0.00806658,0.02378464,-0.02378464,0.20911434,-0.20911434,0.09798271,-0.09798271,0.00681495,-0.00681495,0.49885534,-0.49885534,0.24693943,-0.24693943,0.06907102,-0.06907102
-5.87993997,0.86225527,-0.86225527,0.00736730,-0.00736730,0.02351696,-0.02351696,0.21991787,-0.21991787,0.09919473,-0.09919473,0.00652901,-0.00652901,0.51302868,-0.51302868,0.25202123,-0.25202123,0.07240260,-0.07240261
-5.87393697,0.88937853,-0.88937854,0.00682595,-0.00682595,0.02353211,-0.02353212,0.23244339,-0.23244339,0.10127501,-0.10127501,0.00636567,-0.00636567,0.53159515,-0.53159515,0.25920010,-0.25920010,0.07655493,-0.07655494
-5.86793397,0.92406407,-0.92406408,0.00644004,-0.00644004,0.02381309,-0.02381309,0.24666296,-0.24666296,0.10418011,-0.10418011,0.00632514,-0.00632514,0.55449831,-0.55449832,0.26852653,-0.26852653,0.08151518,-0.08151518
