energy_ev,total_up,Cu_p_up,Cu_d_up,Ge_p_up,Ge_d_up,Se_s_up,Se_p_up
-6.00000000,2.34050441,1.34398479,0.82316021,0.31124480,0.00000000,0.00479429,0.81360805
-5.99399700,2.41227626,1.38104947,0.85112666,0.31625096,0.00000000,0.00494570,0.84135872
-5.98799400,2.47607276,1.41256687,0.87659281,0.31994639,0.00000000,0.00508618,0.86633881
-5.98199100,2.53078476,1.43795716,0.89916616,0.32219785,0.00000000,0.00521269,0.88816152
-5.97598799,2.57554223,1.45679909,0.91853018,0.32291410,0.00000000,0.00532316,0.90651977
-5.96998499,2.60973519,1.46884140,0.93445187,0.32204793,0.00000000,0.00541640,0.92119402
-5.96398199,2.63302605,1.47400870,0.94678663,0.31959647,0.00000000,0.00549220,0.93205729
-5.95797899,2.64535342,1.47240198,0.95548037,0.31559993,0.00000000,0.00555129,0.93907769
-5.95197599,2.64692756,1.46429379,0.96056881,0.31013872,0.00000000,0.00559529,0.94231815
-5.94597299,2.63821811,1.45011848,0.96217437,0.30332934,0.00000000,0.00562673,0.94193373
-5.93996998,2.61993490,1.43045817,0.96050058,0.29531897,0.00000000,0.00564899,0.93816661
-5.93396698,2.59300288,1.40602500,0.95582475,0.28627942,0.00000000,0.00566620,0.93133899
-5.92796398,2.55853243,1.37764051,0.94848882,0.27640038,0.00000000,0.00568323,0.92184431
-5.92196098,2.51778620,1.34621292,0.93888914,0.26588243,0.00000000,0.00570555,0.91013708
-5.91595798,2.47214372,1.31271313,0.92746538,0.25493022,0.00000000,0.00573911,0.89672163
-5.90995498,2.42306504,1.27815013,0.91468902,0.24374585,0.00000000,0.00579029,0.88214009
-5.90395198,2.37205442,1.24354660,0.90105170,0.23252285,0.00000000,0.00586564,0.86696000
-5.89794897,2.32062493,1.20991518,0.88705383,0.22144099,0.00000000,0.00597185,0.85176169
-5.89194597,2.27026484,1.17823594,0.87319359,0.21066189,0.00000000,0.00611549,0.83712573
-5.88594297,2.22240633,1.14943542,0.85995666,0.20032567,0.00000000,0.00630288,0.82362070
-5.87993997,2.17839698,1.12436752,0.84780670,0.19054869,0.00000000,0.00653988,0.81179131
-5.87393697,2.13947435,1.10379645,0.83717678,0.18142219,0.00000000,0.00683174,0.80214721
-5.86793397,2.10674381,1.08838192,0.82846175,0.17301202,0.00000000,0.00718289,0.79515247
-5.86193097,2.08115974,1.07866657,0.82201166,0.16535915,0.00000000,0.00759679,0.79121591
-5.85592796,2.06351021,1.07506586,0.81812620,0.15848103,0.00000000,0.00807576,0.79068252
-5.84992496,2.05440495,1.07786035,0.81705012,0.15237350,0.00000000,0.00862081,0.79382586
-5.84392196,2.05426681,1.08719060,0.81896976,0.14701325,0.00000000,0.00923161,0.80084181
-5.83791896,2.06332658,1.10305461,0.82401048,0.14236066,0.00000000,0.00990633,0.81184369
-5.83191596,2.08162115,1.12530795,0.83223512,0.13836275,0.00000000,0.01064164,0.82685890
-5.82591296,2.10899509,1.15366671,0.84364356,0.13495635,0.00000000,0.01143267,0.84582719
-5.81990995,2.14510555,1.18771312,0.85817309,0.13207121,0.00000000,0.01227308,0.86860074
-5.81390695,2.18943052,1.22690413,0.87569994,0.12963299,0.00000000,0.01315511,0.89494606
-5.80790395,2.24128038,1.27058259,0.89604174,0.12756611,0.00000000,0.01406972,0.92454778
-5.80190095,2.29981267,1.31799118,0.91896101,0.12579638,0.00000000,0.01500672,0.95701433
-5.79589795,2.36404985,1.36828869,0.94416961,0.12425331,0.00000000,0.01595496,0.99188551
-5.78989495,2.43289988,1.42056846,0.97133415,0.12287216,0.00000000,0.01690260,1.02864173
-5.78389195,2.50517926,1.47387854,1.00008232,0.12159564,0.00000000,0.01783728,1.06671484
-5.77788894,2.57963812,1.52724314,1.03000999,0.12037528,0.00000000,0.01874644,1.10550026
-5.77188594,2.65498680,1.57968471,1.06068903,0.11917248,0.00000000,0.01961756,1.14437015
-5.76588294,2.72992339,1.63024614,1.09167572,0.11795914,0.00000000,0.02043846,1.18268722
-5.75987994,2.80316143,1.67801235,1.12251943,0.11671807,0.00000000,0.02119754,1.21981888
-5.75387694,2.87345718,1.72213073,1.15277163,0.11544295,0.00000000,0.02188407,1.25515124
-5.74787394,2.93963565,1.76182956,1.18199476,0.11413800,0.00000000,0.02248839,1.28810259
-5.74187094,3.00061466,1.79643416,1.20977086,0.11281739,0.00000000,0.02300218,1.31813598
-5.73586793,3.05542621,1.82538004,1.23570968,0.11150427,0.00000000,0.02341862,1.34477044
-5.72986493,3.10323459,1.84822268,1.25945609,0.11022958,0.00000000,0.02373252,1.36759064
-5.72386193,3.14335069,1.86464388,1.28069649,0.10903062,0.00000000,0.02394052,1.38625456
-5.71785893,3.17524207,1.87445435,1.29916414,0.10794939,0.00000000,0.02404105,1.40049912
-5.71185593,3.19853869,1.87759264,1.31464317,0.10703077,0.00000000,0.02403449,1.41014359
-5.70585293,3.21303405,1.87412068,1.32697122,0.10632058,0.00000000,0.02392304,1.41509070
-5.69984992,3.21868198,1.86421600,1.33604068,0.10586360,0.00000000,0.02371074,1.41532561
-5.69384692,3.21558927,1.84816136,1.34179847,0.10570155,0.00000000,0.02340336,1.41091274
-5.68784392,3.20400458,1.82633191,1.34424452,0.10587111,0.00000000,0.02300819,1.40199083
-5.68184092,3.18430425,1.79918084,1.34342902,0.10640209,0.00000000,0.02253391,1.38876638
-5.67583792,3.15697566,1.76722378,1.33944863,0.10731574,0.00000000,0.02199033,1.37150581
-5.66983492,3.12259892,1.73102283,1.33244193,0.10862330,0.00000000,0.02138813,1.35052683
-5.66383192,3.08182780,1.69117068,1.32258432,0.11032483,0.00000000,0.02073858,1.32618921
-5.65782891,3.03537070,1.64827552,1.31008267,0.11240837,0.00000000,0.02005322,1.29888553
-5.65182591,2.98397259,1.60294706,1.29517011,0.11484949,0.00000000,0.01934356,1.26903221
-5.64582291,2.92839869,1.55578435,1.27810112,0.11761123,0.00000000,0.01862081,1.23706110
-5.63981991,2.86942058,1.50736555,1.25914731,0.12064448,0.00000000,0.01789555,1.20341209
-5.63381691,2.80780529,1.45824007,1.23859407,0.12388882,0.00000000,0.01717751,1.16852683
-5.62781391,2.74430788,1.40892302,1.21673825,0.12727370,0.00000000,0.01647538,1.13284386
-5.62181091,2.67966753,1.35989222,1.19388701,0.13072017,0.00000000,0.01579661,1.09679513
-5.61580790,2.61460724,1.31158750,1.17035775,0.13414287,0.00000000,0.01514736,1.06080397
-5.60980490,2.54983681,1.26441218,1.14647913,0.13745237,0.00000000,0.01453243,1.02528439
-5.60380190,2.48605857,1.21873636,1.12259298,0.14055781,0.00000000,0.01395530,0.99064149
-5.59779890,2.42397515,1.17490171,1.09905660,0.14336965,0.00000000,0.01341823,0.95727282
-5.59179590,2.36429837,1.13322704,1.07624541,0.14580252,0.00000000,0.01292238,0.92557010
-5.58579290,2.30775799,1.09401437,1.05455518,0.14777800,0.00000000,0.01246804,0.89592119
-5.57978989,2.25510936,1.05755467,1.03440344,0.14922736,0.00000000,0.01205482,0.86871154
-5.57378689,2.20713844,1.02413280,1.01622963,0.15009391,0.00000000,0.01168190,0.84432491
-5.56778389,2.16466325,0.99403096,1.00049335,0.15033516,0.00000000,0.01134833,0.82314272
-5.56178089,2.12853044,0.96753027,0.98767029,0.14992439,0.00000000,0.01105324,0.80554181
-5.55577789,2.09960632,0.94490990,0.97824560,0.14885181,0.00000000,0.01079609,0.79189007
-5.54977489,2.07876170,0.92644360,0.97270433,0.14712510,0.00000000,0.01057688,0.78253997
-5.54377189,2.06685041,0.91239342,0.97151904,0.14476938,0.00000000,0.01039629,0.77781982
-5.53776888,2.06468168,0.90300074,0.97513461,0.14182655,0.00000000,0.01025581,0.77802279
-5.53176588,2.07298725,0.89847484,0.98395077,0.13835407,0.00000000,0.01015776,0.78339417
-5.52576288,2.09238422,0.89897949,0.99830289,0.13442326,0.00000000,0.01010532,0.79411720
