energy_ev,total_up,Cu_p_up,Cu_d_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up
-6.00000000,4.44011161,1.67075551,3.36530093,0.41953997,0.00047849,1.07359171,0.00000000
-5.99399700,4.52421084,1.70938756,3.43387054,0.44217275,0.00048424,1.07927696,0.00000000
-5.98799400,4.61122445,1.74787641,3.50503521,0.46643037,0.00049136,1.08417453,0.00000000
-5.98199100,4.70099026,1.78593073,3.57871675,0.49217947,0.00049998,1.08831899,0.00000000
-5.97598799,4.79330232,1.82324372,3.65480550,0.51926288,0.00051019,1.09175374,0.00000000
-5.96998499,4.88792452,1.85950348,3.73316910,0.54750608,0.00052208,1.09453022,0.00000000
-5.96398199,4.98460447,1.89440400,3.81366119,0.57672420,0.00053575,1.09670678,0.00000000
-5.95797899,5.08308667,1.92765639,3.89612929,0.60672915,0.00055125,1.09834707,0.00000000
-5.95197599,5.18312390,1.95899964,3.98042136,0.63733646,0.00056866,1.09951807,0.00000000
-5.94597299,5.28448624,1.98821033,4.06639039,0.66837143,0.00058805,1.10028783,0.00000000
-5.93996998,5.38696670,2.01511082,4.15389675,0.69967421,0.00060945,1.10072289,0.00000000
-5.93396698,5.49038334,2.03957535,4.24280804,0.73110356,0.00063291,1.10088565,0.00000000
-5.92796398,5.59457742,2.06153357,4.33299637,0.76253900,0.00065845,1.10083170,0.00000000
-5.92196098,5.69940773,2.08097137,4.42433328,0.79388137,0.00068608,1.10060724,0.00000000
-5.91595798,5.80474145,2.09792873,4.51668265,0.82505160,0.00071579,1.10024674,0.00000000
-5.90995498,5.91044210,2.11249467,4.60989198,0.85598804,0.00074755,1.09977100,0.00000000
-5.90395198,6.01635535,2.12479958,4.70378283,0.88664234,0.00078130,1.09918558,0.00000000
-5.89794897,6.12229375,2.13500516,4.79814098,0.91697437,0.00081693,1.09847983,0.00000000
-5.89194597,6.22802152,2.14329271,4.89270722,0.94694646,0.00085433,1.09762638,0.00000000
-5.88594297,6.33324043,2.14985026,4.98716945,0.97651745,0.00089331,1.09658140,0.00000000
-5.87993997,6.43757810,2.15485942,5.08115684,1.00563698,0.00093367,1.09528529,0.00000000
-5.87393697,6.54057959,2.15848267,5.17423671,1.03424047,0.00097516,1.09366406,0.00000000
-5.86793397,6.64170333,2.16085194,5.26591452,1.06224515,0.00101747,1.09163118,0.00000000
-5.86193097,6.74032197,2.16205917,5.35563746,1.08954753,0.00106028,1.08908987,0.00000000
-5.85592796,6.83572849,2.16214941,5.44280161,1.11602249,0.00110322,1.08593584,0.00000000
-5.84992496,6.92714782,2.16111706,5.52676275,1.14152405,0.00114588,1.08206019,0.00000000
-5.84392196,7.01375372,2.15890533,5.60685050,1.16588794,0.00118786,1.07735258,0.00000000
-5.83791896,7.09469030,2.15540913,5.68238550,1.18893580,0.00122872,1.07170442,0.00000000
-5.83191596,7.16909781,2.15048120,5.75269893,1.21048068,0.00126804,1.06501204,0.00000000
-5.82591296,7.23614136,2.14394107,5.81715393,1.23033379,0.00130540,1.05717981,0.00000000
-5.81990995,7.29504180,2.13558654,5.87516803,1.24831181,0.00134042,1.04812291,0.00000000
-5.81390695,7.34510744,2.12520676,5.92623592,1.26424465,0.00137275,1.03777005,0.00000000
-5.80790395,7.38576548,2.11259645,5.96995186,1.27798308,0.00140209,1.02606563,0.00000000
-5.80190095,7.41659185,2.09757032,6.00603085,1.28940586,0.00142820,1.01297172,0.00000000
-5.79589795,7.43733853,2.07997700,6.03432807,1.29842612,0.00145095,0.99846954,0.00000000
-5.78989495,7.44795711,2.05971171,6.05485569,1.30499657,0.00147026,0.98256051,0.00000000
-5.78389195,7.44861791,2.03672712,6.06779676,1.30911349,0.00148614,0.96526693,0.00000000
-5.77788894,7.43972364,2.01104189,6.07351532,1.31081920,0.00149874,0.94663215,0.00000000
-5.77188594,7.42191718,1.98274642,6.07256244,1.31020313,0.00150826,0.92672033,0.00000000
-5.76588294,7.39608282,1.95200578,6.06567757,1.30740129,0.00151504,0.90561576,0.00000000
-5.75987994,7.36334059,1.91905957,6.05378493,1.30259444,0.00151948,0.88342181,0.00000000
-5.75387694,7.32503343,1.88421889,6.03798435,1.29600487,0.00152211,0.86025940,0.00000000
-5.74787394,7.28270704,1.84786050,6.01953641,1.28789206,0.00152350,0.83626514,0.00000000
-5.74187094,7.23808249,1.81041859,5.99984167,1.27854722,0.00152432,0.81158913,0.00000000
-5.73586793,7.19302164,1.77237437,5.98041383,1.26828699,0.00152525,0.78639241,0.00000000
-5.72986493,7.14948597,1.73424393,5.96284710,1.25744644,0.00152704,0.76084413,0.00000000
-5.72386193,7.10948935,1.69656488,5.94877805,1.24637132,0.00153044,0.73511857,0.00000000
-5.71785893,7.07504563,1.65988209,5.93984263,1.23541003,0.00153618,0.70939186,0.00000000
-5.71185593,7.04811251,1.62473310,5.93762940,1.22490510,0.00154497,0.68383878,0.00000000
-5.70585293,7.03053296,1.59163361,5.94363014,1.21518459,0.00155747,0.65862941,0.00000000
-5.69984992,7.02397628,1.56106347,5.95918957,1.20655356,0.00157424,0.63392592,0.00000000
-5.69384692,7.02988072,1.53345360,5.98545589,1.19928560,0.00159577,0.60987961,0.00000000
-5.68784392,7.04940009,1.50917421,6.02333440,1.19361501,0.00162243,0.58662808,0.00000000
-5.68184092,7.08335655,1.48852473,6.07344623,1.18972956,0.00165445,0.56429294,0.00000000
-5.67583792,7.13220217,1.47172565,6.13609441,1.18776429,0.00169194,0.54297787,0.00000000
-5.66983492,7.19599123,1.45891265,6.21123933,1.18779666,0.00173484,0.52276721,0.00000000
-5.66383192,7.27436516,1.45013314,6.29848526,1.18984320,0.00178294,0.50372524,0.00000000
-5.65782891,7.36655158,1.44534542,6.39707935,1.19385803,0.00183591,0.48589586,0.00000000
-5.65182591,7.47137824,1.44442034,6.50592383,1.19973339,0.00189324,0.46930310,0.00000000
-5.64582291,7.58730185,1.44714568,6.62360167,1.20730232,0.00195433,0.45395195,0.00000000
-5.63981991,7.71245136,1.45323278,6.74841504,1.21634351,0.00201842,0.43982988,0.00000000
-5.63381691,7.84468415,1.46232553,6.87843543,1.22658820,0.00208471,0.42690867,0.00000000
-5.62781391,7.98165301,1.47401104,7.01156352,1.23772906,0.00215231,0.41514652,0.00000000
-5.62181091,8.12088115,1.48783189,7.14559621,1.24943052,0.00222028,0.40449044,0.00000000
-5.61580790,8.25984190,1.50329915,7.27829791,1.26134028,0.00228767,0.39487857,0.00000000
-5.60980490,8.39603941,1.51990598,7.40747269,1.27310153,0.00235357,0.38624251,0.00000000
-5.60380190,8.52708664,1.53714096,7.53103397,1.28436509,0.00241708,0.37850945,0.00000000
-5.59779890,8.65077680,1.55450083,7.64706820,1.29480110,0.00247739,0.37160400,0.00000000
-5.59179590,8.76514494,1.57150198,7.75388969,1.30410957,0.00253376,0.36544971,0.00000000
