energy_ev,total_up,Nb_p_up,Nb_d_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up
-6.00000000,1.04369848,0.60672899,0.42175501,0.00205836,0.68918238,0.03460173,0.00007940
-5.99399700,1.02371687,0.60404465,0.41157031,0.00200752,0.68187099,0.03371359,0.00007694
-5.98799400,1.00898115,0.60645855,0.40259857,0.00200102,0.67801367,0.03291304,0.00007485
-5.98199100,0.99955735,0.61415704,0.39473751,0.00203734,0.67761914,0.03221719,0.00007315
-5.97598799,0.99546494,0.62725967,0.38788324,0.00211453,0.68066741,0.03164223,0.00007187
-5.96998499,0.99666922,0.64580655,0.38193342,0.00223026,0.68710532,0.03120269,0.00007103
-5.96398199,1.00307381,0.66974657,0.37679006,0.00238176,0.69684185,0.03091062,0.00007065
-5.95797899,1.01451401,0.69892731,0.37236194,0.00256585,0.70974389,0.03077483,0.00007074
-5.95197599,1.03075142,0.73308725,0.36856662,0.00277892,0.72563250,0.03080032,0.00007130
-5.94597299,1.05147044,0.77185100,0.36533204,0.00301693,0.74428052,0.03098769,0.00007231
-5.93996998,1.07627729,0.81472819,0.36259771,0.00327546,0.76541159,0.03133281,0.00007377
-5.93396698,1.10470196,0.86111654,0.36031568,0.00354969,0.78870121,0.03182669,0.00007564
-5.92796398,1.13620359,0.91030944,0.35845117,0.00383448,0.81378007,0.03245551,0.00007790
-5.92196098,1.17017943,0.96150822,0.35698314,0.00412442,0.84023988,0.03320085,0.00008049
-5.91595798,1.20597751,1.01383911,0.35590479,0.00441392,0.86764175,0.03404021,0.00008337
-5.90995498,1.24291284,1.06637450,0.35522405,0.00469731,0.89552714,0.03494764,0.00008648
-5.90395198,1.28028672,1.11815809,0.35496410,0.00496898,0.92343091,0.03589459,0.00008977
-5.89794897,1.31740863,1.16823292,0.35516396,0.00522346,0.95089636,0.03685087,0.00009317
-5.89194597,1.35361971,1.21567155,0.35587903,0.00545561,0.97749137,0.03778573,0.00009662
-5.88594297,1.38831695,1.25960685,0.35718153,0.00566074,1.00282505,0.03866896,0.00010006
-5.87993997,1.42097679,1.29926236,0.35916074,0.00583475,1.02656412,0.03947201,0.00010343
-5.87393697,1.45117694,1.33398067,0.36192281,0.00597427,1.04844797,0.04016906,0.00010669
-5.86793397,1.47861513,1.36324848,0.36559002,0.00607673,1.06830152,0.04073796,0.00010979
-5.86193097,1.50312357,1.38671703,0.37029927,0.00614050,1.08604518,0.04116106,0.00011269
-5.85592796,1.52467817,1.40421690,0.37619970,0.00616491,1.10170088,0.04142584,0.00011537
-5.84992496,1.54340149,1.41576608,0.38344924,0.00615030,1.11539376,0.04152533,0.00011781
-5.84392196,1.55955917,1.42157099,0.39221004,0.00609800,1.12734905,0.04145834,0.00012002
-5.83791896,1.57354944,1.42202004,0.40264282,0.00601033,1.13788410,0.04122933,0.00012199
-5.83191596,1.58588593,1.41766989,0.41490012,0.00589049,1.14739547,0.04084825,0.00012375
-5.82591296,1.59717449,1.40922496,0.42911879,0.00574246,1.15634176,0.04032996,0.00012531
-5.81990995,1.60808479,1.39751100,0.44541176,0.00557094,1.16522268,0.03969361,0.00012671
-5.81390695,1.61931810,1.38344381,0.46385967,0.00538115,1.17455540,0.03896175,0.00012798
-5.80790395,1.63157271,1.36799461,0.48450258,0.00517870,1.18484915,0.03815944,0.00012916
-5.80190095,1.64550877,1.35215348,0.50733229,0.00496943,1.19657951,0.03731317,0.00013028
-5.79589795,1.66171430,1.33689270,0.53228587,0.00475926,1.21016364,0.03644988,0.00013139
-5.78989495,1.68067426,1.32313146,0.55924067,0.00455405,1.22593770,0.03559587,0.00013251
-5.78389195,1.70274426,1.31170364,0.58801137,0.00435941,1.24413785,0.03477591,0.00013367
-5.77788894,1.72813034,1.30333002,0.61834943,0.00418064,1.26488572,0.03401235,0.00013489
-5.77188594,1.75687614,1.29859604,0.64994516,0.00402262,1.28817939,0.03332445,0.00013616
-5.76588294,1.78885793,1.29793607,0.68243248,0.00388968,1.31389028,0.03272778,0.00013749
-5.75987994,1.82378809,1.30162464,0.71539653,0.00378558,1.34176624,0.03223391,0.00013886
-5.75387694,1.86122671,1.30977492,0.74838367,0.00371348,1.37144086,0.03185017,0.00014025
-5.74787394,1.90060085,1.32234407,0.78091383,0.00367588,1.40244843,0.03157965,0.00014163
-5.74187094,1.94123033,1.33914525,0.81249450,0.00367465,1.43424381,0.03142136,0.00014296
-5.73586793,1.98235889,1.35986516,0.84263596,0.00371102,1.46622640,0.03137050,0.00014419
-5.72986493,2.02318879,1.38408628,0.87086690,0.00378562,1.49776668,0.03141889,0.00014529
-5.72386193,2.06291729,1.41131236,0.89674986,0.00389848,1.52823423,0.03155549,0.00014619
-5.71785893,2.10077298,1.44099591,0.91989564,0.00404906,1.55702559,0.03176696,0.00014686
-5.71185593,2.13604997,1.47256605,0.93997611,0.00423631,1.58359069,0.03203828,0.00014725
-5.70585293,2.16813848,1.50545555,0.95673471,0.00445866,1.60745637,0.03235337,0.00014731
-5.69984992,2.19654996,1.53912544,0.96999422,0.00471406,1.62824598,0.03269569,0.00014703
-5.69384692,2.22093589,1.57308620,0.97966142,0.00500000,1.64569402,0.03304879,0.00014637
-5.68784392,2.24109916,1.60691458,0.98572857,0.00531353,1.65965523,0.03339679,0.00014532
-5.68184092,2.25699777,1.64026516,0.98827157,0.00565129,1.67010775,0.03372481,0.00014387
-5.67583792,2.26874085,1.67287646,0.98744515,0.00600950,1.67715041,0.03401931,0.00014204
-5.66983492,2.27657738,1.70457147,0.98347527,0.00638402,1.68099434,0.03426831,0.00013983
-5.66383192,2.28087849,1.73525267,0.97664938,0.00677036,1.68194958,0.03446159,0.00013726
-5.65782891,2.28211445,1.76489228,0.96730492,0.00716370,1.68040747,0.03459073,0.00013437
-5.65182591,2.28082765,1.79351834,0.95581691,0.00755896,1.67681992,0.03464914,0.00013120
-5.64582291,2.27760329,1.82119773,0.94258498,0.00795087,1.67167666,0.03463202,0.00012777
-5.63981991,2.27303924,1.84801728,0.92802080,0.00833399,1.66548171,0.03453621,0.00012413
-5.63381691,2.26771668,1.87406418,0.91253618,0.00870284,1.65873033,0.03436010,0.00012033
-5.62781391,2.26217309,1.89940703,0.89653239,0.00905195,1.65188747,0.03410346,0.00011641
-5.62181091,2.25687875,1.92407873,0.88039110,0.00937600,1.64536893,0.03376724,0.00011242
-5.61580790,2.25221792,1.94806230,0.86446701,0.00966992,1.63952577,0.03335343,0.00010839
-5.60980490,2.24847522,1.97128064,0.84908231,0.00992896,1.63463273,0.03286485,0.00010437
-5.60380190,2.24582789,1.99359073,0.83452293,0.01014887,1.63088100,0.03230505,0.00010039
-5.59779890,2.24434370,2.01478283,0.82103630,0.01032594,1.62837529,0.03167812,0.00009649
-5.59179590,2.24398444,2.03458463,0.80883047,0.01045713,1.62713514,0.03098862,0.00009269
-5.58579290,2.24461433,2.05267020,0.79807424,0.01054018,1.62709999,0.03024143,0.00008902
-5.57978989,2.24601256,2.06867307,0.78889790,0.01057359,1.62813754,0.02944170,0.00008550
-5.57378689,2.24788901,2.08220282,0.78139437,0.01055678,1.63005451,0.02859480,0.00008215
-5.56778389,2.24990191,2.09286391,0.77562036,0.01049000,1.63260918,0.02770622,0.00007899
