energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
1.22761381,0.48944515,0.00001293,0.00409036,0.03945547,0.09540654,0.40195598,0.00000000,0.10492756,0.00139501
1.23361681,0.48818801,0.00001736,0.00406697,0.04032922,0.09507310,0.40121300,0.00000000,0.10444885,0.00139155
1.23961981,0.48466176,0.00002314,0.00417832,0.04126448,0.09426558,0.39851186,0.00000000,0.10340166,0.00138129
1.24562281,0.47908086,0.00003062,0.00443951,0.04232056,0.09302038,0.39402867,0.00000000,0.10182064,0.00136487
1.25162581,0.47175104,0.00004024,0.00487143,0.04356876,0.09139075,0.38801100,0.00000000,0.09975818,0.00134317
1.25762881,0.46306293,0.00005249,0.00550135,0.04509180,0.08944551,0.38077211,0.00000000,0.09728296,0.00131733
1.26363182,0.45348285,0.00006797,0.00636341,0.04698290,0.08726718,0.37268288,0.00000000,0.09447790,0.00128871
1.26963482,0.44354126,0.00008740,0.00749899,0.04934439,0.08494965,0.36416178,0.00000000,0.09143778,0.00125886
1.27563782,0.43381912,0.00011157,0.00895699,0.05228591,0.08259559,0.35566330,0.00000000,0.08826638,0.00122948
1.28164082,0.42493267,0.00014140,0.01079393,0.05592216,0.08031343,0.34766497,0.00000000,0.08507345,0.00120238
1.28764382,0.41751700,0.00017792,0.01307375,0.06037029,0.07821432,0.34065371,0.00000000,0.08197151,0.00117945
1.29364682,0.41220892,0.00022226,0.01586742,0.06574687,0.07640889,0.33511156,0.00000000,0.07907257,0.00116258
1.29964982,0.40962951,0.00027566,0.01925215,0.07216448,0.07500407,0.33150160,0.00000000,0.07648499,0.00115366
1.30565283,0.41036679,0.00033944,0.02331023,0.07972806,0.07410003,0.33025397,0.00000000,0.07431047,0.00115447
1.31165583,0.41495893,0.00041497,0.02812745,0.08853104,0.07378721,0.33175288,0.00000000,0.07264122,0.00116670
1.31765883,0.42387816,0.00050367,0.03379103,0.09865131,0.07414366,0.33632443,0.00000000,0.07155746,0.00119184
1.32366183,0.43751598,0.00060695,0.04038707,0.11014719,0.07523267,0.34422588,0.00000000,0.07112529,0.00123119
1.32966483,0.45616973,0.00072615,0.04799758,0.12305349,0.07710070,0.35563656,0.00000000,0.07139493,0.00128579
1.33566783,0.48003094,0.00086253,0.05669701,0.13737788,0.07977575,0.37065050,0.00000000,0.07239932,0.00135638
1.34167084,0.50917563,0.00101717,0.06654845,0.15309759,0.08326613,0.38927116,0.00000000,0.07415320,0.00144338
1.34767384,0.54355702,0.00119095,0.07759959,0.17015673,0.08755968,0.41140838,0.00000000,0.07665265,0.00154686
1.35367684,0.58300061,0.00138442,0.08987856,0.18846434,0.09262349,0.43687757,0.00000000,0.07987500,0.00166652
