energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,1.11991788,-1.11991008,0.00613754,-0.00613762,0.04867800,-0.04867887,0.28275324,-0.28274952,0.19631452,-0.19630973,0.21801732,-0.21802202,0.11310190,-0.11310013,0.04366876,-0.04366841,0.56420850,-0.56420562
-5.99399700,1.13870134,-1.13869672,0.00613470,-0.00613490,0.04804705,-0.04804790,0.29310364,-0.29309993,0.19825019,-0.19824667,0.21550842,-0.21551300,0.11876887,-0.11876711,0.04399650,-0.04399643,0.57543822,-0.57543690
-5.98799400,1.15877044,-1.15876884,0.00610574,-0.00610604,0.04759336,-0.04759417,0.30478780,-0.30478411,0.19969260,-0.19969029,0.21395554,-0.21395995,0.12493506,-0.12493330,0.04414832,-0.04414851,0.58741626,-0.58741643
-5.98199100,1.17990555,-1.17990671,0.00605319,-0.00605358,0.04731342,-0.04731420,0.31763162,-0.31762797,0.20066843,-0.20066722,0.21333350,-0.21333771,0.13153368,-0.13153194,0.04413090,-0.04413134,0.60000589,-0.60000742
-5.97598799,1.20185923,-1.20186283,0.00598039,-0.00598086,0.04719857,-0.04719930,0.33142778,-0.33142420,0.20121835,-0.20121813,0.21358726,-0.21359122,0.13848586,-0.13848414,0.04395598,-0.04395663,0.61305498,-0.61305773
-5.96998499,1.22436204,-1.22436766,0.00589142,-0.00589196,0.04723553,-0.04723619,0.34593985,-0.34593636,0.20139604,-0.20139662,0.21463485,-0.21463854,0.14570221,-0.14570051,0.04363999,-0.04364082,0.62639930,-0.62640307
-5.96398199,1.24712916,-1.24713632,0.00579091,-0.00579151,0.04740705,-0.04740765,0.36090752,-0.36090414,0.20126667,-0.20126788,0.21637130,-0.21637472,0.15308484,-0.15308314,0.04320355,-0.04320452,0.63986625,-0.63987082
-5.95797899,1.26986795,-1.26987614,0.00568393,-0.00568456,0.04769278,-0.04769330,0.37605296,-0.37604970,0.20090518,-0.20090680,0.21867336,-0.21867648,0.16052984,-0.16052816,0.04267078,-0.04267184,0.65327923,-0.65328435
-5.95197599,1.29228656,-1.29229521,0.00557578,-0.00557643,0.04807008,-0.04807052,0.39108816,-0.39108503,0.20039413,-0.20039595,0.22140481,-0.22140763,0.16793026,-0.16792859,0.04206842,-0.04206954,0.66646253,-0.66646793
-5.94597299,1.31410323,-1.31411176,0.00547182,-0.00547248,0.04851502,-0.04851538,0.40572314,-0.40572016,0.19982150,-0.19982327,0.22442238,-0.22442490,0.17517933,-0.17517766,0.04142495,-0.04142607,0.67924677,-0.67925217
-5.93996998,1.33505647,-1.33506428,0.00537730,-0.00537795,0.04900332,-0.04900359,0.41967477,-0.41967194,0.19927834,-0.19927984,0.22758193,-0.22758413,0.18217400,-0.18217232,0.04076953,-0.04077061,0.69147472,-0.69147983
-5.93396698,1.35491551,-1.35492202,0.00529713,-0.00529775,0.04951136,-0.04951153,0.43267589,-0.43267320,0.19885652,-0.19885752,0.23074467,-0.23074654,0.18881857,-0.18881687,0.04013100,-0.04013199,0.70300741,-0.70301194
-5.92796398,1.37349091,-1.37349554,0.00523575,-0.00523633,0.05001707,-0.05001715,0.44448443,-0.44448188,0.19864653,-0.19864681,0.23378329,-0.23378484,0.19502835,-0.19502660,0.03953684,-0.03953770,0.71373024,-0.71373392
-5.92196098,1.39064466,-1.39064685,0.00519693,-0.00519747,0.05050086,-0.05050084,0.45489218,-0.45488973,0.19873554,-0.19873488,0.23658777,-0.23658895,0.20073304,-0.20073122,0.03901224,-0.03901293,0.72355890,-0.72356144
-5.91595798,1.40629940,-1.40629863,0.00518370,-0.00518417,0.05094633,-0.05094620,0.46373275,-0.46373037,0.19920564,-0.19920387,0.23907047,-0.23907126,0.20587989,-0.20587797,0.03857922,-0.03857971,0.73244466,-0.73244582
