energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,8.77846963,4.44824769,2.26988683,0.05044271,2.22564878,1.70571707,0.57484033,0.10324429,3.55929954
-5.99399700,8.77987055,4.43263143,2.28040055,0.05015259,2.22339446,1.71493401,0.56843752,0.10213758,3.56463965
-5.98799400,8.77390547,4.41835536,2.28964130,0.04978816,2.22021106,1.72269455,0.56138142,0.10080643,3.56622775
-5.98199100,8.75822770,4.40378402,2.29678890,0.04934357,2.21555101,1.72839196,0.55361785,0.09925997,3.56297766
-5.97598799,8.73055520,4.38728185,2.30102329,0.04881316,2.20885261,1.73143747,0.54509806,0.09750973,3.55386225
-5.96998499,8.68873483,4.36725389,2.30154705,0.04819170,2.19955486,1.73127818,0.53578092,0.09556916,3.53794329
-5.96398199,8.63080345,4.34218452,2.29760768,0.04747473,2.18711279,1.72741374,0.52563483,0.09345318,3.51439844
-5.95797899,8.55504443,4.31067409,2.28851912,0.04665883,2.17101299,1.71941164,0.51463940,0.09117770,3.48254491
-5.95197599,8.46003862,4.27147246,2.27368177,0.04574186,2.15078890,1.70692061,0.50278679,0.08875917,3.44185923
-5.94597299,8.34470875,4.22350940,2.25260062,0.04472319,2.12603566,1.68968179,0.49008284,0.08621418,3.39199292
-5.93996998,8.20835623,4.16592093,2.22490074,0.04360389,2.09642394,1.66753764,0.47654784,0.08355924,3.33278377
-5.93396698,8.05068959,4.09807143,2.19033984,0.04238685,2.06171243,1.64043803,0.46221699,0.08081053,3.26426240
-5.92796398,7.87184372,4.01957081,2.14881730,0.04107688,2.02175854,1.60844373,0.44714065,0.07798383,3.18665429
-5.92196098,7.67238939,3.93028632,2.10037954,0.03968068,1.97652690,1.57172698,0.43138413,0.07509447,3.10037706
-5.91595798,7.45333251,3.83034864,2.04522131,0.03820687,1.92609529,1.53056912,0.41502726,0.07215746,3.00603319
-5.90995498,7.21610281,3.72015193,1.98368304,0.03666584,1.87065775,1.48535548,0.39816358,0.06918755,2.90439831
-5.90395198,6.96253204,3.60034746,1.91624414,0.03506958,1.81052449,1.43656740,0.38089922,0.06619944,2.79640546
-5.89794897,6.69482187,3.47183105,1.84351247,0.03343151,1.74611862,1.38477177,0.36335146,0.06320794,2.68312544
-5.89194597,6.41550186,3.33572420,1.76621038,0.03176616,1.67796956,1.33060815,0.34564692,0.06022819,2.56574405
-5.88594297,6.12737870,3.19334940,1.68515762,0.03008888,1.60670333,1.27477402,0.32791952,0.05727576,2.44553641
-5.87993997,5.83347753,3.04620013,1.60125182,0.02841550,1.53302982,1.21800827,0.31030817,0.05436675,2.32383935
