energy_ev,total_up,Pb_p_up,Pb_d_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-6.00000000,5.18653223,0.88290322,0.00297073,2.36848716,1.73233198,2.72276801,0.00000000
-5.99399700,5.43095088,0.91117720,0.00310760,2.47599185,1.82180141,2.85657125,0.00000000
-5.98799400,5.66724703,0.93673345,0.00323776,2.57525021,1.90995595,2.98714509,0.00000000
-5.98199100,5.89119482,0.95922650,0.00335893,2.66451586,1.99532122,3.11188501,0.00000000
-5.97598799,6.09865558,0.97835679,0.00346895,2.74217318,2.07642074,3.22821142,0.00000000
-5.96998499,6.28569553,0.99387660,0.00356580,2.80678525,2.15181675,3.33364703,0.00000000
-5.96398199,6.44869953,1.00559458,0.00364768,2.85713762,2.22015092,3.42589229,0.00000000
-5.95797899,6.58447696,1.01337875,0.00371306,2.89227626,2.28018345,3.50289605,0.00000000
-5.95197599,6.69035605,1.01715811,0.00376074,2.91153822,2.33082927,3.56291886,0.00000000
-5.94597299,6.76426333,1.01692305,0.00378988,2.91457385,2.37119007,3.60458663,0.00000000
-5.93996998,6.80478565,1.01272446,0.00380005,2.90135960,2.40058115,3.62693237,0.00000000
-5.93396698,6.81121218,1.00467195,0.00379121,2.87220104,2.41855188,3.62942476,0.00000000
-5.92796398,6.78355521,0.99293106,0.00376378,2.82772571,2.42489923,3.61198222,0.00000000
-5.92196098,6.72254882,0.97771970,0.00371855,2.76886637,2.41967363,3.57497219,0.00000000
-5.91595798,6.62962541,0.95930392,0.00365673,2.69683490,2.40317702,3.51919564,0.00000000
-5.90995498,6.50687109,0.93799292,0.00357991,2.61308816,2.37595302,3.44585755,0.00000000
-5.90395198,6.35696136,0.91413356,0.00348995,2.51928680,2.33876951,3.35652467,0.00000000
-5.89794897,6.18307943,0.88810417,0.00338903,2.41724870,2.29259424,3.25307229,0.00000000
-5.89194597,5.98882019,0.86030789,0.00327950,2.30889855,2.23856423,3.13762219,0.00000000
