energy_ev,total_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,0.22195400,0.02581752,0.00026344,0.00992949,0.11628691,0.06637280,0.07530304
-5.99399700,0.25319590,0.02925197,0.00030123,0.01129223,0.13298670,0.07542780,0.08613392
-5.98799400,0.28760102,0.03315076,0.00034294,0.01277159,0.15128498,0.08528942,0.09800737
-5.98199100,0.32508689,0.03751048,0.00038853,0.01435993,0.17114114,0.09591264,0.11089877
-5.97598799,0.36552329,0.04232523,0.00043794,0.01604689,0.19248722,0.10723724,0.12476605
-5.96998499,0.40873047,0.04758629,0.00049104,0.01781946,0.21522697,0.11918805,0.13954901
-5.96398199,0.45447934,0.05328191,0.00054768,0.01966195,0.23923614,0.13167587,0.15516955
-5.95797899,0.50249404,0.05939742,0.00060765,0.02155625,0.26436387,0.14459929,0.17153254
-5.95197599,0.55245692,0.06591544,0.00067073,0.02348214,0.29043549,0.15784728,0.18852758
-5.94597299,0.60401599,0.07281642,0.00073667,0.02541770,0.31725661,0.17130264,0.20603159
-5.93996998,0.65679474,0.08007938,0.00080520,0.02733988,0.34461838,0.18484612,0.22391218
-5.93396698,0.71040404,0.08768289,0.00087609,0.02922516,0.37230399,0.19836116,0.24203173
-5.92796398,0.76445581,0.09560622,0.00094909,0.03105021,0.40009603,0.21173910,0.26025211
-5.92196098,0.81857801,0.10383064,0.00102402,0.03279271,0.42778456,0.22488456,0.27843972
-5.91595798,0.87243029,0.11234083,0.00110076,0.03443208,0.45517558,0.23772088,0.29647088
-5.90995498,0.92571978,0.12112632,0.00117923,0.03595029,0.48209951,0.25019525,0.31423711
-5.90395198,0.97821619,0.13018285,0.00125948,0.03733253,0.50841938,0.26228341,0.33165031
-5.89794897,1.02976569,0.13951368,0.00134162,0.03856784,0.53403836,0.27399356,0.34864741
-5.89194597,1.08030277,0.14913064,0.00142589,0.03964960,0.55890623,0.28536933,0.36519434
-5.88594297,1.12985943,0.15905498,0.00151264,0.04057596,0.58302448,0.29649157,0.38128916
-5.87993997,1.17857133,0.16931782,0.00160233,0.04134996,0.60644979,0.30747889,0.39696409
-5.87393697,1.22668023,0.17996020,0.00169554,0.04197961,0.62929566,0.31848682,0.41228634
-5.86793397,1.27453256,0.19103277,0.00179292,0.04247776,0.65173192,0.32970549,0.42735763
-5.86193097,1.32257390,0.20259479,0.00189524,0.04286172,0.67398219,0.34135602,0.44231238
-5.85592796,1.37133931,0.21471282,0.00200330,0.04315284,0.69631919,0.35368556,0.45731455
-5.84992496,1.42143960,0.22745866,0.00211796,0.04337586,0.71905795,0.36696111,0.47255316
-5.84392196,1.47354395,0.24090691,0.00224008,0.04355815,0.74254715,0.38146249,0.48823666
-5.83791896,1.52835911,0.25513200,0.00237050,0.04372892,0.76715867,0.39747438,0.50458623
-5.83191596,1.58660587,0.27020471,0.00250998,0.04391827,0.79327579,0.41527793,0.52182826
-5.82591296,1.64899335,0.28618846,0.00265922,0.04415633,0.82128030,0.43514210,0.54018622
-5.81990995,1.71619203,0.30313522,0.00281874,0.04447234,0.85153892,0.45731492,0.55987215
-5.81390695,1.78880624,0.32108139,0.00298893,0.04489377,0.88438948,0.48201511,0.58107815
-5.80790395,1.86734712,0.34004370,0.00316995,0.04544556,0.92012736,0.50942412,0.60396802
-5.80190095,1.95220706,0.36001531,0.00336173,0.04614942,0.95899260,0.53967900,0.62866956
-5.79589795,2.04363650,0.38096232,0.00356394,0.04702324,1.00115831,0.57286615,0.65526762
-5.78989495,2.14172423,0.40282080,0.00377599,0.04808068,1.04672062,0.60901631,0.68379841
-5.78389195,2.24638188,0.42549474,0.00399696,0.04933086,1.09569091,0.64810084,0.71424511
-5.77788894,2.35733365,0.44885480,0.00422566,0.05077821,1.14799046,0.69002947,0.74653520
-5.77188594,2.47411181,0.47273822,0.00446061,0.05242247,1.20344791,0.73464965,0.78053962
-5.76588294,2.59605854,0.49694999,0.00470005,0.05425882,1.26179987,0.78174746,0.81607389
-5.75987994,2.72233438,0.52126525,0.00494197,0.05627815,1.32269462,0.83105031,0.85290114
-5.75387694,2.85193336,0.54543302,0.00518417,0.05846743,1.38569906,0.88223123,0.89073724
-5.74787394,2.98370456,0.56918124,0.00542424,0.06081020,1.45030863,0.93491480,0.92925774
-5.74187094,3.11637959,0.59222295,0.00565970,0.06328709,1.51596010,0.98868456,0.96810646
-5.73586793,3.24860527,0.61426351,0.00588799,0.06587646,1.58204663,1.04309182,1.00690555
