energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,0.99970063,0.01129737,0.01827576,0.34350497,0.33857886,0.01573160,0.64048328,0.18848125,0.06712566
-5.99399700,0.99118030,0.01040399,0.01863981,0.35063128,0.33102095,0.01522954,0.63767835,0.18198448,0.06831308
-5.98799400,0.98435738,0.00962805,0.01895161,0.35970602,0.32312559,0.01468960,0.63647605,0.17711491,0.06966390
-5.98199100,0.97961450,0.00898017,0.01921331,0.37076949,0.31508165,0.01412031,0.63709065,0.17398817,0.07117400
-5.97598799,0.97733072,0.00846897,0.01942859,0.38383665,0.30709224,0.01353095,0.63972489,0.17269328,0.07283763
-5.96998499,0.97787591,0.00810113,0.01960259,0.39889819,0.29937095,0.01293129,0.64456749,0.17329234,0.07464765
-5.96398199,0.98160436,0.00788148,0.01974178,0.41592165,0.29213773,0.01233129,0.65179017,0.17582039,0.07659575
-5.95797899,0.98884758,0.00781306,0.01985378,0.43485250,0.28561426,0.01174085,0.66154438,0.18028537,0.07867270
-5.95197599,0.99990612,0.00789724,0.01994720,0.45561481,0.28001902,0.01116947,0.67395739,0.18666814,0.08086852
-5.94597299,1.01504059,0.00813375,0.02003138,0.47811158,0.27556208,0.01062602,0.68912774,0.19492236,0.08317257
-5.93996998,1.03446173,0.00852068,0.02011610,0.50222452,0.27243977,0.01011850,0.70712026,0.20497453,0.08557362
-5.93396698,1.05832009,0.00905453,0.02021127,0.52781329,0.27082930,0.00965375,0.72796051,0.21672391,0.08805968
-5.92796398,1.08669524,0.00973015,0.02032660,0.55471433,0.27088348,0.00923734,0.75162893,0.23004258,0.09061784
-5.92196098,1.11958515,0.01054075,0.02047122,0.58273940,0.27272567,0.00887342,0.77805504,0.24477571,0.09323395
-5.91595798,1.15689614,0.01147781,0.02065333,0.61167393,0.27644500,0.00856460,0.80711177,0.26074215,0.09589227
-5.90995498,1.19843386,0.01253107,0.02087975,0.64127556,0.28209217,0.00831194,0.83861045,0.27773537,0.09857500
-5.90395198,1.24389592,0.01368850,0.02115566,0.67127304,0.28967578,0.00811497,0.87229679,0.29552501,0.10126189
-5.89794897,1.29286677,0.01493629,0.02148415,0.70136586,0.29915951,0.00797172,0.90784820,0.31385906,0.10392979
-5.89194597,1.34481530,0.01625890,0.02186604,0.73122483,0.31046011,0.00787886,0.94487290,0.33246675,0.10655238
-5.88594297,1.39909584,0.01763913,0.02229958,0.76049383,0.32344651,0.00783180,0.98291111,0.35106217,0.10909994
