energy_ev,total_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-5.05152576,4.88047620,0.41230676,0.00113913,0.02394011,3.29378150,1.86307741,2.09872621
-5.04552276,4.81077151,0.39973724,0.00114286,0.02384059,3.25235882,1.85289021,2.03652307
-5.03951976,4.76697758,0.38699419,0.00115988,0.02385351,3.23015024,1.85161027,1.98359898
-5.03351676,4.75215523,0.37442792,0.00119020,0.02399315,3.22915752,1.86052458,1.94163473
-5.02751376,4.76871033,0.36237379,0.00123359,0.02427107,3.25090495,1.88066452,1.91208200
-5.02151076,4.81829353,0.35114202,0.00128953,0.02469554,3.29637301,1.91276215,1.89611648
-5.01550775,4.90171805,0.34100830,0.00135722,0.02527113,3.36594480,1.95721459,1.89459718
-5.00950475,5.01889913,0.33220588,0.00143563,0.02599837,3.45936791,2.01405791,1.90803353
-5.00350175,5.16881849,0.32491912,0.00152343,0.02687355,3.57573371,2.08295198,1.93656123
-4.99749875,5.34951602,0.31927896,0.00161908,0.02788863,3.71347580,2.16317701,1.97992797
-4.99149575,5.55811019,0.31536019,0.00172080,0.02903130,3.87038825,2.25364226,2.03748951
-4.98549275,5.79084760,0.31318079,0.00182664,0.03028524,4.04366406,2.35290697,2.10821658
-4.97948974,6.04318094,0.31270309,0.00193448,0.03163049,4.22995326,2.45921294,2.19071248
-4.97348674,6.30987353,0.31383675,0.00204211,0.03304397,4.42543915,2.57052797,2.28324132
-4.96748374,6.58512773,0.31644335,0.00214726,0.03450018,4.62593099,2.68459860,2.38376601
-4.96148074,6.86273321,0.32034225,0.00224765,0.03597187,4.82697005,2.79901071,2.48999544
-4.95547774,7.13623067,0.32531764,0.00234107,0.03743096,5.02394617,2.91125577,2.59943949
-4.94947474,7.39908558,0.33112626,0.00242541,0.03884940,5.21222077,3.01880051,2.70947055
-4.94347174,7.64486626,0.33750564,0.00249873,0.04020001,5.38725244,3.11915782,2.81738983
-4.93746873,7.86742028,0.34418251,0.00255931,0.04145737,5.54472093,3.20995626,2.92049683
-4.93146573,8.06104337,0.35088110,0.00260571,0.04259859,5.68064531,3.28900602,3.01615972
-4.92546273,8.22063501,0.35733103,0.00263676,0.04360399,5.79149236,3.35435907,3.10188485
-4.91945973,8.34183565,0.36327465,0.00265167,0.04445768,5.87427158,3.40436168,3.17538311
-4.91345673,8.42114105,0.36847360,0.00264999,0.04514788,5.92661372,3.43769761,3.23463115
-4.90745373,8.45599019,0.37271439,0.00263161,0.04566723,5.94683032,3.45342084,3.27792558
-4.90145073,8.44482422,0.37581305,0.00259682,0.04601280,5.93395270,3.45097709,3.30392839
-4.89544772,8.38711512,0.37761861,0.00254622,0.04618597,5.88774929,3.43021374,3.31170201
-4.88944472,8.28336384,0.37801547,0.00248077,0.04619217,5.80872139,3.39137826,3.30073311
-4.88344172,8.13506883,0.37692470,0.00240169,0.04604042,5.69807804,3.33510583,3.27094417
-4.87743872,7.94466705,0.37430423,0.00231045,0.04574282,5.55769167,3.26239686,3.22269266
-4.87143572,7.71545050,0.37014810,0.00220872,0.04531389,5.39003649,3.17458588,3.15675797
-4.86543272,7.45146204,0.36448468,0.00209833,0.04476990,5.19811270,3.07330320,3.07431662
-4.85942971,7.15737500,0.35737422,0.00198117,0.04412818,4.98535954,2.96043100,2.97690692
-4.85342671,6.83836139,0.34890566,0.00185921,0.04340645,4.75556070,2.83805580,2.86638442
-4.84742371,6.49995372,0.33919286,0.00173438,0.04262215,4.51274575,2.70841892,2.74486990
-4.84142071,6.14790539,0.32837050,0.00160855,0.04179191,4.26109096,2.57386678,2.61469201
-4.83541771,5.78805429,0.31658967,0.00148351,0.04093111,4.00482283,2.43680250,2.47832651
-4.82941471,5.42619376,0.30401339,0.00136089,0.04005351,3.74812739,2.29964032,2.33833437
-4.82341171,5.06795458,0.29081207,0.00124217,0.03917103,3.49506744,2.16476365,2.19730081
-4.81740870,4.71870056,0.27715921,0.00112863,0.03829364,3.24950984,2.03448785,2.05777715
-4.81140570,4.38343985,0.26322728,0.00102137,0.03742933,3.01506404,1.91102794,1.92222715
-4.80540270,4.06675309,0.24918403,0.00092127,0.03658421,2.79503252,1.79647149,1.79297918
-4.79939970,3.77273845,0.23518916,0.00082900,0.03576270,2.59237307,1.69275649,1.67218515
-4.79339670,3.50497334,0.22139160,0.00074503,0.03496766,2.40967268,1.60165384,1.56178683
-4.78739370,3.26649136,0.20792720,0.00066966,0.03420073,2.24913177,1.52475369,1.46348972
-4.78139070,3.05977303,0.19491714,0.00060299,0.03346252,2.11255768,1.46345501,1.37874433
-4.77538769,2.88674808,0.18246685,0.00054500,0.03275288,2.00136577,1.41895731,1.30873449
-4.76938469,2.74880716,0.17066549,0.00049549,0.03207117,1.91658636,1.39225395,1.25437183
-4.76338169,2.64682075,0.15958604,0.00045420,0.03141641,1.85887615,1.38412602,1.21629582
-4.75737869,2.58116296,0.14928590,0.00042074,0.03078754,1.82853227,1.39513635,1.19487831
-4.75137569,2.55173870,0.13980794,0.00039467,0.03018350,1.82550799,1.42562324,1.19023168
-4.74537269,2.55801255,0.13118201,0.00037552,0.02960338,1.84942899,1.47569388,1.20221989
-4.73936968,2.59903844,0.12342686,0.00036279,0.02904655,1.89960972,1.54521756,1.23047161
-4.73336668,2.67348975,0.11655228,0.00035597,0.02851272,1.97506975,1.63381933,1.27439503
-4.72736368,2.77968974,0.11056162,0.00035459,0.02800207,2.07455018,1.74087491,1.33319403
-4.72136068,2.91564286,0.10545434,0.00035820,0.02751534,2.19653103,1.86550782,1.40588559
-4.71535768,3.07906769,0.10122883,0.00036641,0.02705397,2.33925004,2.00659004,1.49131850
-4.70935468,3.26743239,0.09788509,0.00037891,0.02662020,2.50072435,2.16274747,1.58819362
-4.70335168,3.47799388,0.09542747,0.00039545,0.02621726,2.67877565,2.33237144,1.69508591
-4.69734867,3.70784141,0.09386720,0.00041590,0.02584951,2.87106012,2.51363723,1.81046843
-4.69134567,3.95394529,0.09322462,0.00044020,0.02552261,3.07510355,2.70453050,1.93273862
-4.68534267,4.21321087,0.09353113,0.00046843,0.02524367,3.28834211,2.90288192,2.06024677
-4.67933967,4.48253725,0.09483061,0.00050076,0.02502133,3.50816852,3.10640984,2.19132653
-4.67333667,4.75887987,0.09718025,0.00053746,0.02486588,3.73198303,3.31277025,2.32432706
-4.66733367,5.03931515,0.10065071,0.00057895,0.02478921,3.95724776,3.51961284,2.45764605
-4.66133067,5.32110481,0.10532550,0.00062569,0.02480477,4.18154278,3.72464108,2.58976267
-4.65532766,5.60175716,0.11129949,0.00067828,0.02492737,4.40262155,3.92567415,2.71926931
-4.64932466,5.87908215,0.11867649,0.00073733,0.02517288,4.61846305,4.12070773,2.84490066
-4.64332166,6.15123672,0.12756596,0.00080355,0.02555788,4.82731801,4.30797090,2.96555870
-4.63731866,6.41675754,0.13807870,0.00087763,0.02609911,5.02774621,4.48597581,3.08033233
-4.63131566,6.67457811,0.15032185,0.00096027,0.02681291,5.21864257,4.65355757,3.18851024
-4.62531266,6.92402820,0.16439304,0.00105209,0.02771450,5.39924977,4.80990160,3.28958604
-4.61930965,7.16481452,0.18037402,0.00115365,0.02881728,5.56915613,4.95455676,3.38325521
-4.61330665,7.39698234,0.19832407,0.00126536,0.03013203,5.72827803,5.08743287,3.46940344
-4.60730365,7.62085925,0.21827320,0.00138748,0.03166618,5.87682739,5.20878254,3.54808690
-4.60130065,7.83698349,0.24021579,0.00152006,0.03342309,6.01526522,5.31916777,3.61950527
-4.59529765,8.04602021,0.26410472,0.00166288,0.03540145,6.14424383,5.41941304,3.68396881
-4.58929465,8.24867035,0.28984658,0.00181549,0.03759477,6.26454046,5.51054707,3.74186138
-4.58329165,8.44557733,0.31729809,0.00197712,0.03999109,6.37698624,5.59373660,3.79360149
-4.57728864,8.63723720,0.34626426,0.00214671,0.04257286,6.48239451,5.67021564,3.83960369
-4.57128564,8.82391810,0.37649841,0.00232289,0.04531707,6.58149278,5.74121411,3.88024269
-4.56528264,9.00559418,0.40770426,0.00250400,0.04819559,6.67486251,5.80788980,3.91582232
-4.55927964,9.18189857,0.43954026,0.00268811,0.05117582,6.76289021,5.87126721,3.94655142
-4.55327664,9.35209880,0.47162605,0.00287305,0.05422148,6.84573281,5.93218642,3.97252790
-4.54727364,9.51509663,0.50355101,0.00305650,0.05729371,6.92329931,5.99126441,3.99373203
-4.54127064,9.66945260,0.53488455,0.00323599,0.06035227,6.99524951,6.04887031,4.01002915
-4.53526763,9.81343405,0.56518788,0.00340903,0.06335691,7.06100955,6.10511519,4.02118145
-4.52926463,9.94508376,0.59402667,0.00357311,0.06626872,7.11980287,6.15985608,4.02686773
-4.52326163,10.06230487,0.62098420,0.00372587,0.06905156,7.17069409,6.21271293,4.02670961
-4.51725863,10.16295675,0.64567420,0.00386511,0.07167337,7.21264267,6.26309647,4.02030229
-4.51125563,10.24495583,0.66775301,0.00398888,0.07410726,7.24456254,6.31024452,4.00724734
-4.50525263,10.30637490,0.68693021,0.00409554,0.07633246,7.26538351,6.35326374,3.98718540
-4.49924962,10.34553491,0.70297737,0.00418384,0.07833494,7.27411058,6.39117397,3.95982639
-4.49324662,10.36108371,0.71573435,0.00425291,0.08010770,7.26987740,6.42295214,3.92497518
-4.48724362,10.35205725,0.72511294,0.00430233,0.08165072,7.25199079,6.44757341,3.88255111
-4.48124062,10.31792012,0.73109748,0.00433210,0.08297055,7.21996408,6.46404742,3.83260028
-4.47523762,10.25858389,0.73374263,0.00434265,0.08407953,7.17353795,6.47144841,3.77530000
-4.46923462,10.17440306,0.73316833,0.00433480,0.08499475,7.11268837,6.46893848,3.71095550
-4.46323162,10.06615033,0.72955224,0.00430972,0.08573670,7.03762236,6.45578408,3.63998962
-4.45722861,9.93497386,0.72312014,0.00426887,0.08632780,6.94876308,6.43136617,3.56292645
-4.45122561,9.78234075,0.71413475,0.00421393,0.08679080,6.84672633,6.39518542,3.48037068
-4.44522261,9.60997116,0.70288373,0.00414674,0.08714723,6.73229130,6.34686368,3.39298431
-4.43921961,9.41976842,0.68966735,0.00406921,0.08741590,6.60636828,6.28614332,3.30146257
