energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Na_s_up,S_s_up,S_p_up
-6.00000000,1.82125020,0.46770389,0.47083395,0.02859060,0.22120882,0.26488240,0.02322063,0.64843464
-5.99399700,1.85760110,0.47910000,0.48204865,0.02965916,0.22624592,0.27254447,0.02365181,0.65993844
-5.98799400,1.89317880,0.49060913,0.49291427,0.03070181,0.23121044,0.28021111,0.02410231,0.67116191
-5.98199100,1.92828227,0.50234085,0.50341049,0.03170848,0.23607653,0.28783181,0.02458661,0.68234029
-5.97598799,1.96326566,0.51443121,0.51352821,0.03266962,0.24082681,0.29535415,0.02511933,0.69372769
-5.96998499,1.99851569,0.52703603,0.52326742,0.03357637,0.24545172,0.30272382,0.02571457,0.70558475
-5.96398199,2.03442615,0.54032259,0.53263462,0.03442058,0.24994838,0.30988479,0.02638524,0.71816517
-5.95797899,2.07137072,0.55446020,0.54163965,0.03519490,0.25431915,0.31677962,0.02714232,0.73170202
-5.95197599,2.10967543,0.56961000,0.55029244,0.03589279,0.25856979,0.32334992,0.02799423,0.74639417
-5.94597299,2.14959226,0.58591472,0.55859960,0.03650842,0.26270750,0.32953715,0.02894623,0.76239389
-5.93996998,2.19127549,0.60348886,0.56656123,0.03703671,0.26673891,0.33528370,0.02999989,0.77979586
-5.93396698,2.23476209,0.62240997,0.57416815,0.03747321,0.27066809,0.34053418,0.03115276,0.79862871
-5.92796398,2.27995748,0.64271162,0.58139969,0.03781407,0.27449486,0.34523706,0.03239813,0.81884912
-5.92196098,2.32662791,0.66437849,0.58822236,0.03805593,0.27821346,0.34934649,0.03372499,0.84033935
-5.91595798,2.37440000,0.68734418,0.59458939,0.03819594,0.28181170,0.35282439,0.03511820,0.86290821
-5.90995498,2.42276809,0.71149180,0.60044139,0.03823168,0.28527063,0.35564255,0.03655881,0.88629568
-5.90395198,2.47110945,0.73665771,0.60570810,0.03816121,0.28856491,0.35778484,0.03802462,0.91018115
-5.89794897,2.51870681,0.76263819,0.61031128,0.03798308,0.29166382,0.35924933,0.03949085,0.93419501
-5.89194597,2.56477762,0.78919890,0.61416857,0.03769641,0.29453285,0.36005023,0.04093103,0.95793316
-5.88594297,2.60850868,0.81608671,0.61719829,0.03730100,0.29713584,0.36021959,0.04231796,0.98097380
-5.87993997,2.64909464,0.84304333,0.61932487,0.03679747,0.29943764,0.35980849,0.04362474,1.00289590
-5.87393697,2.68577841,0.86982000,0.62048469,0.03618738,0.30140693,0.35888779,0.04482581,1.02329822
-5.86793397,2.71789146,0.89619246,0.62063197,0.03547341,0.30301924,0.35754820,0.04589803,1.04181824
-5.86193097,2.74489183,0.92197525,0.61974443,0.03465953,0.30425980,0.35589966,0.04682158,1.05814985
-5.85592796,2.76639756,0.94703465,0.61782824,0.03375109,0.30512614,0.35406986,0.04758079,1.07205886
-5.84992496,2.78221376,0.97129907,0.61492209,0.03275499,0.30563019,0.35220193,0.04816481,1.08339562
-5.84392196,2.79235144,0.99476660,0.61109985,0.03167967,0.30579970,0.35045124,0.04856801,1.09210382
-5.83791896,2.79703679,1.01750873,0.60647174,0.03053519,0.30567882,0.34898143,0.04879020,1.09822515
-5.83191596,2.79671017,1.03967016,0.60118376,0.02933316,0.30532784,0.34795958,0.04883661,1.10189927
-5.82591296,2.79201449,1.06146436,0.59541520,0.02808659,0.30482200,0.34755080,0.04871756,1.10335916
-5.81990995,2.78377326,1.08316508,0.58937442,0.02680974,0.30424930,0.34791230,0.04844799,1.10292198
-5.81390695,2.77295922,1.10509406,0.58329277,0.02551784,0.30370758,0.34918718,0.04804679,1.10097573
-5.80790395,2.76065515,1.12760561,0.57741714,0.02422679,0.30330086,0.35149826,0.04753587,1.09796254
-5.80190095,2.74800853,1.15106884,0.57200113,0.02295276,0.30313516,0.35494205,0.04693930,1.09435925
-5.79589795,2.73618251,1.17584833,0.56729555,0.02171183,0.30331409,0.35958332,0.04628223,1.09065637
-5.78989495,2.72630575,1.20228461,0.56353841,0.02051949,0.30393431,0.36545048,0.04558993,1.08733647
-5.78389195,2.71942354,1.23067521,0.56094508,0.01939029,0.30508131,0.37253199,0.04488683,1.08485307
-5.77788894,2.71645295,1.26125767,0.55969902,0.01833731,0.30682554,0.38077413,0.04419571,1.08361117
-5.77188594,2.71814417,1.29419531,0.55994359,0.01737186,0.30921930,0.39008025,0.04353701,1.08395038
-5.76588294,2.72505007,1.32956658,0.56177531,0.01650307,0.31229441,0.40031166,0.04292834,1.08613142
-5.75987994,2.73750546,1.36735879,0.56523899,0.01573763,0.31606093,0.41129017,0.04238416,1.09032675
-5.75387694,2.75561688,1.40746633,0.57032499,0.01507957,0.32050682,0.42280226,0.04191570,1.09661559
-5.74787394,2.77926329,1.44969367,0.57696864,0.01453018,0.32559870,0.43460481,0.04153103,1.10498351
-5.74187094,2.80810732,1.49376267,0.58505205,0.01408792,0.33128362,0.44643214,0.04123531,1.11532649
-5.73586793,2.84161606,1.53932397,0.59440809,0.01374852,0.33749158,0.45800410,0.04103119,1.12745903
-5.72986493,2.87909004,1.58597139,0.60482635,0.01350515,0.34413875,0.46903493,0.04091926,1.14112570
-5.72386193,2.91969831,1.63325859,0.61606076,0.01334864,0.35113118,0.47924244,0.04089860,1.15601537
-5.71785893,2.96251756,1.68071680,0.62783865,0.01326781,0.35836868,0.48835719,0.04096724,1.17177711
-5.71185593,3.00657280,1.72787231,0.63987042,0.01324986,0.36574861,0.49613121,0.04112266,1.18803690
-5.70585293,3.05087714,1.77426284,0.65185978,0.01328081,0.37316942,0.50234593,0.04136214,1.20441400
-5.69984992,3.09446846,1.81945141,0.66351362,0.01334596,0.38053372,0.50681889,0.04168302,1.22053606
-5.69384692,3.13644105,1.86303706,0.67455140,0.01343038,0.38775053,0.50940905,0.04208279,1.23605231
-5.68784392,3.17597045,1.90466169,0.68471332,0.01351938,0.39473689,0.51002046,0.04255903,1.25064382
-5.68184092,3.21233065,1.94401264,0.69376714,0.01359897,0.40141845,0.50860406,0.04310927,1.26403080
-5.67583792,3.24490308,1.98082114,0.70151326,0.01365628,0.40772927,0.50515772,0.04373058,1.27597636
-5.66983492,3.27317743,2.01485680,0.70778802,0.01367991,0.41361087,0.49972452,0.04441926,1.28628696
-5.66383192,3.29674517,2.04591886,0.71246501,0.01366022,0.41901052,0.49238940,0.04517025,1.29480989
-5.65782891,3.31528674,2.07382511,0.71545479,0.01358954,0.42387919,0.48327442,0.04597672,1.30142799
-5.65182591,3.32855437,2.09839958,0.71670287,0.01346234,0.42816915,0.47253296,0.04682956,1.30605265
-5.64582291,3.33635206,2.11946020,0.71618652,0.01327525,0.43183165,0.46034308,0.04771701,1.30861555
-5.63981991,3.33851521,2.13680780,0.71391065,0.01302702,0.43481483,0.44690060,0.04862440,1.30906022
-5.63381691,3.33489165,2.15021747,0.70990315,0.01271844,0.43706213,0.43241205,0.04953406,1.30733420
-5.62781391,3.32532614,2.15943352,0.70421022,0.01235218,0.43851133,0.41708795,0.05042540,1.30338251
-5.62181091,3.30964987,2.16416861,0.69689189,0.01193253,0.43909455,0.40113675,0.05127521,1.29714328
-5.61580790,3.28767609,2.16410762,0.68801837,0.01146515,0.43873902,0.38475958,0.05205812,1.28854577
-5.60980490,3.25920255,2.15891632,0.67766708,0.01095678,0.43736885,0.36814611,0.05274732,1.27751127
-5.60380190,3.22402075,2.14825450,0.66592102,0.01041494,0.43490769,0.35147152,0.05331536,1.26395677
-5.59779890,3.18193141,2.13179297,0.65286810,0.00984761,0.43128207,0.33489470,0.05373511,1.24780118
-5.59179590,3.13276524,2.10923343,0.63860166,0.00926294,0.42642533,0.31855756,0.05398081,1.22897382
-5.58579290,3.07640731,2.08032990,0.62322195,0.00866899,0.42028180,0.30258542,0.05402907,1.20742433
-5.57978989,3.01282326,2.04491038,0.60683826,0.00807349,0.41281107,0.28708818,0.05385995,1.18313344
-5.57378689,2.94208514,2.00289724,0.58957151,0.00748367,0.40399196,0.27216215,0.05345780,1.15612354
-5.56778389,2.86439496,1.95432484,0.57155682,0.00690607,0.39382597,0.25789233,0.05281207,1.12646845
-5.56178089,2.78010372,1.89935325,0.55294575,0.00634648,0.38233996,0.24435474,0.05191791,1.09430127
-5.55577789,2.68972432,1.83827671,0.53390792,0.00580985,0.36958782,0.23161871,0.05077648,1.05981985
-5.54977489,2.59393693,1.77152649,0.51463152,0.00530027,0.35565102,0.21974884,0.04939516,1.02328905
-5.54377189,2.49358595,1.69966729,0.49532269,0.00482099,0.34063800,0.20880643,0.04778735,0.98503976
-5.53776888,2.38966828,1.62338764,0.47620346,0.00437445,0.32468229,0.19885039,0.04597218,0.94546419
-5.53176588,2.28331316,1.54348431,0.45750832,0.00396236,0.30793955,0.18993731,0.04397394,0.90500784
-5.52576288,2.17575425,1.46084163,0.43947938,0.00358580,0.29058364,0.18212100,0.04182131,0.86415817
-5.51975988,2.06829542,1.37640676,0.42236040,0.00324526,0.27280182,0.17545121,0.03954646,0.82343079
-5.51375688,1.96227174,1.29116203,0.40638982,0.00294076,0.25478951,0.16997194,0.03718410,0.78335361
-5.50775388,1.85900781,1.20609590,0.39179330,0.00267199,0.23674468,0.16571921,0.03477040,0.74444986
-5.50175088,1.75977535,1.12217375,0.37877595,0.00243833,0.21886221,0.16271867,0.03234197,0.70722083
-5.49574787,1.66575234,1.04031014,0.36751482,0.00223899,0.20132859,0.16098311,0.02993485,0.67212922
-5.48974487,1.57798559,0.96134353,0.35815201,0.00207308,0.18431701,0.16051014,0.02758357,0.63958384
-5.48374187,1.49735857,0.88601478,0.35078875,0.00193966,0.16798316,0.16128015,0.02532040,0.60992652
-5.47773887,1.42456597,0.81495003,0.34548082,0.00183782,0.15246185,0.16325489,0.02317459,0.58342176
-5.47173587,1.36009591,0.74864862,0.34223561,0.00176670,0.13786460,0.16637652,0.02117194,0.56024952
-5.46573287,1.30422064,0.68747637,0.34101087,0.00172556,0.12427815,0.17056755,0.01933434,0.54050150
-5.45972986,1.25699559,0.63166392,0.34171543,0.00171380,0.11176398,0.17573147,0.01767964,0.52418094
-5.45372686,1.21826679,0.58131023,0.34421167,0.00173096,0.10035871,0.18175422,0.01622149,0.51120583
-5.44772386,1.18768577,0.53639037,0.34831978,0.00177676,0.09007531,0.18850633,0.01496942,0.50141528
-5.44172086,1.16473102,0.49676719,0.35382354,0.00185104,0.08090505,0.19584581,0.01392900,0.49457856
-5.43571786,1.14873484,0.46220585,0.36047750,0.00195385,0.07281992,0.20362145,0.01310204,0.49040650
-5.42971486,1.13891404,0.43239058,0.36801496,0.00208535,0.06577549,0.21167655,0.01248691,0.48856436
-5.42371186,1.13440299,0.40694252,0.37615675,0.00224582,0.05971397,0.21985280,0.01207885,0.48868585
-5.41770885,1.13428767,0.38543808,0.38462023,0.00243564,0.05456738,0.22799417,0.01187034,0.49038737
-5.41170585,1.13763910,0.36742683,0.39312815,0.00265524,0.05026064,0.23595060,0.01185151,0.49328215
-5.40570285,1.14354509,0.35244834,0.40141724,0.00290505,0.04671455,0.24358134,0.01201046,0.49699351
-5.39969985,1.15113906,0.34004749,0.40924595,0.00318550,0.04384851,0.25075787,0.01233369,0.50116699
-5.39369685,1.15962521,0.32978773,0.41640137,0.00349693,0.04158286,0.25736615,0.01280641,0.50548073
-5.38769385,1.16829941,0.32126212,0.42270500,0.00383956,0.03984103,0.26330833,0.01341297,0.50965413
-5.38169085,1.17656544,0.31410201,0.42801727,0.00421346,0.03855118,0.26850371,0.01413714,0.51345438
-5.37568784,1.18394648,0.30798330,0.43224083,0.00461851,0.03764753,0.27288919,0.01496250,0.51670094
